Country,Year,bank_capital_to_assets_ratio_percent,bank_nonperforming_loans_to_total_gross_loans_percent,GNI.2010,Gov.cons.growth,Gov.cons.share,GNI.pc.growth,Gross.capital.formation.growth,Gross.capital.formation.share,Gross.domestic.savings.share,Gross.fixed.capital.growth,Gross.fixed.capital.share,Gross.national.expenditure.share,Gross.savings.share,Gross.savings.gni,Net.lending.borrowing.share
AUS,2015,5.31731759650771,0.88872549882617,112.044745057232,2.20398300141656,19.18887551449514,-0.9934451818763392,,26.27362367739731,24.74194432215939,-3.681981570302355,26.21784116761536,101.5316793552379,22.61305412935268,23.08453340775232,-2.611495753202415
AUS,2016,5.44397257111967,0.947676353339703,113.475546305931,4.800728330140089,19.97359332269346,-1.274839040830528,,25.44818368142136,23.03159271228785,-3.520142852873505,25.3836447487626,102.4165909691335,20.61046358372907,21.11149932128519,-2.33667126280374
AUS,2017,5.91271906081673,0.857013750175751,115.686784599376,4.902626870316112,19.94828336618961,3.07085223181376,,24.17630308564536,24.48592016066862,0.03233113275125277,24.07042337660121,99.69038292497675,21.66461088012406,22.27540371608839,-1.754951910357835
AUS,2018,5.91854176977054,0.901855193874304,117.89802289282,3.541341190895238,20.01682912198127,1.329643219140394,,24.64641200404985,24.69836513223076,4.950096478206774,24.4775236218442,99.9480468718191,21.50453552927601,22.20546115198455,-0.4947218987592594
AUS,2019,6.19862631822147,0.961493162441897,119.797086368366,5.023134110995969,20.37134131593232,1.756143313709458,,23.39128822755799,25.52309097790347,-1.152000649118349,23.41619426503824,97.86819724965451,22.12467777845902,22.89517952734825,-0.141014389527345
AUS,2020,6.37432250408069,1.10778271314938,120.811654526535,7.378006919723035,21.8946914788236,-0.003597537274714568,,22.42772862994364,25.81670041778042,-2.19205375848604,22.81215322686047,96.61102821216322,23.44666015222946,23.98923345735688,-4.971783799768175
AUS,2021,6.16933763669525,0.912575245358043,124.271592091571,6.567264659432055,22.42271871712927,5.379901904052218,,22.93724009047752,26.74815971832687,4.023064143572967,22.63894042732314,96.18908037215064,25.45282444414238,25.74157178454002,-6.860077226148732
AUS,2022,5.8647335037465,0.721666972849021,132.466181061394,6.871561984111381,22.07842755250439,2.668549950051144,,23.76818895529344,29.00959478253929,6.961708494615564,23.18367921439419,94.75859417275416,25.09926776552409,26.09176822836293,-1.351139688859384
AUS,2023,,,139.880332986472,1.722589963362211,21.31385508077272,0.3917338885180328,,23.97401687936926,28.34735403481891,2.524274174746637,23.29339715125104,95.62666284455035,23.98045972525059,25.05867513318158,
AUS,2024,,,144.302809573361,3.697673398679896,22.22887394164388,-1.304269794094068,1.868290400561463,24.39128972308102,26.52328636013798,4.506730918752439,24.2670688628815,97.86800336294304,23.13580811149633,23.93988974814023,
AUT,2015,7.44689127902493,3.39283728404187,110.688581802368,0.8794741423155017,19.88795485453641,-0.2885611124173124,2.972093413698971,24.01212668694904,27.655815009398,2.052706779177143,22.89596219683648,96.35631167755105,25.67554179485347,25.94014552705269,-0.5846642022004332
AUT,2016,7.334234175495,2.69521741465076,111.675472068849,1.834774732771052,19.75841914427485,2.410788930432133,4.559490469098677,24.45717072441079,28.19032737492746,4.534558677282632,23.32191024377955,96.26684334948334,27.14334397837541,27.15497204204534,-1.032964672433882
AUT,2017,7.54199227528387,2.36889544229069,113.999739176771,0.7843343290751648,19.59894063653805,-0.05943410648330882,4.160355784909385,24.97806183822812,28.10519752842854,4.170055120952881,23.84594512056161,96.8728643097996,26.39603605139637,26.64858829259493,-0.7689924300419709
AUT,2018,7.54886985856162,2.90095686469682,116.277886952829,1.278136738260798,19.44231680066376,1.584559310521882,6.250016189542308,25.89827622352515,28.93227722088364,4.413792963659176,24.31359376409916,96.96599900264151,26.88136222581142,27.16225353424789,0.02014433378626685
AUT,2019,7.6242066761855,2.41057983492873,118.057980056249,1.294756576656937,19.53132113458661,1.560267297365186,-0.5855927523879814,25.50900809708158,29.23701431744522,4.256704196118349,25.08011172010021,96.27199377963636,28.12231069751146,28.18631611767108,0.4233185093093049
AUT,2020,7.42452431594542,2.38904558369577,119.689435836364,-0.4188283750151527,21.1529340170726,-5.040865196969762,-5.432512194620045,25.65307375412661,29.10035843989339,-5.325209788837043,25.13425670424503,96.55271531423323,29.21211992730188,28.89413820855396,-7.384222922635725
AUT,2021,7.74457524598176,2.08460790714203,123.00084356117,7.531884899501136,21.73176561464139,4.326887865521044,10.83700635319296,27.67324368565845,28.53656475526265,5.984816080063212,25.87577700415101,99.1366789303958,29.47647150245884,28.99817950318511,-5.143624014868506
AUT,2022,7.91700194289979,1.99024379279404,133.513565675464,0.03616411625341698,20.55248880964467,-0.08409609761638137,4.948602807318125,29.226770327444,28.50281539406114,0.3715096496665495,25.47417688560957,100.7239549333829,28.20557316133255,28.07928397957339,-3.915999654871807
AUT,2023,8.19675264126564,2.47568341459395,143.946494832533,-0.4448116021128214,20.46541252136148,-2.576984184309097,-13.00571654711095,25.4080151070422,27.29791262546592,-3.211359384337143,24.90124025499338,98.11010248157628,26.62891043000872,26.61808369138598,-2.029709996213696
AUT,2024,,,148.175521565418,,,,-7.413210133666865,22.30126137978223,25.31622866548319,-3.433576847144721,24.33271582495799,96.98503271429905,24.88376638348106,24.80096354145675,
BEL,2015,5.68502314992685,3.85093164747182,108.629692097897,0.2793224926449795,23.68120364443203,1.156755719872663,4.113938214836679,23.32236762943461,24.00916402350688,3.122485224212056,23.15198609994754,99.31320360592774,23.96002585751815,23.62747468662121,-1.092872372683124
BEL,2016,5.87334161221032,3.48452664274546,110.773882150291,0.4653247212522871,23.34989080841913,0.8783301762726126,6.821412603606603,24.18157660179743,24.36014340424271,4.291215081962136,23.51982217537823,99.82143319755473,23.66207912130363,23.45181756984596,-2.627903052533088
BEL,2017,6.34337174411597,2.96174954064201,113.128902605325,0.1789357520510748,23.11780232707092,0.7555518968214443,1.065151307828742,24.33183313216384,24.31656499939559,1.232344904512047,23.50415148874443,100.0152681327683,23.94646291612535,23.73480159786467,-1.084759110812815
BEL,2018,6.33769140020729,2.26826570545996,115.451625636977,1.631879094338402,23.1696191313969,0.886269382337403,5.605007163330129,25.55157676372027,24.23999731877696,3.005118134756785,23.77498357968521,101.3115794449433,23.78136708185995,23.54354992684121,-0.2816807612235953
BEL,2019,6.23056877770938,2.08706915566812,117.110457187971,2.234356030575597,23.00381128258951,2.32155287005169,0.07776095377832348,24.67568223168085,25.14505837897118,4.429964414456862,24.23120988459779,99.53062385270967,24.80204598521899,24.59468816681711,-1.717527916138017
BEL,2020,6.25219150044764,2.06995809018823,117.978001866073,-0.1268167347557494,24.30080459143044,-4.849500568428226,-6.543171940060063,24.06856784536699,25.51218768524223,-5.097008431295407,24.03387249491052,98.55638016012476,24.98921590868873,24.76751834347516,-6.750003072770316
BEL,2021,6.17390054662305,2.03126042204704,120.856958300438,5.175633113076387,23.83963393138031,5.073864068119917,3.204226550867162,24.44200857153246,26.31082634189064,4.341662681583003,23.91638566521068,98.13118222964182,26.29672923615115,25.96322526031719,-3.725680134185112
BEL,2022,5.96857033506728,1.83865174031702,132.456219048303,4.478361708564194,23.48608017767986,-0.06811595092798939,6.459932618427771,26.92536328487761,25.46511019397368,1.72937425406117,23.85229652454584,101.4602530909039,25.57201506525835,25.27728038102514,-2.546413451585521
BEL,2023,5.72326206469977,1.82074761185815,137.819385631235,1.57454936028951,23.77664509067134,1.540373676585503,1.606214152101913,25.36219644761756,24.7624507570999,3.479320009872566,24.44650116478842,100.5997456905177,24.76619686107208,24.42904317349439,
BEL,2024,,,142.15172611785,,,,-3.014220824037366,24.02509251464086,24.01196513459066,1.430929744927269,24.39809903810182,100.0131273800502,23.99572198511862,23.59276542277724,
CAN,2015,4.55248540735644,0.516596294246744,108.672009158557,1.362994831504636,20.87782512627848,-2.335958960050476,-6.888281570127631,23.82159339483391,21.31320581056871,-5.209948892153747,23.85058193104848,102.5083875842652,19.5693636315682,19.87382492378418,0.9987228967234413
CAN,2016,4.65117202502206,0.596050944805398,110.224670864339,1.77750967968602,21.04804019485242,-0.1671911575340346,-4.768059185819496,22.76112015948395,20.46764974947335,-4.653163721535222,22.7723764559748,102.2934704100106,19.1464545719812,19.38325078346572,0.4127308713311508
CAN,2017,4.79472477595189,0.449461039885323,111.984831139096,2.114952589272875,20.70333138531869,2.969137406264124,7.449780453895457,23.55046922860956,21.32043626184867,3.344326904946399,22.69633254712023,102.2300329667609,19.84528098929198,20.10090864287092,0.4395879551965977
CAN,2018,4.78625179421219,0.505214192405336,114.524899828277,3.14491273307442,20.68143269674621,1.045670203190909,2.299947820802544,23.37731116192357,21.43163218933725,2.363398396493594,22.67609023148297,101.9456789725863,19.58293123040214,19.92162175444352,0.8909625383329934
CAN,2019,4.70198129157197,0.503405461160356,116.757298225529,1.079690522999215,20.66349608806849,0.6309703123164923,-0.06175761292523418,23.04242417431468,21.58194957301789,0.7765474776392693,22.57997729043903,101.4604746012968,20.26163398611924,20.50599748548136,0.238247240295596
CAN,2020,4.55592854369171,0.529013916915578,117.594447624499,1.266185114959569,22.70110775554981,-6.55898742763236,-8.924447610923764,22.67471761195321,20.47510364661346,-3.765177612001878,23.18423652774162,102.1996139653397,19.46188900237232,19.60393086256572,-9.577595578705225
CAN,2021,4.76800178849198,0.37810794618724,121.587006296508,5.396309317227121,21.28428977835125,9.201608175889092,13.88940373149445,24.30505549697257,24.42324239869328,8.811563638765236,23.78932366490602,99.8818130982793,23.30338519866788,23.51955653623046,-3.216403095810655
CAN,2022,4.87403846766279,0.342610204744156,129.858328563251,3.167294467010009,20.41842339719531,3.304100234146404,6.400808348528557,25.31866682567855,25.91843392004041,-1.245377634114178,22.95011469901155,99.40023290563815,24.35491714341959,24.70278226851307,-0.2797322988207399
CAN,2023,4.74965858118068,0.456404574333028,134.895535203205,1.482377464038848,20.90544377447755,-3.717466337861765,-5.720583045773111,23.89490116946905,23.96450349545472,-1.628882554138627,22.85308182874828,99.93039767401434,21.93725503717111,22.32966301036133,0.5011231129486913
CAN,2024,,,138.10818546079,,,-1.513056490544187,-1.990957221024416,23.26832583814965,23.04265575178506,0.1085629022701653,22.6610758526491,100.2256700863646,21.39228585732598,21.72238078309267,
CHE,2015,7.47018964486454,0.736258568730844,98.1717745930005,0.6854113802101836,11.53756701683727,1.979543534894262,1.418009813398243,25.07486328177027,35.59429257069583,2.114619438846759,26.41120410732842,89.48057071107444,34.8318008012769,34.48327465358741,0.5702065046947411
CHE,2016,7.29930969713217,0.729731055345652,97.7451017375587,0.2983196785994835,11.51496174444368,-1.97280979049944,0.6882501087538628,25.561928395454,35.63145588094692,2.638596659454336,26.49981681521615,89.93047251450709,33.65321279234438,33.8500520914583,0.1647078439483537
