Country,Year,Adjustment.for.the.change.in.net.equity.of.households.in.pension.fund.reserves,Compensation.of.employees.received.by.households,"Compensation.of.employees,.total.economy",Consumer.price.index,Consumer.price.index.with.fixed.interest.rates,"Consumer.price.index,.harmonised",Core.inflation.index,"Core.inflation.index,.harmonised",Current.disbursements.of.households.and.non-profit.institutions.serving.households,Direct.taxes.on.households,Employees.and.self-employed.contributions.to.social.security,"Exports.of.goods.and.services,.deflator.(national.accounts.basis)","Final.domestic.expenditure,.deflator","General.government.fixed.capital.formation,.deflator,.based.on.appropriation.account","Government.final.consumption.expenditure,.deflator","Gross.capital.formation,.deflator",Gross.current.receipts.of.households.and.non-profit.institutions.serving.households,Gross.disposable.income.of.household.and.non-profit.institutions.serving.households,"Gross.domestic.product,.market.prices,.deflator","Gross.national.product,.market.prices,.deflator",Gross.saving.of.households.and.non-profit.institutions.serving.households,Gross.saving.ratio.of.households.and.non-profit.institutions.serving.households,Gross.self-employment.income.received.by.households,"Gross.total.fixed.capital.formation,.deflator","Imports.of.goods.and.services,.deflator.(national.accounts.basis)","Mainland.gross.domestic.product,.market.prices,.deflator",Net.current.receipts.of.households.and.non-profit.institutions.serving.households,Net.disposable.income.of.households.and.non-profit.institutions.serving.households,Net.saving.of.households.and.non-profit.institutions.serving.households,Net.saving.ratio.of.households.and.non-profit.institutions.serving.households,Net.self-employment.income.received.by.households,"Offshore.gross.domestic.product,.market.prices,.deflator",Other.current.income.payable.by.households.and.non-profit.institutions.serving.households,Other.current.income.received.by.households.and.non-profit.institutions.serving.households,"Private.final.consumption.expenditure,.deflator","Private.final.consumption.expenditure,.nominal.value,.appropriation.account","Purchasing.power.parity,.national.currency.per.USD",Real.gross.disposable.income.of.households.and.non-profit.institutions.serving.households,Real.net.disposable.income.of.households.and.non-profit.institutions.serving.households,"Total.domestic.expenditure,.deflator",Total.employers.social.contributions,"Wages,.total.economy"
AUT,2015,1026930000.0,162428715000.0,163571207326.0,,,1.0,,1.0,107186341000.0,40481743000.0,26972051584.0,0.999999999999998,1.0,,1.0,0.991430459565214,,,0.999999999932722,,,,,0.999999933712171,1.00000000000588,,298706316000.0,191519975000.0,13925883000.0,7.23246265630705,31411705000.0,,39732546416.0,39799466000.0,0.999999999994398,178621022000.0,0.798813138465556,,191519975001.073,0.999999999999998,28831180416.0,134740026910.0
AUT,2016,1111089000.0,168742846000.0,169933055653.0,,,1.00970833333334,,1.01636680305669,104946624000.0,36771979000.0,27853001467.0,0.995625494305531,1.01400798779558,,1.01737617735614,1.00335190391868,,,1.01801746396786,,,,,1.01295175376374,0.985744814994191,,304412190000.0,199465566000.0,16224159000.0003,8.08875738804214,32856595000.0,,40321643533.0,36018639000.0,1.01326102472693,184352496000.0,0.776931200753767,,196855066100.816,1.01370819589216,29927200533.0,140005855120.0
AUT,2017,980725000.000001,174423659000.0,175924827865.0,,,1.03223333333333,,1.03763364694707,109447738000.0,38210756000.0,28832445809.0,1.0111172807912,1.0311369910251,,1.03471914334801,1.02456694757579,,,1.02802341705263,,,,,1.0266019303412,1.0128476229208,,314475051000.0,205027313000.0,14637113999.9997,7.10511790806906,34411682000.0,,42404536191.0,38253690000.0,1.03193397250397,191370924000.0,0.775008738477935,,198682588676.196,1.03262619259976,30944112191.0,144980715674.0
AUT,2018,1272656000.0,182887403000.0,184934029509.0,,,1.05411666666667,,1.05645880382337,115543329000.0,40939595000.0,30076050367.0,1.02880463263497,1.05288943910544,,1.05982378181145,1.04090055684948,,,1.0464799331074,,,,,1.04567783952979,1.03378224753777,,327953425000.0,212410096000.0,16534595000.0,7.73791747122391,35221041000.0,,44527683633.0,40897261000.0,1.05369563358052,197148157000.0,0.765402505519115,,201585817792.77,1.05360817997237,32710990633.0,152223038876.0
AUT,2019,1146020000.0,190355696000.0,192574907277.0,,,1.06983333333333,,1.0739256160468,119750008000.0,42879737000.0,31244492505.0,1.02478559863261,1.07352456682011,,1.08511959973823,1.08195265722496,,,1.06171855173453,,,,,1.06795684240526,1.03561174500041,,336294604000.0,216544596000.0,15706136000.0,7.21488885859923,36016748000.0,,45625778495.0,38934080000.0,1.07176199358198,201984480000.0,0.738332060606803,,202045414277.359,1.07928152431734,33812757495.0,158762149782.0
AUT,2020,946313000.0,190064906000.0,192204165660.0,,,1.08468333333333,,1.09527579396495,117308531000.0,40182858000.0,31385473976.0,1.01714768568036,1.09467370244908,,1.13598803281468,1.07820068367851,,,1.0891740221071,,,,,1.08616344616937,1.01609618088176,,334524664000.0,217216133000.0,29562729000.0,13.550787288111,34800471000.0,,45740199024.0,32366897000.0,1.08268516560695,188599717000.0,0.728799341237542,,200627236707.57,1.09407256507563,33674202024.0,158529963636.0
AUT,2021,1045510000.0,199163965000.0,201335750023.0,,,1.11460833333334,,1.12011766764724,126628956000.0,44516303000.0,33172991051.0,1.07492195758575,1.12088481217636,,1.15504874032685,1.1314467598551,,,1.10983745057792,,,,,1.12581918035715,1.08539432564519,,353108759000.0,226479803000.0,25841043999.9997,11.3574369635082,35375690000.0,,48939661949.0,39622454000.0,1.10493777859265,201684269000.0,0.713469176684615,,204970639422.307,1.12293417108669,35116114949.0,166219635074.0
AUT,2022,1656298000.0,214674161000.0,217348792841.0,,,1.21066666666667,,1.17718480987342,135201927000.0,48283371000.0,34769262607.0,1.19354641172656,1.2007009868816,,1.21058185890756,1.23775099527728,,,1.16267587560662,,,,,1.21635314516828,1.2668666299987,,383403324000.0,248201397000.0,21891714000.0003,8.76167291945931,38287045000.0,,52149293393.0,48827468000.0,1.18903200692866,227965981000.0,0.696870080096281,,208742401847.633,1.20577058640884,37628646393.0,179720146448.0
AUT,2023,1687659000.0,231464597000.0,234610736921.0,,,1.30399166666786,,1.26330219419397,145752407000.0,49917123000.0,36979667272.0,1.21507848574443,1.28679060846523,,1.27129508379035,1.31499695648016,,,1.23981835796047,,,,,1.29752826721987,1.28831501465338,,413246202000.0,267493795000.0,23327311000.0,8.66601716179155,40618526000.0,,58855616728.0,53513129000.0,1.28757929028792,245854143000.0,0.708582852746434,,207749376692.899,1.29187929429256,40049214728.0,194561522193.0
AUT,2024,1610509730.35298,249838690134.578,254382285172.963,,,1.34155061550568,,1.31288443013212,154777371364.091,51163201069.5116,39340419388.0365,1.22954773304188,1.33141799994649,,1.33477287407488,1.21221634282507,,,1.27215692804427,,,,,1.33017337406342,1.26167393109236,,439230301184.63,284452929820.539,32371088373.9084,11.316052280127,40782385491.447,,64273750906.5424,55280944384.0447,1.33017845596291,253692351176.984,0.710037478508087,,213845690061.657,1.30386533571361,43354609960.8599,211027675212.103
