Country,Year,Core.inflation,Export.performance.for.goods.and.services.volume.growth,Exports.of.goods.and.services.volume.growth.nab,Harmonised.core.inflation,Harmonised.headline.inflation,Headline.inflation,Imports.of.goods.and.services.volume.growth.nab,Potential.output.volume.growth,Private.final.consumption.expenditure.deflator.growth,Private.final.consumption.expenditure.volume.growth,Productive.capital.stock.volume.annual.average.growth,Productive.capital.stock.volume.growth,Total.domestic.expenditure.volume.growth,Total.employment.growth
AUS,2015,2.11714890613943,4.20752349833793,6.09500629205694,,,1.4847984916333,2.01192501795501,2.56761736491777,1.2874798527361,2.50462299351139,3.17305317224418,2.94792365849817,1.14951754144799,1.95930045429455
AUS,2016,1.54342317438373,3.43878813495509,6.65078074228225,,,1.27728750580582,0.384148329450895,2.4080254511393,0.625631536950067,2.62275832621691,2.66245736698441,2.54152304548961,1.94172107844831,1.69561844195955
AUS,2017,1.70145190562594,-2.51478902503015,3.68857781225962,,,1.99495528548498,7.75782537067545,2.32600253641203,1.25637371638825,2.48083464222933,2.53954983304637,2.57432317657565,2.92833539460359,2.11883253635301
AUS,2018,1.65068034798151,-0.378069499018181,5.07969742755618,,,1.93345323741015,4.52864721543364,2.31478011250738,1.66553746576174,2.4953356057069,2.5794746652831,2.52797760349466,2.85523384587729,2.60855584850361
AUS,2019,1.62387535659448,2.82412988909236,2.9384394640213,,,1.56594618438459,-1.07626860120622,2.22881409051283,1.80720206848561,0.836705573085695,2.27860152652254,2.14993391513087,0.847178407901197,2.3316372166806
AUS,2020,1.25242928093272,-4.64125418023626,-9.6538456400048,,,0.890336590662315,-11.9024938377474,2.14085833501231,1.28362826165939,-6.06805412832487,1.90380139568293,1.82565903220267,-2.43916746798246,-1.76461096900927
AUS,2021,2.38856899125605,-10.9780011123052,-2.35070856438693,,,2.81962978906589,5.03434469365492,2.22160599834791,1.9678191054083,5.24658971668416,2.20668779204485,2.35757098800707,7.48072768215528,3.03313572634514
AUS,2022,5.936263278483,1.64738026882057,2.56764896907043,,,6.61503035377899,13.5692649734189,2.25577247164571,5.33637845286121,7.06341121562848,2.32635128788533,2.33830821312721,5.86042931903206,4.47447533444033
AUS,2023,5.81989775906251,3.62137716268056,6.8293147062394,,,5.63518554879259,6.46080005788491,2.24566450088817,5.76988244506897,2.02770753235272,2.45700411221587,2.53661586611737,1.81231076567126,3.37813132756862
AUS,2024,3.24481978652936,-2.49063562348758,1.46787475753048,,,3.17389776951667,5.56030721540201,2.24603101247415,3.88086292650591,1.02484611626494,2.52444835985163,2.47797691330575,1.87871404606466,2.5613905974605
AUT,2015,,-0.78749829152153,3.24983107535681,1.7492538325868,0.804757984577137,,3.69460200728702,0.851071038365134,1.33217248355292,1.13497807973918,1.01510168097661,1.04188646897416,1.47792251186182,0.865008783820755
AUT,2016,,-0.537189925559233,2.85802364228987,1.63668030566899,0.970833333334014,,3.78039273947765,0.910540577913622,1.32610247326063,1.83857735484148,1.1567475150069,1.20154947703548,2.61264225651875,1.73386367745435
AUT,2017,,-0.482712431076024,4.90488990415118,2.09243787050312,2.23084223991975,,5.2575421928176,0.908061285597583,1.84285661062235,1.960375513665,1.26994185729021,1.32951955132553,2.19547696315554,0.946050815428265
AUT,2018,,0.658004521604468,5.06286467894915,1.81423924828262,2.11999870830303,,5.10856746350865,0.99998142908909,2.10882301158723,0.874370735822453,1.41464101493189,1.46969037619586,2.24952601262834,1.38318349334523
AUT,2019,,1.04326769566656,3.55202798420189,1.65333585750972,1.49097980931839,,2.35759720915854,1.10362483852074,1.7145710227601,0.627367757745787,1.61355788980507,1.61358773337672,0.486590519692342,0.824838939343948
AUT,2020,,-1.9012220768477,-10.029762754059,1.98804997284091,1.38806667705249,,-9.44199862195659,1.00766346485784,1.01917889329731,-7.3753373565398,1.29658516803252,1.1837455830125,-5.39881641369296,-1.32789087527127
AUT,2021,,-0.944034425711692,9.32758006955962,2.26809300627025,2.75886971620076,,13.840872674458,1.1038005203276,2.0553170665477,4.54432955094468,1.37493446393475,1.43723632489998,6.91284617916655,0.210620632676452
AUT,2022,,2.81544861605971,10.1839515245539,5.09474529993327,8.61812445328293,,7.07858940398566,1.23995849886552,7.6107659603349,5.31538553953243,1.37871652621328,1.35275426306509,4.05497190478717,3.17182918686679
AUT,2023,,-0.514692547598017,-0.552529733382684,7.31553648995947,7.70856277542865,,-4.56922721124367,1.18604996870476,8.2880261241927,-0.397627480604683,1.19682915913661,1.08247346638264,-3.74822215953584,0.910533601953873
AUT,2024,,-2.99844605247658,-2.05822233770765,3.92481198608107,2.88030589442307,,-3.05763435416114,0.938365055523036,3.30846931107941,-0.116462398741987,0.892823390605059,0.805981093838597,-1.2367075039071,0.201021931926448
BEL,2015,,-1.18542132682704,3.66974900432082,1.63290195812708,0.619654536307351,,4.20076465971307,1.13865228837246,0.787392840608121,1.62582063226213,1.64143500366312,1.59695400385614,1.90268636791174,0.828184071976722
BEL,2016,,3.56377053648367,6.14455725776403,1.75250000000011,1.77001475012267,,7.77331042812423,1.31064713931858,1.48681131238862,1.60788721282263,1.63035816689937,1.72861161740369,2.3856131880997,1.23953938631067
BEL,2017,,0.270655465663552,5.51627729650731,1.47744117671165,2.22398729150115,,5.36361461846684,1.47094194952612,2.02481159117882,1.91035317457163,1.69499723732616,1.66509958052306,1.34020746313993,1.48198490092881
