Country,Year,Central.bank.key.interest.rate,Long-term.interest.rate.on.government.bonds,Short-term.interest.rate
AUS,2015,2.0625,2.7205,2.25583333333333
AUS,2016,1.6875,2.34083333333334,1.98666666666667
AUS,2017,1.5,2.64125,1.74
AUS,2018,1.5,2.68166666666667,1.94833333333333
AUS,2019,1.125,1.49708333333333,1.34416666666666
AUS,2020,0.2125,0.920166666666667,0.256666666666667
AUS,2021,0.1,1.47975,0.0283333333333334
AUS,2022,1.6,3.19633333333333,1.63666666666667
AUS,2023,4.0375,3.94158333333333,3.97916666666667
AUS,2024,4.35,4.24108333333333,4.385
AUT,2015,-0.225,0.747041666666667,-0.01937570144069
AUT,2016,-0.4,0.375383333333334,-0.263695659232072
AUT,2017,-0.4,0.583283333333333,-0.329056115557889
AUT,2018,-0.4,0.686158333333334,-0.322092958103428
AUT,2019,-0.45,0.0629333333333333,-0.356319350335655
AUT,2020,-0.5,-0.22485,-0.425159624976473
AUT,2021,-0.5,-0.0853833333333335,-0.548756292741075
AUT,2022,0.4375,1.71115,0.341555418515784
AUT,2023,3.625,3.082675,3.43080056073154
AUT,2024,3.5625,2.87031051195182,3.58563521080369
BEL,2015,-0.225,0.84,-0.01937570144069
BEL,2016,-0.4,0.475833333333334,-0.263695659232072
BEL,2017,-0.4,0.7225,-0.329056115557889
BEL,2018,-0.4,0.795,-0.322092958103428
BEL,2019,-0.45,0.193333333333334,-0.356319350335655
BEL,2020,-0.5,-0.148333333333334,-0.425159624976473
BEL,2021,-0.5,-0.014166666666667,-0.548756292741075
BEL,2022,0.4375,1.73333333333333,0.341555418515784
BEL,2023,3.625,3.08916666666667,3.43080056073154
BEL,2024,3.5625,2.93800098814229,3.58563521080369
CAN,2015,0.625,1.52169459633933,0.82264698675
CAN,2016,0.5,1.25175757575758,0.816378066416667
CAN,2017,0.75,1.78365202986055,1.06135677058333
CAN,2018,1.4375,2.27791210982001,1.793759273
CAN,2019,1.75,1.5888826137313,1.89031051460416
CAN,2020,0.25,0.753108661806031,0.635252138833332
CAN,2021,0.25,1.35881112654826,0.209265069833334
CAN,2022,2.375,2.77058615866082,2.55651995291667
CAN,2023,4.8125,3.36119242715925,5.02145871275
CAN,2024,4.375,3.30757786195286,4.48614102275
CHE,2015,-0.25,-0.0686666666666666,-0.724724753472222
CHE,2016,-0.25,-0.362,-0.768297616666667
CHE,2017,-0.25,-0.0720833333333333,-0.847818482870371
CHE,2018,-0.25,0.0331666666666667,-0.806276469041607
CHE,2019,-0.625,-0.489,-0.773305396524772
CHE,2020,-0.75,-0.523833333333334,-0.697590668763202
CHE,2021,-0.75,-0.23225,-0.735514984913288
CHE,2022,0.125,0.828833333333334,-0.17743126130874
CHE,2023,1.6875,1.0305,1.52106440209549
CHE,2024,1.125,0.598,1.26203013342535
CHL,2015,3.125,4.48022146433333,3.57045761183261
CHL,2016,3.5,4.4052768245,3.84341006634767
CHL,2017,2.625,4.24495834508333,2.88676245614542
CHL,2018,2.5625,4.49785728008333,2.77036987374905
CHL,2019,2.3125,3.57788662333334,2.55736256551035
CHL,2020,0.5,2.79856314634123,0.685711560876779
CHL,2021,1.625,4.3615900936681,1.47265000941088
CHL,2022,9.5,6.2600223488385,9.24818712335846
CHL,2023,10.0625,5.65579947979944,10.2315471101172
CHL,2024,5.875,5.80758235550999,6.00605243538138
COL,2015,4.875,7.85266896878757,4.57833333333333
COL,2016,7.3125,7.90587111090772,6.78166666666667
COL,2017,5.6875,6.77145228756162,5.98916666666667
COL,2018,4.3125,6.99523513114518,4.70916666666667
COL,2019,4.25,6.49711348551915,4.49833333333333
COL,2020,2.4375,6.33378236995861,3.37833333333333
COL,2021,2.0625,7.62622424833385,2.0725
COL,2022,8.0,11.681894867021,8.49916666666668
COL,2023,13.125,11.3397861120813,13.2141666666667
COL,2024,11.0,10.4858610110521,10.12
CRI,2015,3.3125,,3.21061136102285
CRI,2016,1.75,,1.65770752101605
