Component,Observed_policy_loss,Planner_benchmark_loss,Gain_obs_minus_planner,Gain_pct_of_observed_total_loss,Contribution_pct_of_total_gain
Output,15.4958255662529,4.59338030137876,10.9024452648741,22.6805409753087,63.9682919400793
Mortality,29.0764497639725,18.0206446412716,11.0558051227009,22.9995780770692,64.8681055065789
Debt,0.658846189820069,2.05632801647805,-1.39748182665798,-2.90720504086215,-8.19949316843881
Stringency friction,2.86558068502737e-08,5.32849503529711e-08,-2.46291435026975e-08,-5.12364230985332e-08,-1.44507420449118e-07
Fiscal friction,3.96597252216505e-09,4.95750406118532e-08,-4.56090680896882e-08,-9.48813144686552e-08,-2.67603653290143e-07
Below-line stock risk,0,0,0,0,0
Terminal value,2.83847818370192,6.35573193572442,-3.5172537520225,-7.31700237013077,-20.6369038661083
