Moment,Value
Output SD ratio mean,1.15075328023396
Output AC1 observed,0.244223249972009
Output AC1 simulated,0.202583211052025
Output AC1 gap,0.0416400389199846
ICC output observed,0.356323035948326
ICC output simulated,0.439433611590184
ICC debt observed,1.01751227687371
ICC debt simulated,1.02072875456634
