VSL,MCPF,cum_y,cum_d,end_b,avg_S,avg_CP,avg_DI,CP_share
10,0.1,-3.32463159414879,0.0698917863297933,14.5072314950251,0.520201231050037,1.33333333333333,1.00052010088923,0.571301228167091
10,0.3,-3.25545801045755,0.0751279892422866,13.4162150500287,0.49041961516463,1.33333333333333,0.775807562826367,0.632168925158604
10,0.5,-3.28443692843047,0.0750896306352937,13.1605167424131,0.490666700455681,1.24270996871176,0.737499408958472,0.627564934660515
10,1,-3.38286546858528,0.072090497647544,13.56205619333,0.509076587150698,1.06739327440359,0.854382437146887,0.55542031673531
10,2,-3.34506002398512,0.0820967153993524,13.3305571004072,0.472325922749315,0,1.27092553190275,0
20,0.1,-4.07991496096486,0.0593512854014731,15.8111341946047,0.61364704907517,1.22609445899771,0.953438225437594,0.562549241749674
20,0.3,-3.96671190711802,0.0633965724502436,13.1436445856209,0.578286161872019,0,0.888888888888889,0
20,0.5,-3.96932107154174,0.0633434087615413,13.149378535073,0.5787648303767,0,0.888888888888889,0
20,1,-3.97224155876276,0.0632853206349466,13.1558077229167,0.579288721078888,0,0.888888888888889,0
20,2,-4.11409121960846,0.0608041918575712,13.3519646930019,0.599898334643914,0,0.861022729185399,0
40,0.1,-4.89277803187185,0.0503001559757896,16.2020684167967,0.727770764222679,0,1.12181161755677,0
40,0.3,-4.87079057007926,0.0510295300069902,15.8058716139438,0.719283644599584,0,1.03939771565598,0
40,0.5,-4.84213958986437,0.0517089828323357,15.5289162697659,0.711486647819447,0,0.98874867433774,0
40,1,-4.86353990272424,0.0516767264400374,15.3513673835202,0.711913221835052,0,0.935411058456682,0
40,2,-4.88086725023059,0.0516500080448537,15.2084418865157,0.712268822834422,0,0.892420745255606,0
60,0.1,-5.16776383397481,0.0464559078403439,17.4355617620285,0.790003865755852,0,1.26808437773622,0
60,0.3,-5.18828992975775,0.0463721594546817,17.2839811741748,0.791134170015727,0,1.22139605757285,0
60,0.5,-5.2122834131514,0.0466768351295163,17.1850747012452,0.78788155410029,0,1.18487980257882,0
60,1,-5.22050113531838,0.0470068222336862,17.0015411102534,0.783880090812148,0,1.13675226931661,0
60,2,-5.23565838492383,0.0469887672518293,16.8845589849069,0.784175306960444,0,1.10103720526211,0
80,0.1,-5.31832995588476,0.0450768434096545,18.0497105765693,0.817243529565264,0,1.33333333333333,0
80,0.3,-5.31787890501645,0.045084579622057,18.0488446961728,0.817358459016105,0,1.33333333333333,0
80,0.5,-5.31784378415623,0.0450869353268969,18.0481929141262,0.817405969040291,0,1.33318563993499,0
80,1,-5.33053077855038,0.0450890140343928,17.9350910793182,0.817442935674249,0,1.29968129854229,0
80,2,-5.34144075493538,0.0450900942114993,17.8383142692402,0.817465055203876,0,1.27098717260196,0
100,0.1,-5.41192691540547,0.0445356924564565,18.2584260261475,0.825826146891315,0,1.33333333333333,0
100,0.3,-5.41268815562707,0.0445353431558821,18.2602364926951,0.826022864712629,0,1.33333333333333,0
100,0.5,-5.41310821896743,0.0445345083524759,18.2612174979574,0.826111106153741,0,1.33333333333333,0
100,1,-5.41364000476949,0.0445331298435327,18.2624503758708,0.826212634269519,0,1.33333333333333,0
100,2,-5.41405426715788,0.0445318890921809,18.2634060984424,0.826286439849623,0,1.33333333333333,0
140,0.1,-5.56578687929574,0.0434920104774877,18.9635528757255,0.842785568366377,0,1.4191268546208,0
140,0.3,-5.57596967128591,0.0436099605477095,18.6241559654494,0.840561066762648,0,1.33333333333333,0
140,0.5,-5.57480230596047,0.043613069794844,18.6214542788895,0.840344227061878,0,1.33333333333333,0
140,1,-5.57572839396794,0.0436082198690008,18.6235273655252,0.840436183407032,0,1.33333333333333,0
140,2,-5.57653228667033,0.043604786738552,18.6253497716135,0.840542070185512,0,1.33333333333333,0
