Country,Ly_obs,Cum_y_obs,Dcum_obs,Delta_b_obs,Avg_S_obs,Total_above,Total_below_eff,Total_DI,Below_share,DI_share,Frontload_share_Q1Q3,Obs_exceeds_common_cap,Closure_cum_y_model_minus_raw,Closure_deaths_model_over_raw,Closure_bT_model_minus_raw,Obs_exceeds_dS_max,Fit_score,IFR_scale_to_match_raw,Exceed_instrument,Exceed_quarter,Exceed_value
AUS,104.560764435206,-22.1113159522034,794.453504503332,1.56792620928064,32.7873320169414,10.1716294292355,0.706035532149999,4.08540510621742,0.0471852052393086,0.273032545310529,0.712420707411185,3.52583667131661,4.0163793520837,1.20206458449278,-2.11050764890085,0,1.02090588181462,0.831902056595368,F_above,Q1.2020,3.52583667131661
AUT,585.985392664291,-78.0500437766264,2633.45362117008,8.06689875330324,42.8133773561508,7.6031362180251,0.671419576402355,1.18753339537871,0.0709589143511455,0.125504354435602,0.656671794938415,0,-8.46637995113164,1.08154063590021,-2.80837033448505,0,1.32056274774197,0.924606960484343,none,,0
BEL,285.280117786073,-38.9545142790826,5034.61402166937,0.53890534826931,33.1047920482295,5.59513100182842,2.86516699300069,1.70265385712927,0.28192271642501,0.167535365898754,0.876250329562003,0,-5.90838081345548,1.70745085763921,-3.1208175991148,0,2.96774903388066,0.585668393046838,none,,0
CAN,394.499919549421,-57.2372840680734,1319.68110994054,11.6148165336577,35.1290114455237,5.24209615266086,1.26108674157225,6.47100237078526,0.0971996865939981,0.498759824883393,0.743205131722187,0,-5.35685823681187,1.01181207294389,-2.26378927007485,0,0.83554807052133,0.98832582328305,none,,0
CHE,118.168335630399,-21.1555141340554,3820.93053911299,1.45957222812735,31.113782051282,4.91285452816666,1.61215553696401,0.180886816534797,0.240408638160213,0.0269742913926037,0.795553180549982,0,-3.52779066152641,2.20822889720309,-0.681985873471728,0,4.39442377806919,0.452851604861519,none,,0
CHL,474.642167155007,-50.7703152810864,2058.28729338635,3.06270048379034,38.2018736032073,2.68063344911136,3.27364215878399,11.8867380785862,0.183489694941744,0.666259119995688,0.395653988866572,4.65094129611348,-13.255190295293,0.628972878539778,0.52816557967386,7.96165293040293,2.57204443321179,1.58989367287441,F_DI,Q1.2021,4.65094129611348
COL,480.103945104929,-46.6212297996304,2686.11996158376,16.0077781076754,42.6557432844933,1.17780480913227,0.874661485623958,2.64115383383723,0.186351145099182,0.56271145969981,0.732760492563499,7.60989010989013,-19.4255950333875,0.926681002273054,-0.104007507430637,21.1644917582418,3.02995108911741,1.07911999657606,S,Q2.2020,7.60989010989013
CRI,365.307104784166,-53.9933895708216,1214.9908436368,12.472582172862,38.6573504273504,0.391165655800893,3.48458967776277,1.42504704424391,0.657370229901687,0.268836101155182,0.619997724192771,0,-1.137634557143,0.680936581280451,-1.55836976021918,6.07291666666664,2.1317036370115,1.46856554265241,none,,0
CZE,841.763058502146,-97.3299312173823,3858.35471224905,10.0021319170243,34.1189644383394,4.9346213766389,3.88186341853656,2.54493736636035,0.3416705552654,0.223998134227971,0.657266012666224,0,7.41771730379392,0.967551364770035,-2.02921657728879,5.95386904761904,1.15699522124116,1.03353686058587,none,,0
DEU,407.396384331309,-61.66601087926,2340.89324371724,3.57112695468397,35.7371385168651,7.12152621736419,6.20891879443446,2.62501268465229,0.389140751243729,0.164521302653461,0.821859143530598,0.321617940290601,1.81227712760087,1.19303810445057,-2.20385591995942,0,0.979094118185381,0.838196195301345,F_guar,Q1.2020,0.321617940290601
DNK,97.8045941444697,-18.7240471130507,914.960424677514,-5.46420287220961,29.4567455547924,5.46976094693168,8.87509658204008,4.77030313582979,0.464296206433806,0.249556005281911,0.970317913744694,0.669892431028155,9.74600220613738,0.680868002760475,-2.35682463272872,1.37053571428574,2.13226233287935,1.46871345979787,F_loans,Q2.2020,0.669892431028155
ESP,1503.08593558601,-126.07868301135,6197.05720308693,10.1168428626327,35.4239327277385,3.96448173216598,4.92328370663288,1.88702280759091,0.456926261013295,0.175133168693425,0.736014826522808,0,-7.60220844921152,2.25709450109491,-1.28582618816613,0,4.51583807584395,0.443047466339979,none,,0
EST,220.592153727792,-48.9749912730799,2323.41942587177,7.33945025581424,24.8195662583944,7.97559760956175,2.95105708112488,0.482569721115538,0.258655362942304,0.0422964527383954,0.855744340608869,0.0535223403020542,16.892805226799,1.08062125751393,-2.85183149351831,0,2.63489347467685,0.925393603953894,F_above,Q2.2020,0.0535223403020542
FIN,238.898409333959,-50.1883601867529,1483.66079917123,2.66574981626611,23.0723213331807,2.39772694205531,2.23755267275161,2.32173663622343,0.321625333622042,0.333725918187926,0.842802072376717,0,7.1381634140009,1.04621423115751,-3.49683429136984,0,1.11339117146099,0.955827181679248,none,,0
FRA,617.506100502937,-73.9099385479067,2726.25448444222,4.98230151238076,36.7142669223138,7.05375441083593,4.12553076743952,1.20988075073339,0.332995037041172,0.0976563521439725,0.60513008998104,0,-5.39369845773236,1.13270853535939,-1.85149054456457,10.6860119047619,0.841294307241981,0.882839643900727,none,,0
GBR,1055.83674538454,-96.7708584317025,3844.56892295629,5.00775027995563,34.5949250228938,10.0879694213996,3.86325984050185,2.09343130372325,0.240781649739527,0.13047526279293,0.837524485254295,1.61172161172163,-7.93912366874144,1.15809615815507,-6.12652447374238,12.1168727106228,1.23832275744431,0.86348615610043,S,Q1.2021,1.61172161172163
GRC,504.147901631825,-61.9718380572592,2321.668615795,2.51460249702828,47.0354588293651,7.53506422840559,3.81708197640635,2.47835438716285,0.275990153141762,0.179194843359533,0.582714613112345,0.123626373626337,-7.11734551343075,0.716529236747881,-5.29374203599968,1.31101190476194,1.8490755795908,1.3956164643591,S,Q1.2021,0.123626373626337
HUN,721.137020769559,-80.1000013743725,3756.97840307944,2.02940720872306,30.7103740270147,3.59596316167876,1.88149567417793,1.6912921048484,0.262457949751686,0.235925633187369,0.529719086601374,0,2.10896422395921,0.751160572811055,-4.86722323405942,0.198992673992642,1.58724659016439,1.33127328056865,none,,0
IRL,615.845935057268,74.4815311524436,1753.56726196619,-5.10092508365102,37.082395260989,4.73444880389093,1.00729410178026,4.14323244470419,0.101901528944329,0.419144438690669,0.622110798332228,6.27060439560444,-4.41874484838576,1.05156136594345,-3.17916029535893,20.7524038461538,0.68922371453162,0.950966850234942,S,Q1.2021,6.27060439560444
ISL,982.06240127581,-107.834958389072,1699.08738700563,8.59960539924238,23.4924398084554,4.72597488433575,1.01553205551884,3.53602115003305,0.109461490785002,0.381138285518883,0.455941126602028,0,-2.73552848964216,2.21866352710329,-2.08184784273297,0,4.42057434016011,0.450721791647971,none,,0
ISR,211.656168699176,-23.2974077964914,1053.50823660091,4.9783885419247,37.8949516369048,2.90265001076951,1.20846007354546,5.71665592085014,0.122963863090588,0.581684170934236,0.918243497381593,0.074922570406228,1.80564012587643,0.810597502994483,-3.72890389811773,8.27529761904764,1.16481677769273,1.23365788360541,F_DI,Q1.2020,0.074922570406228
ITA,569.675253635993,-65.3740892151909,4278.35257167089,2.91572107260049,46.3108441397392,7.64898904436793,5.98881781541845,0.925788668458575,0.411218356332652,0.0635686885606704,0.737953733517753,0,-14.7241577519121,1.26606679001271,-3.19371173457694,29.3169642857143,2.29663378342149,0.789847745702232,none,,0
JPN,262.978692370173,-54.1947873184729,729.182818847297,1.29955950251295,34.0999816849817,4.67836246749494,10.8892336030049,5.33931667148223,0.520843691146173,0.255385227717559,0.704776853410762,0.054199689289276,-7.61498986815055,1.59927673898135,-6.56301757473142,0,2.60468595858059,0.625282651604714,F_loans,Q2.2020,0.054199689289276
KOR,127.456030866779,-30.7494097376744,726.750689113966,3.44623758595839,33.2777945392901,2.48316371552064,3.82274510408799,2.57618940472209,0.430387618729136,0.290042886225367,0.806190635431884,0,5.49322810846073,1.17144174530154,-2.02496977025663,19.6145833333333,0.877759194750834,0.853648936458716,none,,0
LTU,143.135496969686,-27.0247455739382,6035.48996564345,3.1571429970978,30.3047997748779,4.68234468234469,1.148751884046,3.51826234179176,0.122869588741601,0.37631054453505,0.780198424310014,0,12.4647969912554,1.78757716905483,-1.83875766235588,0,3.22214061524892,0.559416408595522,none,,0
LUX,89.6768303756141,-11.041433362,1740.60019861956,6.67720167401063,32.5624876673426,3.8531283053944,1.25316516555018,0.107375236385782,0.240361487447072,0.0205949480899723,0.687302599727962,0,2.32117371941456,0.904018812012801,-0.843287537478609,0,0.559738658954239,1.10617167111102,none,,0
LVA,315.039681513968,-50.4808647916064,3922.74050982022,12.6770343025391,30.0909451312576,5.48687491796824,2.51755479721748,0.246095288095551,0.305138739197353,0.0298278337436318,0.751510282648552,0,0.174240514535498,1.21471484663281,-0.920426256473355,0,1.07897812711863,0.823238476727273,none,,0
MEX,1106.26215150851,-108.106069201228,3600.8641186954,1.71721988629006,32.4322265148047,0.414050554468632,0.202330096766926,1.01008267313375,0.12439880674554,0.621030095176249,0.99639791383404,0,-6.91400110759791,1.36899780654679,0.774373008395566,24.8412316849817,1.742251989059,0.730461360286939,none,,0
NLD,245.644257110803,-38.2673695270227,3652.74584718601,4.49379097820439,38.2296830166361,5.45142407191881,1.08437920782181,1.14563830535626,0.141168711082262,0.149143659124997,0.724797212021791,0,-2.05142934479873,2.62664164945414,-1.05322384465762,0,5.35694413569565,0.380714285942971,none,,0
NOR,108.757470850535,-20.4296712916618,1189.66844338668,3.68466500061344,28.7103174603175,1.61843261883833,1.80201501115694,0.122839047039466,0.508571610317738,0.0346681085207213,0.834610858433256,0,-2.82223605793342,1.3683471317689,-0.286329669788607,0,1.73961482835346,0.730808708392054,none,,0
NZL,245.891130671925,-41.9447590417368,438.58021054084,16.8571655208835,25.3553755532662,10.2124440059727,1.28296315059727,4.9876013225256,0.0778354966100016,0.302590472415948,0.831735561922826,2.0364817219976,3.1244990158589,0.952514139705802,-4.32795107523152,0,0.487350795678408,1.04985318150643,F_above,Q1.2020,2.0364817219976
POL,328.56570124858,-54.0466024493596,3687.16613904338,3.90490630286862,34.7606552388584,6.60014532300942,0.98656026066655,1.90010714493067,0.103992804421201,0.200289306776455,0.774952709469233,0,10.7197858240776,1.15713041343537,-2.20659442336422,9.30551739926744,1.67204282169703,0.864206824389942,none,,0
PRT,1062.34237827779,-102.639596021893,2583.21764456309,-4.49221051174,38.2623601572039,2.93457973163277,2.91549116667687,1.40767344521225,0.401707614471042,0.193954674976766,0.821117459586946,0,-7.607000982434,1.03686392239494,-1.83027200796782,0.120535714285737,1.18651917081707,0.964446711281269,none,,0
