Country,Weighted_gain_pct,Cum_y_planner,Dcum_planner,Delta_b_planner,Total_above_planner,Total_below_planner,Avg_S_planner
AUS,63.5948475862939,-2.96239042531054,713.74005446533,2.16151892481619,3.38725285749264,18.469356090642,45.2446628195823
AUT,40.6710102576754,-18.0134153642371,2190.9903855127,19.2499247966158,8.04186764568485,26.3139079407183,53.0771038202168
BEL,31.5690959524367,-9.99146501477763,3827.44600606199,11.4034890022988,7.29785185831178,22.5563743465861,55.5230106489569
CAN,54.9392653092876,-10.0583751117515,1354.76258138481,11.7853558074178,4.01429912083237,15.7740716796098,34.4929890086844
CHE,48.4522592609438,-10.3815355519522,2477.78518582426,11.6570918652466,5.66999735126471,18.7686720432644,57.6326447658778
CHL,58.2261504847195,-7.9676990516284,1557.93699442598,8.5277354611749,7.17814869171597,21.6331127386123,60.3177899748199
COL,26.3773758934377,-8.08218342243688,2261.58197117956,23.2629131181535,4.74402874475921,18.8839312402909,55.5372877604423
CRI,47.1893307338529,-8.24088254342028,1226.78015761483,13.297812051667,2.58552551381369,15.3803548144384,32.3952704528799
CZE,33.5518491252822,-22.9733494772921,3218.19777575933,22.0156767845568,8.75372844867939,31.8572440932107,42.3782659289775
DEU,40.3070040105086,-15.7071620513662,1958.48013247817,14.1356179515258,8.5676851146187,29.7742317100112,52.7754590386598
DNK,64.7015667118625,-3.11736799688065,742.99104289875,1.19690350299543,7.13117322926264,29.1360934270436,57.8480457602777
ESP,31.685946737048,-37.6651042591828,4974.66796457731,21.7946326734526,9.91717655315344,31.4670893908247,36.2705331582389
EST,44.3595704618042,-16.1464892637567,1733.25961757753,16.3875165708758,7.11167567475558,25.9096727452745,42.8470728970593
FIN,44.6290620341005,-11.8193477095906,1337.22188019341,11.0654356162438,5.71408536290913,23.5312322937918,36.6295537636485
FRA,30.7682267714546,-15.798713504873,2409.98158156711,15.2938779644284,9.44314572432781,25.8113287712861,44.1180066168507
GBR,42.8739071297983,-31.656869497545,3064.3339763265,15.4304503019421,9.91714427784779,30.9918890023879,45.2654165276889
GRC,41.5801394435952,-7.72055535099721,2235.00834701621,7.13626898310821,6.55498408360311,25.577429063389,54.1655616037347
HUN,34.2547074683526,-16.4191201117639,3088.06226401166,15.9626647837955,8.36901492660434,30.3615208695102,47.7211140896697
IRL,62.2239943446219,7.3626731790184,1467.4379585248,0.268016875875233,0,1.50223720164101,74.0567860958486
ISL,59.275721709233,-24.2226449683388,1513.55227097703,18.9537860940167,8.47688859508747,28.8242255679215,25.0697120924015
ISR,57.6436219022119,-4.56555254389151,887.06147206202,5.54931978871679,3.46796499316491,11.9627673821652,52.6784499431485
ITA,0,-65.3740892151909,4278.35257167089,2.91572107260049,7.64898904436793,5.98881781541845,46.3108441397392
JPN,73.2728152073478,-4.24635364362618,695.92737641337,3.4134447982303,5.33267361678909,30.0706776256362,28.8014696627501
KOR,53.7088743535557,-1.88215803290463,718.707013984551,2.57588207805112,0.871151637540537,14.9901571101707,29.2248516298065
LTU,42.712378449379,-13.5431443907211,4351.74620747548,13.3369677656034,6.19622347416633,23.4500887690009,64.1569006271827
LUX,35.953428314095,-9.24527682591483,1177.68741361645,12.5657831281444,3.83557592244169,12.1265177613208,52.6559424659007
LVA,37.1299141416586,-18.351466874307,3056.04937106482,21.4167918773867,6.12086255055886,23.278839324336,46.3707238916881
MEX,26.0903521318895,-17.0941968723481,2961.59341836383,26.7665309859606,9.04180985465528,37.8933193648262,45.232679113478
NLD,30.5118093357453,-11.54401177351,2978.6988990138,13.0118967393127,5.93386480470915,19.5547565924149,57.4659323570612
NOR,36.0832768012635,-7.59449081140439,1092.17413991969,7.53445976587635,2.83178266804477,11.2559026193074,38.7098640775607
NZL,81.6662054474943,-5.87891194465129,636.696461650078,7.22300907130226,0,6.36142223931945,1.97205183515608
POL,27.7108336391795,-11.034819609967,2984.62632757743,12.2401813030933,7.10173353581572,23.7878061356687,50.0016771193331
PRT,55.9061269560253,-24.1236073412077,2156.663748293,10.6763628351447,9.91738436383472,32.3169959470277,50.6611173181396
SVK,31.8471640621998,-16.7130668204074,3353.10535445391,18.2783066006044,6.09540267819377,22.1663092835444,50.6110945638864
SVN,26.5605870105207,-15.3545710573847,2729.96574203555,15.0963822061033,8.40041026424096,29.1887160846751,49.1398828355785
SWE,44.7055932618476,-8.43158501101803,1797.35122947402,10.2786928222216,5.6747389841723,17.864428277375,52.1959217927587
TUR,35.1581025139814,-1.07719875089317,1696.67016646404,4.63099472445953,0.864655725216454,11.3347504268033,56.7792836804744
USA,50.4677601562979,-13.782242570995,2284.41274632756,15.5944947309442,5.71969672801323,18.71835098846,57.5506345141342
