Scenario,Output_loss_Ly,Cum_output_gap,Cum_deaths_per_million,Terminal_debt,Avg_stringency,Total_above,Total_effective_below,Total_DI
Observed,285.650675996927,-46.1124921585436,2504.7455619603,73.6305682073561,34.1287978278075,5.11903856591593,2.7374619761742,2.61469650210992
A_Output_frontier,60.7718887582776,-15.2419841946412,2504.7455619603,73.6305682073596,33.0411767964277,4.08075277149445,13.0572603732755,1.42107713279205e-15
B_Mortality_frontier,285.650675996927,-45.6184435664328,1946.73189498758,73.6305682073561,45.0849395115606,1.46312549691442,10.7109227312884,6.66133814775178e-16
C_Debt_frontier,285.650675996928,-36.6209470819969,2504.74556196031,67.292700752532,24.0243982714344,1.33226729349683e-15,2.763431090419,1.33226785346124e-15
