Component,Observed_policy,Planner_benchmark,Difference,Observed_pct_of_obs_total,Planner_pct_of_obs_total
Output,21.9378835308351,7.30747637599636,-14.6304071548388,39.9617903384708,13.3112129267366
Mortality,29.0764497639725,16.0686728522166,-13.0077769117558,52.9653185377594,29.270505271632
Debt,0.737307563990769,2.86208924605403,2.12478168206327,1.34307077734978,5.21354807176558
Stringency friction,2.86558068502737e-08,6.31292318809207e-08,3.4473425030647e-08,5.21990803589046e-08,1.14995465497306e-07
Fiscal friction,3.96597252216505e-09,4.94027362930118e-08,4.54367637708468e-08,7.22436885017334e-09,8.99914427530443e-08
Below-line stock risk,0,0,0,0,0
Terminal value,3.14550797259294,8.65755631899794,5.512048346405,5.72982028699659,15.7705026547804
Total,54.8971488640131,34.8957949057969,-20.0013539582161,100,63.5657691299016
