Scenario,Output_loss_Ly,Cum_deaths_per_million,Terminal_debt,Output_slack,Deaths_slack,Debt_slack,Target_improvement,Target_improvement_pct,Feasible
Observed,285.650675996927,2504.7455619603,73.6305682073561,0,0,0,NaN,NaN,1
A_Output_frontier,60.7718887582776,2504.7455619603,73.6305682073596,224.878787238649,5.45696821063757e-12,-3.5242919693701e-12,224.878787238649,78.7251024188259,1
B_Mortality_frontier,285.650675996927,1946.73189498758,73.6305682073561,0,558.013666972723,-2.8421709430404e-14,558.013666972723,22.2782575383027,1
C_Debt_frontier,285.650675996928,2504.74556196031,67.292700752532,-1.02318153949454e-12,-1.36424205265939e-12,6.33786745482415,6.33786745482415,8.60765794578095,1
