Scenario,tau_b,lam_d,Cum_output_gap,Cum_deaths_per_million,Terminal_debt,Avg_stringency,Total_above,Total_effective_below,Total_DI,J_planner,J_observed,Gain_pct
Output_oriented,0.025,25,-12.1060316200936,2121.21338365651,82.7900810453317,46.8425595513351,7.00301177321873,21.5619403606459,0,14.002023917594,26.9366377069598,48.0186648759946
Balanced,0.05,50,-20.1666370349208,2016.80760300637,80.5254822889709,45.6962728345613,6.06706198978999,18.9462077791959,0,24.9395049286688,38.3774498150449,35.0152106279561
Baseline,0.05,75,-22.2974199563485,1938.75194745239,81.4250821871339,48.6104574109908,6.26621377515271,19.5598574998146,0,31.0260849977128,48.0695997363691,35.4559114952673
Precautionary,0.1,150,-32.8585593767493,1946.89928806977,79.2151504680217,47.7715577392638,4.93245184314956,16.5315853340448,0,56.5611916372821,80.6433738738636,29.8625678462425
VSL_5M,0.05,58,-21.2821186649126,1966.97349204527,80.9300088509571,46.9876118397531,6.14725432612684,19.154450958388,0,26.9029378616862,41.4789377898687,35.1407261247243
VSL_9M,0.05,104,-23.7294753831932,1915.22177179659,82.2288368010589,51.0166545912633,6.47937959896992,20.1433651863547,0,37.9740741802183,59.3124936451051,35.9762642801106
VSL_11M,0.05,127,-24.4876232413673,1894.33491387379,82.9153419221251,53.2622324779693,6.63549653238298,21.0215002238754,0,43.4415772652235,68.2292715727233,36.3299999195792
