Country,J_direct,J_ilqr,abs_dJ,b_direct_N,b_ilqr_N,abs_db_pp,abs_du_max_pct
AUS,0.92396600788525,0.925228403382634,0.00126239549738383,4.2947062798745,4.28128969127762,0.0134165885968755,1.30457829344107
AUT,3.63883712028469,3.63669960085376,0.00213751943093543,11.4708733328026,11.4645532540221,0.00632007878049318,0.0761938764161842
BEL,1.45490764009173,1.45464552265362,0.000262117438118548,4.74188834463161,4.73770317552025,0.00418516911136133,0.613378660856589
CAN,2.94527364795515,2.94393461380437,0.0013390341507824,10.7794587656351,10.7990040230023,0.0195452573672109,0.59088584235633
CHE,0.696645689258828,0.696243297863772,0.000402391395055934,1.80578341998753,1.73081958640777,0.0749638335797654,0.448386361749583
CHL,1.16412739131218,1.16426250536105,0.000135114048875895,1.40130389213035,1.36012200950143,0.0411818826289172,0.249798387019285
COL,1.98031460074876,1.98355464738582,0.00324004663705946,8.49331432255224,8.58733036449004,0.0940160419378014,1.83145371545532
CRI,4.48939198170292,4.48818233971912,0.00120964198379259,15.1942787771594,15.2695518999829,0.0752731228235159,1.53221887875964
CZE,4.10194739460724,4.1013813454012,0.000566049206035757,7.53456996336286,7.53329897885355,0.00127098450930507,0.269409821851564
DEU,2.17426150813276,2.17403315937358,0.000228348759183206,5.35851508963073,5.3532161232399,0.0052989663908265,0.511956426324734
DNK,0.840462230037803,0.842216302370493,0.00175407233268976,2.22812524562363,2.21992920377891,0.00819604184472376,1.81228691686881
ESP,5.86947009841307,5.86710475734551,0.00236534106755482,8.96538409237788,8.95436661779157,0.0110174745863112,0.289428254264419
EST,2.12628211844945,2.12639673418216,0.000114615732706991,7.2711720044263,7.24463575167058,0.026536252755717,0.882614858262033
FIN,1.69102230553919,1.69062444110043,0.000397864438761886,4.65568682303626,4.67381473232546,0.0181279092891957,0.424572215526307
FRA,2.80079591241452,2.79937214233751,0.00142377007701011,6.75445596967053,6.73834871755833,0.0161072521121922,0.2683923231345
GBR,4.94852319491043,4.95056610265363,0.00204290774319382,10.9824646177454,10.9366023628866,0.045862254858843,2.1561265628547
GRC,2.60826722455211,2.60734934432593,0.000917880226180223,9.14445065471438,9.12611482597955,0.0183358287348362,0.409758133693966
HUN,3.09326512514865,3.09197641844097,0.00128870670767656,7.51412709626619,7.50917143148055,0.00495566478563997,0.107160251917826
IRL,2.42235609401334,2.42189754745612,0.000458546557222217,4.18270722040495,4.18742851993341,0.00472129952846512,0.663971022270147
ISL,4.76097336962618,4.75918211221817,0.00179125740801034,8.55434407414939,8.5451181657217,0.00922590842768606,0.0915548952509559
ISR,2.47095744923666,2.47239145790603,0.0014340086693716,11.039488042948,11.0270588683392,0.0124291746087996,0.984796667496189
ITA,2.40538888313778,2.40946812627014,0.00407924313235908,7.59027501399295,7.5598359090964,0.0304391048965527,3.03199845067437
JPN,3.44225982722673,3.44657059146007,0.00431076423334265,13.7201484380925,13.6489671000392,0.0711813380532389,3.01094723807893
KOR,1.39066231294114,1.39249902497753,0.00183671203639868,6.099410693835,6.1239200747792,0.0245093809442092,1.71068025182584
LTU,1.30332580053685,1.30258292794238,0.0007428725944707,4.91484802281235,4.92364928618944,0.00880126337708814,0.194026611673193
LUX,1.37577761864077,1.37660136974734,0.00082375110657007,7.40015080740161,7.42446137719978,0.024310569798168,1.55641806305024
LVA,2.71551982739645,2.71407408172907,0.00144574566737399,10.8773388185357,10.9201749598851,0.0428361413493603,0.883051830862916
MEX,3.90084742486545,3.89753989027069,0.00330753459476396,-0.120555340154826,-0.116464324688166,0.00409101546666023,0.123383720540413
NLD,1.38820269470056,1.38778357946151,0.000419115239046475,4.89971846309286,4.92766301590474,0.0279445528118843,0.667628858802043
NOR,0.671547201687128,0.671373353458424,0.000173848228703921,1.34299716455748,1.29581704599225,0.0471801185652288,0.271035893708122
NZL,4.74308277876353,4.74852809212574,0.00544531336221077,17.2593306625747,17.2108435572707,0.0484871053040126,2.24086981979004
POL,2.29320383594188,2.29217785230105,0.00102598364083084,6.64893261772566,6.67547960891383,0.0265469911881658,0.565122226787682
PRT,3.47440992268346,3.47313026168114,0.0012796610023198,2.76758389783551,2.76023284815056,0.00735104968494285,0.0608112611001799
SVK,2.74125252692595,2.742696232866,0.00144370594005228,10.6981508403823,10.6881296575542,0.0100211828281058,0.937210010087276
SVN,4.46194634157417,4.45914126120802,0.00280508036615768,12.9497590674021,12.9805925909759,0.0308335235737672,0.674684902864804
SWE,1.11867432883274,1.11865077939563,2.35494371094713e-05,3.36406177139451,3.43190036912952,0.0678385977350121,0.902321178676448
TUR,0.853341902829659,0.856797339642739,0.00345543681307947,3.96286238080968,3.96655314976199,0.00369076895230802,2.35387658379344
USA,5.10959576867976,5.12625711061703,0.0166613419372688,18.7074641485313,18.6974883573966,0.00997579113468094,3.61998592420047
