Country,J_direct,J_ilqr,abs_dJ,b_direct_N,b_ilqr_N,abs_db_pp,abs_du_max_pct
AUS,1.07224258001896,1.08322921313588,0.0109866331169137,4.53385386162757,4.46343541757021,0.0704184440573533,3.54627371449028
AUT,3.44904126574585,3.44440474195276,0.00463652379308721,11.393061075437,11.3766019803576,0.0164590950794352,0.133926183612951
BEL,1.25351551186065,1.25185398598384,0.00166152587681045,4.42336766528407,4.39244482797954,0.0309228373045277,0.316293312906421
CAN,3.08149881754361,3.07873939498594,0.00275942255766815,11.0653232283527,11.0502099084625,0.0151133198901962,0.142321703767115
CHE,0.641955199505709,0.641410991386298,0.000544208119410805,1.19749678338911,1.16167079078707,0.0358259926020408,0.235825674870453
CHL,1.07742900057287,1.07724381852263,0.000185182050243426,1.85294228282209,1.84305245718456,0.0098898256375296,0.311350759074235
COL,2.1376826281692,2.13774862814566,6.599997646628e-05,9.72545978243624,9.68968434201731,0.0357754404189309,2.62649332379251
CRI,4.74623954176991,4.74298200669398,0.00325753507592719,16.3000652792353,16.2608941984323,0.0391710808029688,0.873634856516321
CZE,3.27127318083994,3.26679534872946,0.00447783211048014,6.48583369322422,6.46749567456596,0.0183380186582607,0.126339833034673
DEU,1.68720945000733,1.68534093812794,0.00186851187938331,4.27465011263335,4.25839347059367,0.0162566420396817,0.137936877147135
DNK,0.743070598368919,0.751260777736639,0.00819017936771949,0.511810135513823,0.629250433077092,0.117440297563269,2.72172325584173
ESP,5.16425316262794,5.16001621569165,0.00423694693628462,8.93273228908927,8.918674171431,0.014058117658261,0.125796568527381
EST,1.96715175234135,1.96517976673046,0.0019719856108904,7.01747163851243,6.96908710783836,0.0483845306740741,0.553887631613792
FIN,1.57434318203653,1.57228949819475,0.00205368384178151,4.93703069589029,4.92016345128221,0.0168672446080841,0.123456856563209
FRA,1.9678192135924,1.9653875772331,0.00243163635929511,5.11137121863317,5.10229053968882,0.00908067894434192,0.211838396522023
GBR,4.17290574143782,4.17003117011362,0.00287457132419888,10.4657606525841,10.4579594098483,0.00780124273579846,0.85676198915085
GRC,2.61896569209275,2.65321731274381,0.0342516206510579,9.53963891718363,9.64630541607767,0.106666498894037,6.90245632962216
HUN,2.86951648766755,2.86470449924415,0.00481198842340591,7.90327397031818,7.88960531312746,0.0136686571907269,0.098839287053501
IRL,2.01334748710969,2.01021965927034,0.00312782783935628,4.51193415351071,4.51679936605619,0.00486521254547817,0.115951731544897
ISL,4.94870136972639,4.9445960748694,0.00410529485698952,9.97697875162185,9.96479247865699,0.012186272964862,0.143930748810668
ISR,2.50625121064181,2.50491534581873,0.00133586482308035,11.10930677048,11.1577377933738,0.048431022893787,0.57170293512683
ITA,1.91911451505909,1.9171060029408,0.00200851211829045,7.00353835172131,6.99243814274931,0.0111002089720022,0.531982841092461
JPN,3.38685448611194,3.3903181321158,0.00346364600386284,13.1632851631694,13.1579059091542,0.00537925401521144,2.03611965385103
KOR,1.34970129662232,1.3473465213624,0.00235477525992067,6.01520951969327,5.99915920845718,0.0160503112360939,0.110840764341602
LTU,1.20148554831513,1.20017854893754,0.00130699937759204,4.75054947908013,4.75613641685003,0.0055869377699011,0.397455860522072
LUX,1.34469085089188,1.34344850280397,0.00124234808790469,7.08185992007554,7.06876283501027,0.0130970850652695,0.0980975333988526
LVA,2.88662138999026,2.88239586190208,0.00422552808817578,11.4224371615413,11.4049424807044,0.0174946808369311,0.141989937331041
MEX,3.97188621871445,3.96983936860985,0.00204685010459649,1.61406189359403,1.60598718782498,0.00807470576905285,0.11230269089227
NLD,1.3075075155126,1.30681376982192,0.000693745690687919,4.92126386115187,4.90493873489999,0.0163251262518822,0.147822698579018
NOR,0.656636904006295,0.655916385490884,0.000720518515410773,1.01017930142039,0.994349564107525,0.0158297373128689,0.132087798016001
NZL,4.68655133464707,4.68542243194001,0.00112890270705535,16.2309940062179,16.1777624101419,0.0532315960760088,0.871164534772281
POL,2.01068888921998,2.00801761849619,0.00267127072378859,6.4594200363913,6.44161354083888,0.0178064955524262,0.150452081951598
PRT,3.07739910471172,3.07446122193164,0.00293788278008211,3.19441404485069,3.17574848856219,0.018665556288501,0.110662151631191
SVK,2.78107494160343,2.77836817876221,0.00270676284122162,10.8220939973111,10.8117115477204,0.0103824495907026,0.141437760612458
SVN,3.97845557892992,3.97552454978888,0.00293102914103827,12.3328597111194,12.3175459239085,0.0153137872108883,0.134353395214304
SWE,1.10922783504223,1.10754681098188,0.00168102406034976,3.75372903267313,3.73895452301831,0.0147745096548163,0.1501226438974
TUR,0.761796743892711,0.765232001353717,0.00343525746100604,4.03814250108244,4.09165963543507,0.0535171343526333,2.38876675995246
USA,5.3415993165343,5.33912617471185,0.00247314182245617,18.8649756138454,18.7952140357238,0.0697615781215993,0.895452849491223
