Country,Year,Cyclically-adjusted.current.disbursements.of.general.government.as.a.percentage.of.potential.GDP,"Cyclically-adjusted.current.disbursements.of.general.government.excluding.gross.interest.payments,.as.a.percentage.of.potential.GDP",Cyclically-adjusted.current.receipts.of.general.government.as.a.percentage.of.potential.GDP,Cyclically-adjusted.direct.taxes.on.business,Cyclically-adjusted.direct.taxes.on.households,Cyclically-adjusted.general.government.net.lending,Cyclically-adjusted.general.government.net.lending.as.a.percentage.of.potential.GDP,Cyclically-adjusted.total.direct.taxes.received.by.general.government,"Employment.rate.gap,.percentage.points","Employment.rate,.supply.definition,.as.a.percentage.of.population.aged.15-74",Net.one-offs.of.general.government,Net.one-offs.of.general.government.as.a.percentage.of.potential.GDP,Output.gap.as.a.percentage.of.potential.GDP,Potential.employment.of.total.economy,Productive.capital.stock.scrapping.rate,"Productive.capital.stock,.volume","Productive.capital.stock,.volume,.annual.average",Ratio.of.potential.to.actual.real.GDP.of.the.total.economy,Trend.employment.coefficient,"Trend.employment.rate,.as.a.percentage.of.population.aged.15-74",Trend.labour.efficiency,"Trend.working-age.population,.age.15-74",Underlying.general.government.net.lending,Underlying.general.government.net.lending.as.a.percentage.of.potential.GDP,Underlying.general.government.primary.balance,Underlying.general.government.primary.balance.as.a.percentage.of.potential.GDP
AUT,2017,48.7152677984913,46.8660080835616,48.8550054325098,9407372095.9287,38073612806.21,-3277983487.24087,-0.89327165489254,,0.186488559111368,65.7489130228269,0.0,0.0,0.198848366207383,4408330.78045267,4.543884563,1466954378073.5,1459461905930.53,0.998015462558206,1.03754868224474,65.5624244637156,40469.1161226005,6723867.85039103,-3277983487.24087,-0.89327165489254,2226566512.75913,0.606753743977758
AUT,2018,49.0945924450684,47.4357283640764,49.1432077207405,10385242394.373,39805174980.7167,-2745130649.0305,-0.727596529772183,,0.657122220790001,66.7337194799052,0.0,0.0,1.56464246105768,4454573.82684443,4.578092828,1488514065391.23,1480108052649.13,0.984594614590825,1.03963388875583,66.0765972591152,40367.9433322941,6741530.30213724,-2745130649.0305,-0.727596529772183,2303419350.9695,0.610521006338041
AUT,2019,49.3106272461132,47.8478077258027,49.3594880265402,10488285958.1253,41191071395.815,-3026375879.02136,-0.781997274949472,,0.701606057549057,67.3253125268748,0.0,0.0,2.24459173946054,4503849.01370348,4.60970676,1512532545759.97,1503990452910.29,0.978046841390103,1.04178725125106,66.6237064693257,40267.0234739633,6760129.7681886,-3026375879.02136,-0.781997274949472,1625134120.97864,0.419924855614318
AUT,2020,52.7964517867908,51.5236641521175,49.3637465174375,9798715035.0624,44400352609.269,-17863427770.9988,-4.45456168891842,,-1.03888485284091,66.0360096538995,0.0,0.0,-5.36491933509628,4551940.99578027,4.637100149,1530437082962.03,1523490970051.35,1.05669059821583,1.04393371784161,67.0748945067404,40186.4894270154,6786355.80309835,-17863427770.9988,-4.45456168891842,-13596007770.9988,-3.39040502838174
AUT,2021,53.6288327090917,52.5451085335685,50.1662908794285,12150712961.6441,45936922797.4919,-18791797006.1035,-4.5486121743157,,-0.379924730154016,67.0268710734988,418100000.0,0.1012023889713,-1.7205910316373,4600719.37689236,4.658884058,1552433080648.1,1544437972453.52,1.01750713653753,1.0459955699982,67.4067958036528,40146.3029375884,6825304.95930063,-19209897006.1035,-4.649814563287,-15557247006.1035,-3.76567941361941
AUT,2022,52.086587152425,51.114660496739,49.288700073582,14916104681.5007,46353697226.2216,-20872885571.4737,-4.76367193753735,,0.413260808447021,68.0648050884421,903800000.0,0.206267920283639,2.27895932892741,4649975.3319631,4.67490404,1573433685327.8,1565731394016.85,0.977718199873365,1.04784436012343,67.6515442799951,40186.449240526,6873420.82350383,-21776685571.4737,-4.96993985782099,-18393735571.4737,-4.19787296146833
AUT,2023,50.8214298962758,49.6177103021027,49.638556532052,16000711818.2802,49700919959.6408,-13029869226.5751,-2.75600096899105,,0.319750140415309,68.1784424992556,888700000.0,0.187972574287005,0.240102537139286,4690807.08696829,4.686777124,1590465687482.6,1584470523894.2,0.99760472574287,1.0494671092444,67.8586923588403,40307.0085882476,6912610.49087574,-13918569226.5751,-2.94397354327806,-10236499226.5751,-2.16516384753714
AUT,2024,51.5042227946106,50.0393785272697,50.5427314749168,16947090901.3077,52319317699.1137,-12040185924.0657,-2.45885892156401,,0.148685783865219,68.1523778264747,649700000.0,0.13268238974176,-1.22694795913026,4714660.55689567,4.696124433,1603284540227.7,1598617047348.77,1.01242188971363,1.05089264343173,68.0036920426095,40488.3901268947,6932947.92574141,-12689885924.0657,-2.59154131130577,-8115094981.43296,-1.65727288766798
BEL,2015,52.6665871135906,49.6822195849491,50.6108366772451,13975460529.5882,54022347438.0745,-10396691807.2586,-2.50295982309896,,-0.180258249616536,55.217221894394,-1486866751.68371,-0.35795691656145,0.0390257066915867,4625409.65823377,4.480313112,1720698984366.13,1711257635025.05,0.999609895174249,0.983015482182716,55.3974801440105,51115.4958728744,8349494.68136389,-8909825055.57493,-2.14500290653751,2193274944.42505,0.528021717742253
BEL,2016,52.2569644402222,49.4857745698176,50.1653447862283,15193994475.994,53696475247.8461,-10191380416.1222,-2.37674361403378,,-0.050942598145312,55.5877758665769,-300000000.0,-0.0699633469752705,-0.0766920507069724,4668171.96269031,4.51037366,1750443186910.43,1739157263634.37,1.00076750912556,0.983121247918767,55.6387184647222,51231.4978085693,8390150.04569196,-9891380416.12222,-2.30678026705851,679419583.87778,0.158448226962117
BEL,2017,51.2412939600877,48.8307060395643,50.7185986571836,18462451345.9776,55576505930.7732,-3154965823.85492,-0.711007207224926,,0.169043366351133,56.1470744559199,1850000000.0,0.416918409518277,-0.0731984318315448,4720278.16901064,4.543884563,1779589809072.97,1768635931205.73,1.00073252051184,0.983246941764996,55.9780310895687,51355.4097086244,8432376.19675809,-5004965823.85493,-1.12792561674321,4387234176.1451,0.988712808055483
BEL,2018,51.3469790218134,49.163887090146,50.6427000897747,20061614084.3735,56814544121.3621,-5590034758.67218,-1.21953451474405,,0.300337693228336,56.6801693219339,3500000000.0,0.763567846332687,0.243761181008462,4778322.76385752,4.578092828,1810069592464.7,1798357261326.94,0.997568315692302,0.983390422325284,56.3798316287056,51489.7619667045,8475234.18538316,-9090034758.67215,-1.98310236107673,-408834758.672139,-0.089192307481494
BEL,2019,51.351944543181,49.3217573310251,49.0422930206684,17644842430.4117,56007390822.5432,-13132006076.6078,-2.76772042141608,,0.467404379909169,57.2723283113646,0.0,0.0,1.04851533762049,4838842.50325164,4.60970676,1843500673294.77,1830864570400.01,0.989623644304746,0.983549292505707,56.8049239314554,51627.8888573621,8518350.46745333,-13132006076.6078,-2.76772042141608,-4727306076.60783,-0.996333803851813
BEL,2020,53.1812865545996,51.324681831503,49.0109608660421,17787177185.9556,61063383954.093,-23721408133.1839,-4.84506037843296,,-0.252808580490992,56.9692526612902,500000000.0,0.102124215207427,-5.27958614668115,4899610.66646853,4.637100149,1869059888197.12,1858799334198.5,1.05573863047998,0.983719941348576,57.2220612417812,51797.3591814835,8562450.49573825,-24221408133.1839,-4.94718459364038,-16293208133.1839,-3.32786218762534
BEL,2021,52.6981402646153,51.0204023854188,48.7026636393058,20125808446.4295,60759419990.6493,-23712722357.8184,-4.63715282489193,,-0.0221615720050608,57.5995821515748,770000000.0,0.150577720317697,-1.04440931676096,4961932.03517763,4.658884058,1897736635626.23,1887356619735.56,1.01055432350562,0.983897277534809,57.6217437235798,52024.9152953647,8611214.64664584,-24482722357.8184,-4.78773054520963,-17151722357.8184,-3.35411331449659
BEL,2022,51.8983554419381,50.3053363437883,47.8676443810172,21460022179.0107,67761906057.7925,-25622569339.2588,-4.61121199393411,,0.313928447425447,58.3208409481809,0.0,0.0,1.41914235912333,5025285.03062528,4.67490404,1926795266277.21,1915568412899.34,0.986007154802215,0.984075276845159,58.0069125007555,52295.4859142941,8663252.04010786,-25622569339.2588,-4.61121199393411,-18297369339.2588,-3.2929191384939
BEL,2023,52.4449230947701,50.4265957210852,48.3804451691536,23155836953.0458,71797870581.0163,-28666296522.1569,-4.85232515124207,,0.0211622773516496,58.4065564961742,0.0,0.0,0.938778684395092,5086794.30529582,4.686777124,1958371065690.09,1946987663564.06,0.990699524041891,0.984248613191083,58.3853942188225,52582.463579727,8712443.19466446,-28666296522.1569,-4.85232515124206,-19726696522.1569,-3.33912494107484
BEL,2024,53.1320484825472,50.7837646189037,49.1520790417521,24654356746.927,74938459213.702,-29803204048.5435,-4.86954020929633,,-0.339161985129159,58.3111450978966,2000000000.0,0.326779644320444,0.308831527734732,5133812.52635322,4.696124433,1991945929517.86,1978732698423.04,0.996921193049195,0.984413957859249,58.6503070830258,52881.573594545,8753257.70943665,-31803204048.5435,-5.19631985361678,-21034689510.2607,-3.43685417827699
CAN,2015,38.829768827134,35.7931164170928,39.988426984832,76337111042.9524,247142508979.101,11613642834.1277,0.5769851680715,,-0.396723211414567,65.2220509089139,-1954264091.86502,-0.0970911032486151,-1.1115675482487,18032749.3774783,4.480313112,7468528898025.18,7410496608725.62,1.01124062259548,1.00000000000001,65.6187741203284,61663.7925656812,27481082.3872002,13567906925.9927,0.674076271320115,26507906925.9927,1.31695707809895
CAN,2016,39.1351368625705,36.2149343925699,40.4257170728195,85350416382.4389,250978074895.969,10063646915.3131,0.488771163566363,,-0.759913980281269,64.9679871422737,-499391415.327033,-0.0242544402837739,-1.62382413397767,18238983.9914428,4.51037366,7599518432263.59,7551746724328.07,1.01650627420392,1.00000000000001,65.7279011225549,61818.2005939036,27749226.2493439,10563038330.6401,0.513025603850137,22390038330.6401,1.08743929305691
CAN,2017,39.3550301564447,36.515489666002,40.3538497587679,91873637787.4174,253357995886.02,-566681745.48056,-0.026432747551642,,-0.169327081874911,65.6488603152491,-31211963.4579396,-0.0014558752902392,-0.150263171596066,18467535.9569254,4.543884563,7737775829846.63,7684177749509.66,1.00150489301593,1.00000000000001,65.818187397124,61904.9011858716,28058408.6059659,-535469782.022621,-0.0249768722614028,3784530217.97738,0.17652859413801
CAN,2018,40.1366491213606,37.1650970894773,40.9482424026104,100280827336.991,263494149070.344,-5154753830.52817,-0.232947615722593,,0.0130505089105668,65.9116339458649,-8323190.25545055,-0.0003761318947434,1.03201392397927,18714865.7925314,4.578092828,7878357284646.28,7827648893083.4,0.989785278112383,1.00000000000001,65.8985834369543,61929.9471891531,28399496.3418843,-5146430640.27272,-0.232571483827849,-2853430640.27272,-0.128948905444281
CAN,2019,40.563190077437,37.5604507677406,40.468836207656,95948639116.4208,270367951887.772,-19968626447.1704,-0.876078308243748,,0.35980024750954,66.3257187514314,0.0,0.0,1.50234240785965,18954785.9889958,4.60970676,8014050682680.34,7962803015727.06,0.985198938544463,1.0,65.9659185039219,61936.9886001346,28734210.6634487,-19968626447.1704,-0.876078308243748,-17171626447.1704,-0.753366261191308
CAN,2020,48.3045498239569,45.5788176164599,41.9638071780079,106791186042.261,320921121024.075,-168287703950.578,-7.21340073110331,,-3.99347026824108,61.9945421482,0.0,0.0,-4.82043126609741,19162888.9635469,4.637100149,8122991254375.03,8079253997548.4,1.05064565147983,1.0,65.9880124164411,61984.509654534,29039954.7763503,-168287703950.578,-7.21340073110331,-157311703950.578,-6.74293090730774
CAN,2021,44.0043943197136,41.3915580511339,42.6165652974245,138814532393.506,328883521218.415,-53670579862.7512,-2.10520809600784,,-1.15174579588367,64.8126205048932,0.0,0.0,-1.26680703285588,19379635.235884,4.658884058,8269121198615.12,8215568517351.4,1.01283060939068,0.999999999999998,65.9643663007769,62151.8577638404,29378945.5166126,-53670579862.7512,-2.10520809600784,-69627579862.7512,-2.73111535607289
CAN,2022,40.324203539841,37.5698101013608,41.0856901470533,147383022369.664,343499140196.639,-7489532230.71832,-0.267937662906689,,0.377384513655755,66.2871173783652,0.0,0.0,0.645281510297924,19696600.6630863,4.67490404,8394940782002.94,8351597155113.11,0.993588556754825,0.999999999999993,65.9097328647095,62339.2698237483,29884206.4851283,-7489532230.71832,-0.267937662906689,-17679532230.7183,-0.632484433106956
CAN,2023,41.1732393277058,37.9801220238837,41.930575371157,149622056253.925,372008314033.493,-13709435617.1744,-0.473281789494768,,0.127901481444965,65.97022880192,0.0,0.0,-0.156561298946101,20115554.332918,4.686777124,8497966129231.82,8460628367456.0,1.00156806797705,0.999999999999989,65.8423273204751,62528.327293886,30551098.5889203,-13709435617.1744,-0.473281789494768,-3004435617.17438,-0.103720146111396
CAN,2024,41.689168923757,38.2739926403787,42.1529386001144,154801930241.901,400556886224.903,-50726007613.7191,-1.66898432550126,,-0.378488350951969,65.4166955529339,-23000000000.0,-0.756744740860447,-0.997412260041797,20536256.6868747,4.696124433,8594506369542.86,8557957030080.31,1.01007460797552,0.999999999999985,65.7951839038859,62718.7166184111,31212401.0731154,-27726007613.7191,-0.91223958464081,-10195853162.5043,-0.335463402578716
CHE,2015,31.9526003017854,31.4203551247535,33.9702168188882,24999597294.7713,74068752515.3609,5580522590.26685,0.829999676456011,,0.344187811531327,76.9400350274757,1682392422.17345,0.250224803051866,-0.685505043124046,4877759.87133708,4.480313112,3085573827515.52,3070605407842.12,1.0069023665017,1.07776189003473,76.5958472159444,65235.7394449683,6368177.97391203,3898130168.0934,0.579774873404145,5449810168.0934,0.810558617602138
CHE,2016,32.1625854535349,31.6946213624539,33.7365231394103,26610587114.5168,74040344716.9148,2748195353.73106,0.40392469804513,,0.38974161841675,77.1983917456234,150000000.0,0.0220467240891416,-0.396330663483402,4937340.9943539,4.51037366,3126832791331.69,3111381449139.57,1.00397907693686,1.07992264796477,76.8086501272067,65749.7533113603,6428105.410233,2598195353.73106,0.381877973955988,3794165353.73106,0.557659444681927
CHE,2017,32.1409989328632,31.7442460547009,34.646464932945,26592292127.9421,80031643979.506,9738231888.46618,1.4124550187895,,0.324016811406168,77.3598181031784,478000000.0,0.0693301932747176,-0.666707509861009,4987328.00810701,4.543884563,3171544306939.35,3154348211247.42,1.00671182332879,1.08182320401155,77.0358012917722,66310.2809732547,6474039.24471113,9260231888.46618,1.34312482551478,10249591888.4662,1.48662382136891
CHE,2018,31.7740563223677,31.4499692077025,34.0724085782348,27824500033.9551,78958534206.9657,7634689145.12059,1.08101660422945,,0.529043015123165,77.8194143522334,-1500000.0,-0.0002123891196513,0.509775917337718,5029448.60243265,4.578092828,3214559339850.53,3199308504717.46,0.994928096170894,1.08353469130667,77.2903713371103,66922.6556860268,6507212.36736742,7636189145.12059,1.08122899334911,8269099145.12059,1.17084445849481
CHE,2019,31.8097240786868,31.5159971353765,34.4018694460072,28742482625.2893,83046688925.4613,9419776631.38363,1.31398826095799,,0.546841156728888,78.1115390267312,440000000.0,0.0613767032325684,0.064838522686328,5068344.98978949,4.60970676,3256348808487.93,3240390911276.85,0.999352034904132,1.08512107270675,77.5646978700023,67585.8308744789,6534345.04223041,8979776631.38363,1.25261155772542,9359156631.38362,1.30553222516263
CHE,2020,34.370807013198,34.0992363368072,35.2912937844214,29939405304.8866,84538586444.4786,-8880966902.86321,-1.2273340034695,,-0.452496608409277,77.3986463780157,-118000000.0,-0.0163073924262356,-3.80501694252216,5109388.34793655,4.637100149,3292652211845.23,3278643108830.48,1.03955525352345,1.08664487452127,77.851142986425,68295.5594833594,6563022.90748318,-8762966902.86321,-1.21102661104326,-8309546902.86322,-1.14836476465425
CHE,2021,34.0900719706661,33.8548550360344,35.1955685060957,29582924842.6465,87410345929.4178,-1633082472.01768,-0.218948432048582,,-0.689721014382073,77.4541337989742,0.0,0.0,-0.184315106603428,5155795.37234513,4.658884058,3331786118543.89,3316689230503.83,1.00184655454501,1.08815893919427,78.1438548133563,69051.9241955351,6597825.74670722,-1633082472.01768,-0.218948432048582,-1352032472.01768,-0.181267875260029
CHE,2022,31.4345601579022,31.1971996780586,33.499245744949,30747588142.5856,82565988783.5353,5852344835.65254,0.747943884662972,,-0.237809634207551,78.2012929052231,0.0,0.0,1.09530207471893,5207440.82999566,4.67490404,3368464138456.08,3354721470179.01,0.989165648133586,1.08966100252236,78.4391025394307,69832.5915520787,6638832.75229714,5852344835.65254,0.747943884662972,6109174835.65254,0.780767382473243
CHE,2023,31.4000346922853,31.1282199859831,33.4008214949089,32375631598.1888,83984550562.6366,4221230413.32233,0.525157176665427,,0.406126638461373,79.1410696650096,0.0,0.0,0.0218177612959947,5262489.58836836,4.686777124,3403168619642.19,3390842958037.14,0.999781869978128,1.09111963172698,78.7349430265482,70620.7716277643,6683804.40256867,4221230413.32233,0.525157176665427,4905689517.97194,0.610309744932325
CHE,2024,31.7696610454121,31.4736212134045,33.5982595947638,34451743159.9911,89300690756.9762,2906906826.70954,0.350456853373028,,0.5897715269016,79.5317700794069,0.0,0.0,-0.238282266984713,5305197.10336216,4.696124433,3433433761949.61,3422191666142.75,1.00238851407533,1.09251477388415,78.9419985525053,71416.9180997724,6720373.43953689,2906906826.70954,0.350456853373028,3795000398.77794,0.457525465241887
CHL,2015,,,,,,,,,0.719794607114523,61.4786368288856,,,3.83844343814079,8196349.73415812,4.480313112,449711097726482.0,440721679242377.0,,1.00000000000001,60.7588422217711,12974075.3070494,13489970.2404487,,,,
CHL,2016,,,,,,,,,0.285038383223359,61.4001971217938,,,2.89146116269801,8366407.96617649,4.51037366,471423230031303.0,463525752869900.0,,1.00000000000002,61.1151587385704,12877119.9847549,13689579.0485714,,,,
CHL,2017,,,,,,,,,0.4504995343868,61.8378630806878,,,2.02048145464977,8552398.50042714,4.543884563,490793090400868.0,483404247330225.0,,1.00000000000002,61.387363546301,12797168.0576361,13931855.037196,,,,
CHL,2018,,,,,,,,,0.253023941430307,61.8303409142487,,,3.38825373339886,8754958.49928876,4.578092828,511668728369281.0,503792051024406.0,,1.00000000000002,61.5773169728184,12738285.164086,14217830.41173,,,,
CHL,2019,,,,,,,,,0.0719756309643813,61.7677838050441,,,1.20029130274901,8958412.65134579,4.60970676,533313925128198.0,525112635530975.0,,1.00000000000002,61.6958081740797,12695131.4137199,14520293.8683758,,,,
CHL,2020,,,,,,,,,-8.70714647662846,53.0530439249007,,,-7.51997430164227,9141973.99000541,4.637100149,548833024262382.0,543284300564610.0,,1.00000000000001,61.7601904015291,12685064.0385212,14802373.3906414,,,,
CHL,2021,,,,,,,,,-6.60107105466863,55.1873978683931,,,0.745764574668528,9288290.74384695,4.658884058,569904597374500.0,561629233313276.0,,1.00000000000001,61.7884689230617,12725539.9164244,15032401.5236769,,,,
CHL,2022,,,,,,,,,-3.5431758781199,58.2537711644917,,,0.475989604248972,9400994.31862866,4.67490404,591833974733637.0,583487665575320.0,,1.00000000000001,61.7969470426116,12777309.8583325,15212716.4342702,,,,
CHL,2023,,,,,,,,,-2.70851769728157,59.0897403631406,,,-1.32250896756855,9491428.24610697,4.686777124,612333738144352.0,605007806310185.0,,1.0,61.7982580604222,12828419.0977659,15358731.0451808,,,,
CHL,2024,,,,,,,,,-1.49472673376759,60.3152797990064,,,-0.813341017696978,9570792.51911645,4.696124433,631220859592451.0,623975732352407.0,,1.0,61.8100065327739,12879732.7741569,15484212.1138455,,,,
COL,2015,,,,,,,,,,63.197153420401,,,,,,,,,,,,,,,,
COL,2016,,,,,,,,,,62.3101799316769,,,,,,,,,,,,,,,,
COL,2017,,,,,,,,,,61.6845636633583,,,,,,,,,,,,,,,,
COL,2018,,,,,,,,,,60.5656209375395,,,,,,,,,,,,,,,,
COL,2019,,,,,,,,,,58.9037243009413,,,,,,,,,,,,,,,,
COL,2020,,,,,,,,,,51.3668360083409,,,,,,,,,,,,,,,,
COL,2021,,,,,,,,,,54.0026794269897,,,,,,,,,,,,,,,,
COL,2022,,,,,,,,,,57.5038434205243,,,,,,,,,,,,,,,,
COL,2023,,,,,,,,,,58.6703554430928,,,,,,,,,,,,,,,,
COL,2024,,,,,,,,,,58.5278330260384,,,,,,,,,,,,,,,,
CRI,2015,,,,,,,,,,57.6888543597488,,,,,,,,,,,,,,,,
CRI,2016,,,,,,,,,,55.0726079821323,,,,,,,,,,,,,,,,
CRI,2017,,,,,,,,,,55.7452939478222,,,,,,,,,,,,,,,,
CRI,2018,,,,,,,,,,56.7332420715204,,,,,,,,,,,,,,,,
CRI,2019,,,,,,,,,,57.5386152145812,,,,,,,,,,,,,,,,
CRI,2020,,,,,,,,,,50.6068907378447,,,,,,,,,,,,,,,,
CRI,2021,,,,,,,,,,52.5129896785545,,,,,,,,,,,,,,,,
CRI,2022,,,,,,,,,,54.7131383927978,,,,,,,,,,,,,,,,
CRI,2023,,,,,,,,,,52.483637225817,,,,,,,,,,,,,,,,
CRI,2024,,,,,,,,,,54.7211793673452,,,,,,,,,,,,,,,,
CZE,2015,40.3427628980255,39.2831173057272,39.0893938551527,150194516500.967,200019634473.074,-43347139863.3386,-0.937367703561232,,,63.2177663966758,-9661639259.51915,-0.208929784845901,0.637398269959455,5177429.49593683,4.480313112,21659572874150.7,21517790329471.8,0.993666387636039,1.05922243331033,63.2458692196213,516963.201236856,8186193.91245648,-33685500603.8194,-0.728437918715331,8689499396.18057,0.187907578672416
CZE,2016,39.7417915330528,38.8352647550445,39.4406146566788,160407612034.734,223543180690.84,28691209927.06,0.593941416564665,,,64.1025052371584,0.0,0.0,0.216856164385759,5231297.56902895,4.51037366,21974006363300.2,21859098968062.0,0.997836130839806,1.05699812181226,64.1387161019758,530027.266038431,8156224.33213596,28691209927.06,0.593941416564665,66383209927.06,1.3742096565611
