"Parameter","TWFE_coef","TWFE_p","LP_h0_coef","LP_h0_p","GMM_coef"
"ψ: S×y(t-1)",0.00371977161867358,0.0048819599080487,0.00371977161867359,0.00488195990804862,0.00326022769441023
"η: S×F^CP",-0.00607325572444823,0.00516259099769783,-0.00607325572444823,0.00516259099769782,-0.00400245067172096
"α_DI: F^DI lag2",0.219684734653845,0.0590737264370962,0.219684734653845,0.0590737264370956,0.191044283017089
