"Country","F_CP_total","F_CP_above","F_CP_loans","F_CP_guar","share_above","share_loans","share_guar"
"AUS",11.9359035550199,10.1716294292355,0.757048573439728,1.00722555234464,0.852187635594427,0.0634261637545937,0.0843862006509792
"AUT",9.88493426284327,7.6031362180251,0.288485900565182,1.99331214425298,0.769164064813736,0.0291844025356424,0.201651532650621
"BEL",16.74897884637,5.59513100182842,0.219157233900885,10.9346906106407,0.33405803739737,0.0130848116718699,0.65285715093076
"CAN",9.40112714301712,5.24209615266086,0.632368554237681,3.52666243611858,0.557602941957288,0.0672651847611045,0.375131873281607
"CHE",11.1657991142685,4.91285452816666,0.139769686967298,6.11317489913454,0.439991305404075,0.0125176608979727,0.547491033697952
"CHL",13.5537322009236,2.68063344911136,1.62287665182762,9.19966467074966,0.197778250991907,0.119736514472156,0.6787550863756
"COL",3.92012070538282,1.17780480913227,0.540235747318056,2.2020801489325,0.300451158943905,0.1378109981604,0.561737842895696
"CRI",7.64527064147134,0.391165655800893,4.77446694670046,2.47963803896999,0.0511643961534908,0.624499402388926,0.324336201457583
"CZE",20.3403077126818,4.9346213766389,0.0869766700738328,15.318709665969,0.242603083804984,0.00427607444795953,0.753120841747056
"DEU",27.6139764491024,7.1215262173642,3.10230353285687,17.3901466988814,0.257895715616708,0.112345410976032,0.62975887340726
"DNK",22.4003179334655,5.46976094693168,13.2641638154475,3.66639317108632,0.244182290768293,0.592141765793029,0.163675943438679
"ESP",19.7395578257181,3.96448173216599,2.79861338069959,12.9764627128525,0.200839439625176,0.141776903282674,0.657383657092149
"EST",16.1533319101569,7.97559760956175,2.59035287421742,5.58738142637772,0.493743188954525,0.16036028285834,0.345896528187135
"FIN",9.35290111365053,2.39772694205531,1.42502608529371,5.53014808630151,0.256361840344472,0.15236193219384,0.591276227461688
"FRA",22.375159475492,7.05375441083593,0.843370003644297,14.4780350610118,0.315249346873351,0.0376922454817834,0.647058407644865
"GBR",24.2503785328985,10.0879694213996,0.921878750363193,13.2405303611357,0.415992245552542,0.0380150251721867,0.545992729275272
"GRC",15.2339358349528,7.5350642284056,5.76988733356094,1.42059830507915,0.494623602858895,0.37875224079141,0.0932522179737503
"HUN",9.21165995970565,3.59596316167876,1.36448992763202,4.25120687039487,0.390370810191485,0.14812638911995,0.461502800688565
"IRL",7.17541603100836,4.73444880389094,1.134435128574,1.30653209854343,0.659815233490455,0.158100258392206,0.182084508117339
"ISL",7.27058823529412,4.72597488433576,1.08393919365499,1.46067415730337,0.650012726809934,0.149085487800444,0.200901785389622
"ISR",5.7460854779353,2.90265001076951,1.42171773358289,1.42171773358289,0.505152598567417,0.247423700716292,0.247423700716292
"ITA",29.1001557898152,7.64898904436793,1.78864608301891,19.6625206624284,0.262850449998107,0.0614651720746086,0.675684377927285
"JPN",29.7900895694886,4.67836246749494,13.17514807859,11.9365790234036,0.157044256499537,0.442266145184208,0.400689598316255
"KOR",10.8727760622786,2.48316371552065,4.92954862113855,3.46006372561945,0.228383597831614,0.453384544379685,0.318231857788701
"LTU",7.83205665558607,4.68234468234468,1.03235397353044,2.11735799971094,0.597843566287929,0.131811351593599,0.270345082118472
"LUX",8.52475239591013,3.8531283053944,0.243597551203564,4.42802653931216,0.45199298776619,0.0285753227648505,0.51943168946896
"LVA",12.7548890930568,5.48687491796824,2.00157500984381,5.26643916524478,0.430178175438235,0.15692610066938,0.412895723892385
"MEX",0.883156019444153,0.414050554468632,0.243010658637275,0.226094806338246,0.468830586388609,0.275161639944687,0.256007773666704
"NLD",9.23965161240955,5.45142407191881,0.392349493426079,3.39587804706466,0.590003205813208,0.0424636674503099,0.367533126736482
"NOR",6.69258683255573,1.61843261883833,1.52421845065026,3.54993576306715,0.24182467248173,0.227747280503822,0.530428047014448
"NZL",13.6047488267918,10.2124440059727,1.24253412969283,2.14977069112628,0.750652888634103,0.0913309128681533,0.158016198497744
"POL",10.1430534369947,6.60014532300942,0.288094949057776,3.25481316492754,0.650705959897315,0.0284031776868105,0.320890862415875
"PRT",12.4918067605183,2.93457973163276,1.5033840270157,8.05384300186981,0.234920359231607,0.120349606413006,0.644730034355388
"SVK",7.64161714364727,5.11165857854329,2.44979877032207,0.0801597947819113,0.668923669225274,0.320586431415067,0.0104898993596599
"SVN",16.9715669373308,11.6150915491491,0.627825108838294,4.72865027934341,0.684385336488904,0.0369927603713082,0.278621903139788
"SWE",7.75987296800741,2.87241214151358,1.72366236929392,3.16379845719992,0.370162263397355,0.222125075552174,0.407712661050471
"TUR",10.8726674353055,2.56030346806426,0.0185176997961433,8.29384626744512,0.23548071191348,0.00170314229753896,0.762816145788981
"USA",11.7402630728693,6.02606933860863,2.84948252071259,2.86471121354812,0.513282309025453,0.242710278553934,0.244007412420613
