Country,J_direct,J_ilqr,abs_dJ,b_N_pp
AUS,1.05065349928617,1.05148213909779,0.00082863981162018,4.82093051857263
AUT,4.04499508717069,4.04853453438302,0.00353944721233201,12.4360219145145
BEL,1.72202602720702,1.74210038075298,0.0200743535459595,5.88708671168326
CAN,3.20975827957719,3.21355228065447,0.00379400107728189,11.6262523947133
CHE,0.79362618946162,0.795647225710257,0.00202103624863692,2.32161374569399
CHL,1.322170642807,1.33708433115731,0.0149136883503052,2.30323634350167
COL,2.26792933309966,2.27290001793374,0.00497068483408425,9.48682665696802
CRI,4.92380219677952,4.92967541239681,0.00587321561729048,16.201365313814
CZE,4.90354939165903,4.92557323447487,0.022023842815841,9.03622214387702
DEU,2.44739291603284,2.44920970756569,0.00181679153285019,6.29609825407245
DNK,0.985021871109441,0.986433805527531,0.00141193441809095,2.68703869064906
ESP,6.70854945158425,6.71305677350004,0.00450732191579384,10.3459921132454
EST,2.42414422699348,2.42965061109652,0.00550638410303517,8.21781033427716
FIN,1.98203040752581,1.98479936427744,0.0027689567516278,5.76013961675332
FRA,3.12053132223102,3.12352444933321,0.00299312710219057,7.77358259475104
GBR,5.24634176588217,5.25535134832723,0.00900958244506445,11.7793380584079
GRC,2.8857331820781,2.88711050350198,0.00137732142388192,10.1984870698997
HUN,3.50834450659507,3.5129981815107,0.00465367491562763,8.52086336029268
IRL,2.40897384400751,2.41314084437592,0.00416700036840778,4.87374294510761
ISL,5.59153751076844,5.59045565446766,0.00108185630077706,10.3721113743013
ISR,2.72600269694324,2.73264281120805,0.00664011426480915,11.7265203946304
ITA,2.84922829730585,2.87083748663542,0.0216091893295696,8.8467991416706
JPN,3.79090669565121,3.80104501509655,0.0101383194453417,14.5907734473099
KOR,1.60999647371985,1.61304537580301,0.00304890208316388,6.99300017205621
LTU,1.49506320229275,1.49695940436491,0.0018962020721538,5.68968268635423
LUX,1.50388119622989,1.50434766774515,0.000466471515255362,7.96576642430411
LVA,2.99311851072997,2.99564417504945,0.00252566431948376,11.7093420213461
MEX,4.26608973370536,4.26370508713044,0.00238464657492354,0.686775430894376
NLD,1.60995179311231,1.61198340809119,0.0020316149788886,5.99386639169826
NOR,0.767096192817662,0.766974101169894,0.000122091647768108,1.7623025950583
NZL,4.97041977000661,4.9787537905571,0.00833402055048982,17.6851110560807
POL,2.6132946929659,2.6147374254281,0.00144273246220195,7.90870991567287
PRT,3.88492863365255,3.88525787571205,0.00032924205950513,4.27858211350797
SVK,3.07099120111993,3.06939430039718,0.00159690072274632,11.3544930800524
SVN,4.90633185087734,4.90837108497128,0.00203923409394324,14.075099175005
SWE,1.24752702079099,1.24980240601163,0.00227538522063986,4.05355473263575
TUR,0.914492235777761,0.91539179850237,0.000899562724609004,4.42562448489518
USA,5.30827640850463,5.32028406938083,0.0120076608761925,19.0641486233247
