Metric,Window,Median,Mean,Denominator_SD,Ratio
Output RMSE,1:K_y,1.82819557731376,1.95479184768755,4.67534651479057,0.391028894121583
Debt dRMSE change,1:K_b,1.99400007131997,2.01740480951567,2.38022900698337,0.837734548007675
Debt RMSE level,1:K_b,3.220711918089,3.49395679593675,44.8846626673024,0.0717552884815425
Theta RMSE,1:K_theta,0.0143002373763276,0.0163324257196726,0.0181627394042589,0.78733923655671
Deaths RMSE,1:K_theta,14.4018039123834,16.0710218522647,18.7768709393351,0.766997012383651
