VSL,MCPF,cum_y,cum_d,end_b,avg_S,avg_CP,avg_DI,CP_share
10,0.1,-2.2883965638039,0.0565065931086005,10.8170218968414,0.417624592337573,1.8957354451128,0.444444444444444,0.810081076917325
10,0.5,-2.45888613016788,0.0576126838894383,10.3928792080502,0.422874860372722,1.48501365440208,0.444444444444444,0.769653228173163
10,1,-2.47815454147104,0.0575985766371807,10.2777946149384,0.42275941223367,1.39395114854564,0.444444444444444,0.75824330403144
10,3,-2.49067587829879,0.0575809504909565,10.2004836666754,0.422656523102433,1.33333333333333,0.444444444444444,0.75
10,5,-2.4900357878314,0.0575766338657609,10.1990118090057,0.422574745276304,1.33333333333333,0.444444444444444,0.75
10,10,-2.44663173337046,0.0569999897049643,10.1736866363979,0.418928599137915,1.37572253749999,0.444444444444444,0.755822158706749
20,0.1,-2.61928024681917,0.0491728191177175,11.2382372245771,0.476744640120579,1.75581767516613,0.444444444444444,0.79800386486538
20,0.5,-2.62932064060219,0.0502681780919532,10.4815170997244,0.459382501803948,1.33333333333333,0.444444444444444,0.75
20,1,-2.62922865276579,0.0502555502998688,10.4812353870608,0.459483019765348,1.33333333333333,0.444444444444444,0.75
20,3,-2.62896144714313,0.0502436375085474,10.4805466292572,0.459555511357286,1.33333333333333,0.444444444444444,0.75
20,5,-2.62882127256561,0.0502410411269657,10.4802060001179,0.459561548317343,1.33333333333333,0.444444444444444,0.75
20,10,-2.62869013666527,0.0502389599690158,10.4798891140408,0.459564196546939,1.33333333333333,0.444444444444444,0.75
40,0.1,-2.99178131850494,0.0443432722442829,12.1911867199752,0.547485961940042,1.73878106078204,0.444444444444444,0.796427605219674
40,0.5,-3.0731210499077,0.0443147422718505,11.4892928490262,0.548635652789012,1.34432661016964,0.444444444444444,0.75153642871288
40,1,-3.03812360736965,0.0447028724479265,11.3901102012086,0.540176007911247,1.33333333333333,0.444444444444444,0.75
40,3,-2.93895659722832,0.0455880743347598,11.1654377099572,0.520235660843304,1.33333333333333,0.444444444444444,0.75
40,5,-2.93933204814722,0.0455851498498087,11.1662906785644,0.520310515055763,1.33333333333333,0.444444444444444,0.75
40,10,-2.93965244893372,0.0455826695667459,11.1670184011684,0.520373902232605,1.33333333333333,0.444444444444444,0.75
60,0.1,-3.29478964491991,0.0426828579727327,12.1933522365351,0.587296563172127,1.33333333333333,0.444444444444444,0.75
60,0.5,-3.32408377774538,0.042654403300787,12.0396964816588,0.58824105901436,1.33333333333333,0.444444444444444,0.75
60,1,-3.30458386562225,0.0429898643549647,11.9948008964905,0.582313036241212,1.33333333333333,0.444444444444444,0.75
60,3,-3.16751972554776,0.044105354448477,11.6836930126152,0.556062397485776,1.33333333333333,0.444444444444444,0.75
60,5,-3.16806619814223,0.0441022065836246,11.684938916628,0.556157448976181,1.33333333333333,0.444444444444444,0.75
60,10,-3.16853643745807,0.0440995095307793,11.6860108670996,0.556238807544494,1.33333333333333,0.444444444444444,0.75
80,0.1,-3.47440073175937,0.041136108767164,13.6442054253716,0.627176994612667,1.61533979348954,0.585899938162771,0.733831835879603
80,0.5,-3.56751864877201,0.0412438506059492,12.5934387573966,0.625305408635375,1.33333333333333,0.444444444444444,0.75
80,1,-3.58272452063808,0.0428538556519852,11.6356159992069,0.589507775736469,0.763986347460166,0.444444444444444,0.632213571996163
80,3,-3.63519953765653,0.0428469944425122,11.4949973121531,0.589712959446157,0.614744565034566,0.444444444444444,0.580391752116975
80,5,-3.6486565780682,0.0428450504896716,11.4591688331176,0.589771417666183,0.576605587795272,0.444444444444444,0.564718250417625
80,10,-3.65969565615596,0.0428433786178965,11.4298724954807,0.589821835828343,0.545373631153481,0.444444444444444,0.550983705590579
100,0.1,-3.63809142332113,0.0402207985311823,14.3364306972369,0.654996580384096,1.54176483499871,0.700696759024524,0.687532325685278
100,0.5,-3.76161345011232,0.0402250466079302,13.1211331852935,0.654725116933577,1.33333333333333,0.464567716126364,0.741605514794057
100,1,-3.90994926758335,0.0411256256709025,12.3186174656191,0.636983492559881,0.72837301277694,0.444444444444444,0.62104550737383
100,3,-4.09825698903127,0.0415935346562406,11.5576688629513,0.624801461614016,0,0.463212593773715,0
100,5,-4.10466120434275,0.0415921410297201,11.4926636234959,0.624855117601535,0,0.444444444444444,0
100,10,-4.10508482302565,0.041590399488753,11.4936315015355,0.624916578960921,0,0.444444444444444,0
140,0.1,-4.00124345957524,0.0391939167627004,14.6653243014405,0.698368696642096,1.33333333333333,0.668925679638871,0.665914511906279
140,0.5,-4.09048916863501,0.0392012658984676,13.7874201615983,0.698148347785465,1.33333333333333,0.444444444444444,0.75
140,1,-4.08956117022236,0.0392034131264938,13.7853555749581,0.698098374716034,1.33333333333333,0.444444444444444,0.75
140,3,-4.08863934840973,0.0392044530281902,13.7832666058558,0.698005027781088,1.33333333333333,0.444444444444444,0.75
140,5,-4.08834707969097,0.0392049859536656,13.7826106923042,0.697982965849472,1.33333333333333,0.444444444444444,0.75
140,10,-4.08810877538728,0.039205406015412,13.782075705454,0.697964686338898,1.33333333333333,0.444444444444444,0.75
