Country,Output_resid_Q2_2022,Debt_resid_Q4_2022,Deaths_resid_Q2_2022
AUS,0.231602317691509,2.10765126268628,1.29087372874867
AUT,2.38824571704864,2.80587926621182,2.76786252933894
BEL,-0.742105678979579,3.11041809323159,2.48226478613963
CAN,0.324094704096239,2.25924422129748,5.21492503925177
CHE,-0.415685004358411,0.676201097618765,-2.19879053686686
CHL,0.693711583802595,-0.536227627409112,-1.03253286794173
COL,3.76602330818292,0.102778632949793,-1.9585031236943
CRI,-2.403550535849,1.55642301365955,3.28046295344464
CZE,-3.72786449352252,2.01592637158676,3.35926821822026
DEU,-2.2982864901477,2.17925733627638,4.77189226314013
DNK,-3.28113808575443,2.32423957729028,7.95900611157931
ESP,0.909118585749128,1.27144468977046,-3.45544280385055
EST,-3.43816873746503,2.84055140491274,1.40832705786705
FIN,-1.91664856217084,3.49118827495749,16.8568461719414
FRA,-0.906210325231721,1.83576931639361,5.17022997679423
GBR,0.447642015491607,6.11084298718383,1.3857192126806
GRC,2.01013515815014,5.28048076798424,16.1786504295511
HUN,-2.59093604391861,4.86153479845255,5.9629037782182
IRL,-0.126946781976388,3.17596775764473,4.07816277773887
ISL,0.338064264808115,2.07844047649694,5.94650947683134
ISR,-0.437334442209244,3.72540066269567,1.81533074283543
ITA,2.88426912677481,3.17106213418063,2.83821206157589
JPN,2.21902970805294,6.53059201169145,1.8490125771949
KOR,-2.06423484877877,2.01686803886348,12.0852459776343
LTU,-5.1060502000145,1.83485821745003,-6.25076614327129
LUX,-3.35115179764267,0.841020677174797,5.34671321983758
LVA,-1.67166874675213,0.911230522983807,6.10323235947453
MEX,1.18365051177804,-0.774516295280502,1.88123219123453
NLD,0.271311929227521,1.04926070887619,-3.62105766657576
NOR,-1.48064816598188,0.282959006559739,5.39942524821526
NZL,-1.32984553831916,4.32289652482123,4.77177001505682
POL,-2.80406363658544,2.20283585112234,1.98168800546577
PRT,-0.98093703324649,1.8216900524875,0.32960528317405
SVK,-4.52870670242748,1.80349937539253,7.66624649460678
SVN,-3.26614680874427,4.66521590466948,4.23176996414005
SWE,-2.62703114845075,1.34445568124294,4.03076792077639
TUR,0.606158477931647,0.654287802029565,0.808308190843547
USA,-1.15451643260496,7.09686134865795,5.1123835079554
