Summary,Above_capacity,Below_liquidity,DI,Total_fiscal
Median,6.5304788101267,4.673750949027,-1.20670085216077,8.6735339073551
Mean,6.72891648344923,6.42819202338472,-1.93639159507308,10.3297693155219
Share positive,1,1,0.157894736842105,0.894736842105263
