Country,Above_capacity_contribution,Below_liquidity_contribution,DI_contribution,Total_fiscal_contribution
AUS,13.1836533739948,1.93956409117361,-2.37793637502033,12.3361043420597
AUT,8.82123090301201,1.64865640098409,0.0322148536732101,10.2176791303122
BEL,7.48065457815641,6.8778128086873,-1.3206458716549,11.9625379762374
CAN,6.72492539720676,3.01803967933225,-4.12258059688076,5.16563703934376
CHE,6.33603222304663,3.93864287392211,-0.0307247126758199,9.67345144538735
CHL,3.45170892616692,7.25376527933721,-13.4382957822047,-3.36465868075289
COL,1.40166074549022,1.6029991795567,-3.48566013279379,-0.56642126960044
CRI,0.57463149399571,6.20856102744513,-1.94617649807142,4.71147708315796
CZE,6.81831929652967,9.20214787892613,-1.69831150936997,13.0240412386559
DEU,10.7380589205993,16.0977982605432,-1.23062019636436,22.9071858963796
DNK,10.3171432362611,21.5809317900826,-3.33119875197367,25.1542749180166
ESP,5.26135142175701,11.0102322290368,-2.67596488948894,12.3548835336002
EST,10.7518294080048,7.55261625597479,0.231977573381492,17.150922500684
FIN,3.24257734135232,5.060765579486,0.671239691547903,8.52230348911525
FRA,9.030833793946,10.3853893184602,0.106279340922413,17.8711188634464
GBR,14.2327320091981,10.4208811528612,-2.94401330627426,19.5803818830032
GRC,9.82710781955598,8.5479805873936,-3.55843110163606,13.3462005916776
HUN,4.27498165708214,4.3152615246069,-1.00373794228375,7.09764792922698
IRL,5.32766327119418,2.21479932499281,-6.65238731442789,0.595778723777222
ISL,5.45305173093506,2.39280685774901,-0.37079078389273,7.15879059228979
ISR,3.64340297608596,2.81846635428063,-10.1559262066049,-3.98621748371565
ITA,10.1839503781731,14.7544785372795,-1.06139863548196,21.4324178760336
JPN,6.78469289795269,24.5727827396731,1.23496453130885,29.7977898114533
KOR,2.99398380467074,8.31305144547178,-0.97712517210519,9.70605643346087
LTU,5.72984493444456,2.66521630215997,-2.11124769345532,5.9150290285723
LUX,4.91927168571783,1.53055003259246,-0.00626071880542334,6.26742841951871
LVA,7.59589028619777,6.08143871648898,-0.00718280556481687,12.7230716167033
MEX,0.50650858790199,0.426316658440371,-1.18278150795719,-0.259439697527171
NLD,6.92529235234844,2.61566017722954,-1.70619696623683,7.42798649174232
NOR,2.18834934745602,3.6660103791393,-0.0687710043774494,5.53707734726278
NZL,13.4212386095268,3.39458132755507,1.18994295925277,17.2947429440957
POL,8.0416719880543,2.52142673710927,-2.61845559313255,7.53480306936537
PRT,4.22409921748789,6.84063780150662,-1.87119585432605,8.47348054684755
SVK,5.48536813924409,3.46695422165163,-0.0533650004033177,8.4205936590843
SVN,14.3880370814337,4.0509461231693,-0.201234479274376,17.3712245926078
SWE,4.0999628721719,4.41366118039592,-0.612574505431486,7.41687326285167
TUR,3.39327815732064,4.93384071765809,-0.135162938430551,7.73421451986249
USA,7.92383550739735,5.93562533626642,-4.09314471626292,8.82476432559495
