"quarter_id","S_q_from_weekly","n_weeks","S_q_pooled","n_cw"
"2020Q1",0.323664965986395,5,0.323664965986395,175
"2020Q2",0.612002878074307,13,0.612002878074307,455
"2020Q3",0.419124476713762,13,0.419124476713762,455
"2020Q4",0.52479500728863,14,0.52479500728863,490
"2021Q1",0.594827295918367,13,0.594827295918367,455
"2021Q2",0.47927127093145,13,0.47927127093145,455
"2021Q3",0.343292389946363,13,0.343292389946363,455
"2021Q4",0.332717824437467,13,0.332717824437467,455
"2022Q1",0.262762543988749,13,0.262762543988749,455
"2022Q2",0.0786260961211408,13,0.0786260961211408,455
"2022Q3",0.0426352246860283,13,0.0426352246860283,455
"2022Q4",0.021112970521542,9,0.021112970521542,315
