"equation","spec","rho","se_rho","phi_S","se_phi","delta_theta","se_delta"
"theta","Pooled OLS",1.04406501769849,0.024584069373793,0.277667096374203,0.0457072061160785,NA,NA
"theta","Country FE",1.03506911802788,0.026878463149254,0.314239874526424,0.0507325330988829,NA,NA
"theta","Country+wave",1.02919754094902,0.0329168674877835,0.326101191691219,0.0539493474307389,NA,NA
"d","Pooled OLS",NA,NA,NA,NA,1716.4699070896,189.253508027687
"d","Country FE",NA,NA,NA,NA,1625.41151198922,152.846796653526
"d","Country+wave",NA,NA,NA,NA,1730.74969813542,172.713122985561
