Country,Year,GR.real.DI.pc.hh,GR.real.FC.pc.hh,GR.real.GDP.pc,I.CC,I.real.DI.pc.hh,I.real.FC.pc.hh,I.real.GDP.pc,S.CT.hh,S.Debt.hh,S.LUN,S.NFW.hh,S.SR.hh,S.UR
CHL,2022,-16.3,0.84,1.25,96.33,144.73,156.39,126.81,99.77,81.6,21.18,199.56,,7.88
CHL,2023,2.18,-5.84,-0.45,96.47,147.88,147.26,126.23,99.29,78.63,22.35,193.53,,8.68
CHL,2024,,,,97.23,,,,,,,,,8.46
COL,2015,,2.11,1.97,100.34,,127.46,125.46,,,,,,8.95
COL,2016,,0.48,0.98,97.67,,128.08,126.69,106.43,45.02,,74.57,7.44,9.23
COL,2017,2.46,0.78,0.1,97.28,,129.08,126.82,105.98,46.04,,90.71,9.09,9.3
COL,2018,1.59,1.45,0.79,99.3,,130.95,127.81,107.26,46.44,,99.39,8.79,9.53
COL,2019,0.25,1.74,0.88,98.29,,133.23,128.93,107.36,49.6,,107.29,7.45,10.37
COL,2020,-4.15,-6.82,-8.95,96.09,,124.15,117.39,110.01,51.49,,101.7,10.42,15.86
COL,2021,5.61,13.16,9.29,97.38,,140.49,128.3,109.36,50.09,,98.47,4.0,13.81
COL,2022,8.9,9.47,6.11,97.35,,153.79,136.14,109.82,44.03,,93.88,2.71,11.22
COL,2023,2.4,-0.21,-0.44,96.35,,153.47,135.54,109.36,41.31,,80.43,5.63,10.16
COL,2024,,,,,,,,,,,,,
CRI,2015,,3.4,2.39,98.75,,129.55,118.43,,,,,,9.61
CRI,2016,,2.52,2.96,98.97,,132.81,121.93,,,,,,9.54
CRI,2017,,4.34,2.96,99.78,,138.58,125.54,,,,,,9.07
CRI,2018,,0.8,1.46,98.85,,139.69,127.38,,,,,,10.26
CRI,2019,,0.6,1.32,97.03,,140.53,129.06,,,,,,11.76
CRI,2020,,-7.91,-5.27,97.7,,129.42,122.26,,,,,,19.61
CRI,2021,,7.24,6.84,98.68,,138.79,130.61,,,,,,16.43
CRI,2022,,1.52,3.46,100.15,,140.9,135.14,,,,,,12.22
CRI,2023,,4.11,4.22,102.23,,146.69,140.84,,,,,,8.89
CRI,2024,,,,,,,,,,,,,
CZE,2015,2.42,3.58,4.92,102.18,106.13,108.31,106.8,89.96,65.76,7.02,160.07,11.08,5.06
CZE,2016,2.97,3.53,2.52,102.64,109.28,112.13,109.49,88.9,67.35,5.78,165.24,10.44,3.97
CZE,2017,4.9,4.42,5.1,103.03,114.64,117.09,115.08,88.0,70.23,4.46,158.72,10.77,2.91
CZE,2018,4.26,3.39,2.7,103.56,119.52,121.07,118.18,86.89,69.23,3.48,175.72,11.53,2.27
CZE,2019,3.34,2.92,3.41,102.87,123.51,124.6,122.21,86.84,68.46,3.18,180.15,11.88,2.02
CZE,2020,1.92,-6.0,-4.87,100.57,125.89,117.12,116.26,89.1,68.94,4.93,195.64,18.73,2.55
CZE,2021,5.37,4.19,4.04,100.43,132.65,122.04,120.96,89.89,66.48,6.13,191.13,19.57,2.81
CZE,2022,-3.08,-1.89,0.37,96.71,128.57,119.73,121.41,91.66,60.72,5.91,181.1,18.2,2.4
CZE,2023,-1.76,-3.83,-1.15,98.35,126.3,115.15,120.02,91.97,58.93,7.03,185.48,19.44,2.63
CZE,2024,,,,99.91,,,,,,,,,
DEU,2015,1.66,1.43,0.78,101.41,105.77,105.95,106.98,83.8,84.64,9.4,202.5,17.11,4.37
DEU,2016,1.58,1.41,1.47,101.28,107.44,107.45,108.55,83.66,84.49,8.43,224.42,17.1,3.91
DEU,2017,1.43,1.12,2.33,101.77,108.98,108.66,111.08,83.13,84.47,7.88,233.26,17.47,3.57
DEU,2018,2.12,1.11,0.81,101.75,111.3,109.86,111.98,83.05,83.14,7.12,235.63,18.1,3.21
DEU,2019,1.01,1.44,0.76,101.22,112.42,111.44,112.84,82.85,84.88,6.63,252.22,17.82,2.97
DEU,2020,-0.2,-6.83,-4.18,99.76,112.2,103.83,108.12,84.54,87.82,,272.28,23.17,3.62
DEU,2021,0.56,2.25,3.63,100.63,112.83,106.17,112.04,83.88,89.19,9.84,284.21,21.94,3.58
DEU,2022,1.02,4.83,0.64,97.75,113.97,111.3,112.76,83.83,85.79,8.59,245.02,18.94,3.07
DEU,2023,-0.45,-1.21,-1.11,98.63,113.46,109.95,111.51,84.47,80.83,8.31,249.01,19.29,3.03
DEU,2024,,,,99.45,,,,,,,,,
DNK,2015,3.95,1.27,1.4,101.54,105.91,97.68,98.11,76.14,257.32,11.99,481.61,8.37,6.27
DNK,2016,4.24,2.45,2.24,100.64,110.41,100.07,100.31,77.76,251.16,13.93,474.72,8.87,5.98
DNK,2017,1.65,2.07,2.41,101.29,112.23,102.14,102.73,76.68,246.67,11.98,489.14,9.59,5.82
DNK,2018,2.81,3.24,1.35,101.27,115.39,105.45,104.12,77.2,239.19,9.95,460.78,9.5,5.15
DNK,2019,1.52,1.37,1.31,100.83,117.13,106.89,105.48,75.54,239.25,9.7,525.56,7.91,5.03
DNK,2020,0.04,-1.49,-2.0,100.18,117.18,105.3,103.37,76.1,245.83,13.19,595.07,9.16,5.62
DNK,2021,0.76,6.39,6.93,101.12,118.07,112.02,110.54,73.24,237.48,10.05,701.15,5.76,5.11
DNK,2022,0.88,-2.95,0.65,97.15,119.11,108.72,111.25,75.26,199.41,8.54,584.02,9.68,4.47
DNK,2023,1.48,0.68,1.78,98.42,120.87,109.46,113.23,76.0,196.63,9.38,585.95,9.67,5.11
DNK,2024,,,,99.03,,,,,,,,,
ESP,2015,4.31,3.1,4.17,102.15,92.44,90.21,95.14,94.85,111.62,34.42,227.07,7.93,22.08
ESP,2016,2.33,2.56,2.82,101.88,94.59,92.52,97.82,94.58,107.11,31.48,224.55,7.71,19.65
ESP,2017,1.33,2.89,2.71,102.8,95.85,95.19,100.47,93.61,103.47,28.94,226.99,6.3,17.23
ESP,2018,1.02,1.29,1.95,102.34,96.83,96.42,102.43,93.06,100.64,26.01,214.66,6.1,15.27
ESP,2019,3.06,0.34,1.15,101.83,99.8,96.75,103.61,92.93,95.83,24.4,224.26,8.61,14.11
ESP,2020,-2.83,-12.55,-11.42,97.18,96.97,84.61,91.77,96.79,97.08,33.06,244.57,17.62,15.53
ESP,2021,2.68,7.1,6.68,100.04,99.57,90.61,97.9,94.8,93.66,27.52,249.12,14.26,14.93
ESP,2022,-2.07,3.9,5.21,96.1,97.51,94.14,103.01,91.99,89.53,24.26,231.57,9.06,13.03
ESP,2023,3.73,0.49,1.4,98.17,101.14,94.6,104.45,92.21,78.91,22.77,231.89,12.05,12.19
ESP,2024,,1.92,2.3,99.57,,96.42,106.85,,,,,,
EST,2015,,4.93,2.03,101.7,,103.15,101.35,,,12.07,,,6.39
EST,2016,,4.08,2.89,101.74,,107.35,104.28,,,13.15,,,6.83
EST,2017,,2.29,5.66,102.95,,109.81,110.18,,,11.26,,,5.81
EST,2018,,4.32,3.42,103.27,,114.56,113.95,,,10.83,,,5.39
EST,2019,,3.83,3.28,103.57,,118.94,117.69,,,9.86,,,4.48
EST,2020,,-1.14,-3.18,100.02,,117.58,113.94,,,12.97,,,6.88
EST,2021,,7.02,7.06,100.13,,125.84,121.99,,,12.31,,,6.21
EST,2022,,2.72,-0.07,95.06,,129.27,121.9,,,11.91,,,5.57
EST,2023,,-3.76,-5.44,94.55,,124.4,115.27,,,12.57,,,6.42
EST,2024,,,,93.87,,,,,,,,,
FIN,2015,0.84,1.03,0.14,99.09,104.22,102.27,92.08,91.14,115.8,19.31,127.05,8.23,9.46
FIN,2016,1.1,1.57,2.3,100.16,105.36,103.88,94.19,90.7,121.89,19.82,125.59,7.75,8.92
FIN,2017,1.04,0.21,3.06,102.1,106.46,104.1,97.07,91.53,127.16,18.84,125.89,8.52,8.77
FIN,2018,1.83,1.01,1.05,101.69,108.41,105.15,98.09,91.35,133.13,17.02,112.64,9.26,7.43
FIN,2019,2.29,0.32,1.25,99.58,110.89,105.49,99.32,91.37,135.41,15.86,125.26,11.05,6.74
FIN,2020,0.31,-3.58,-2.65,98.74,111.24,101.71,96.68,93.52,142.67,19.28,133.87,14.46,7.72
FIN,2021,0.66,3.0,2.48,101.59,111.98,104.76,99.08,90.7,144.2,16.56,150.21,12.48,7.68
FIN,2022,-2.22,0.58,0.48,96.28,109.49,105.37,99.56,89.13,140.73,14.01,128.44,10.01,6.77
FIN,2023,0.28,0.09,-1.58,97.0,109.8,105.47,97.98,90.25,133.74,14.29,132.43,10.21,7.22
FIN,2024,,,,97.68,,,,,,,,,
FRA,2015,0.51,1.16,0.62,99.45,101.59,102.57,101.02,88.64,112.13,18.14,247.58,13.61,10.35
FRA,2016,1.09,1.33,0.48,99.67,102.7,103.94,101.51,88.85,113.56,17.97,264.4,13.42,10.07
FRA,2017,1.38,1.06,1.68,100.75,104.11,105.04,103.21,88.76,116.48,17.47,268.86,13.66,9.43
FRA,2018,0.44,0.6,1.19,99.72,104.57,105.68,104.43,88.68,118.3,16.45,253.7,13.54,9.02
FRA,2019,2.13,1.28,1.63,100.09,106.79,107.03,106.14,90.59,118.6,15.27,274.25,14.24,8.43
FRA,2020,-0.19,-6.77,-7.76,98.84,106.59,99.78,97.9,94.54,122.74,19.09,286.01,20.03,8.03
FRA,2021,3.11,4.88,6.5,100.46,109.9,104.64,104.27,92.17,123.27,15.85,298.37,18.68,7.88
FRA,2022,0.14,2.89,2.26,97.49,110.05,107.67,106.62,90.74,121.98,14.49,259.72,16.46,7.32
FRA,2023,0.56,0.53,0.63,97.96,110.66,108.24,107.29,91.1,114.62,14.24,260.66,16.52,7.34
FRA,2024,,,,98.64,,,,,,,,,
GBR,2015,5.28,2.08,1.47,102.38,106.33,101.93,101.02,89.69,141.99,11.46,334.15,9.82,5.35
GBR,2016,-0.05,2.91,1.17,101.6,106.28,104.9,102.2,89.44,144.53,10.35,364.87,6.47,4.9
GBR,2017,0.34,1.27,2.09,100.72,106.63,106.24,104.34,88.6,144.87,9.36,367.36,5.33,4.43
GBR,2018,1.48,1.46,0.9,100.81,108.21,107.79,105.29,88.43,142.23,8.63,333.2,5.32,4.1
GBR,2019,1.6,0.62,1.17,100.07,109.94,108.46,106.52,88.38,139.91,8.14,349.58,5.53,3.83
GBR,2020,-0.6,-13.34,-10.5,98.31,109.27,93.99,95.33,90.27,143.75,14.7,376.19,16.73,4.6
GBR,2021,1.14,6.74,8.09,101.11,110.52,100.33,103.04,87.91,140.05,13.79,366.27,12.74,4.55
GBR,2022,-2.65,6.43,3.88,94.24,107.59,106.79,107.04,85.82,137.08,12.6,272.31,6.05,3.8
GBR,2023,1.15,-0.47,-0.59,96.85,108.82,106.28,106.41,86.19,128.04,13.06,247.73,7.31,4.05
GBR,2024,,,,99.35,,,,,,,,,
