Country,Year,GR.real.DI.pc.hh,GR.real.FC.pc.hh,GR.real.GDP.pc,I.CC,I.real.DI.pc.hh,I.real.FC.pc.hh,I.real.GDP.pc,S.CT.hh,S.Debt.hh,S.LUN,S.NFW.hh,S.SR.hh,S.UR
MEX,2021,6.12,7.37,5.02,101.71,,98.82,97.65,107.27,23.77,29.94,111.18,16.01,4.14
MEX,2022,-1.78,4.04,2.93,101.65,,102.81,100.51,108.17,24.72,22.42,100.66,8.78,3.27
MEX,2023,4.99,3.64,2.71,103.77,,106.55,103.24,103.94,25.51,18.97,102.74,12.21,2.8
MEX,2024,,,,105.01,,,,,,,,,2.67
NLD,2015,1.74,1.77,1.67,100.89,99.67,97.51,100.77,77.11,253.93,15.19,467.87,14.08,7.89
NLD,2016,2.56,0.79,1.88,100.83,102.22,98.28,102.67,76.96,248.75,14.12,497.37,15.39,7.0
NLD,2017,-0.02,1.65,2.18,101.6,102.19,99.89,104.9,76.3,247.69,11.64,480.41,13.18,5.88
NLD,2018,2.73,1.78,1.67,101.25,104.99,101.68,106.65,76.31,239.65,9.81,463.99,13.91,4.87
NLD,2019,2.16,0.38,1.63,100.05,107.26,102.06,108.39,75.29,232.45,8.53,513.13,16.2,4.43
NLD,2020,1.4,-6.67,-4.41,99.14,108.76,95.26,103.61,77.09,229.49,10.09,555.3,22.0,4.85
NLD,2021,1.11,3.91,5.72,100.56,109.97,98.99,109.54,77.99,224.39,8.57,518.02,19.1,4.22
NLD,2022,-0.27,5.92,4.01,97.3,109.67,104.85,113.93,78.43,216.1,6.98,391.77,14.38,3.54
NLD,2023,0.2,-0.2,-0.91,98.44,109.9,104.65,112.89,77.97,202.62,6.72,397.62,14.55,3.54
NLD,2024,,,,99.39,,,,,,,,,
NOR,2015,4.04,1.7,0.85,,121.56,109.34,98.2,84.61,203.7,10.46,73.64,15.24,4.69
NOR,2016,-2.18,0.22,0.26,,118.91,109.58,98.45,85.72,211.96,10.48,76.78,12.79,4.91
NOR,2017,1.3,1.44,1.67,,120.46,111.16,100.1,86.16,216.17,9.55,81.3,12.58,4.37
NOR,2018,0.45,0.77,0.17,,121.0,112.02,100.27,85.69,220.69,9.71,76.58,12.16,3.99
NOR,2019,1.49,0.38,0.49,,122.81,112.45,100.75,85.27,221.68,9.22,85.72,13.29,3.88
NOR,2020,0.7,-6.77,-1.86,,123.67,104.83,98.88,87.73,226.9,11.22,99.09,18.93,4.75
NOR,2021,3.32,4.55,3.37,,127.77,109.61,102.22,84.96,225.22,10.33,113.37,18.89,4.46
NOR,2022,-4.15,6.85,2.3,,122.47,117.12,104.57,85.5,227.45,8.27,109.15,11.41,3.23
NOR,2023,,-2.0,-1.12,,,114.78,103.4,,,8.25,,,3.58
NOR,2024,,,,,,,,,,,,,
NZL,2015,,1.97,2.04,100.41,,111.04,107.28,,,13.36,,,5.4
NZL,2016,,3.43,1.75,100.04,,114.85,109.16,,,12.71,,,5.12
NZL,2017,,3.32,1.93,100.38,,118.66,111.26,,,11.85,,,4.72
NZL,2018,,2.74,2.22,99.92,,121.91,113.73,,,11.58,,,4.32
NZL,2019,,1.4,1.5,99.58,,123.62,115.44,,,10.33,,,4.1
NZL,2020,,-3.54,-2.94,99.11,,119.24,112.05,,,11.62,,,4.6
NZL,2021,,7.05,5.29,99.48,,127.64,117.97,,,9.86,,,3.8
NZL,2022,,3.88,2.94,97.3,,132.6,121.45,,,8.67,,,3.28
NZL,2023,,-1.27,-0.49,96.82,,130.92,120.85,,,9.51,,,3.7
NZL,2024,,,,97.85,,,,,,,,,
POL,2015,2.98,3.98,4.5,100.55,128.15,127.37,129.47,94.47,60.05,12.92,101.81,4.69,7.68
POL,2016,6.02,3.84,3.09,101.38,135.87,132.26,133.48,95.02,60.01,10.73,108.06,6.79,6.28
POL,2017,3.37,6.05,5.14,101.71,140.45,140.26,140.34,94.3,58.2,8.93,109.05,4.2,4.96
POL,2018,3.98,4.87,6.26,102.33,146.03,147.09,149.12,93.09,59.08,7.41,107.96,3.57,3.9
POL,2019,4.45,3.26,4.6,102.48,152.54,151.89,155.98,93.94,58.58,6.16,107.03,4.58,3.23
POL,2020,6.22,-1.16,0.06,99.12,162.03,150.13,156.08,96.39,56.03,8.14,118.43,11.29,3.14
POL,2021,-1.93,6.71,7.44,100.04,158.9,160.2,167.69,94.52,57.01,6.39,126.81,4.08,3.38
POL,2022,-1.7,2.92,3.03,98.38,156.19,164.88,172.76,94.18,47.53,5.42,116.01,-0.79,2.88
POL,2023,4.08,0.09,0.53,100.02,162.57,165.03,173.68,93.68,41.63,5.32,116.06,2.84,2.82
POL,2024,,,,101.71,,,,,,,,,
PRK,2015,,2.04,2.38,100.38,,113.71,123.7,,,,,,3.59
PRK,2016,,2.38,2.76,99.92,,116.41,127.11,,,,,,3.67
PRK,2017,,2.57,3.14,100.84,,119.41,131.11,,,,,,3.68
PRK,2018,,2.83,2.73,100.56,,122.79,134.69,,,,,,3.83
PRK,2019,,2.02,1.96,99.83,,125.27,137.33,,,,,,3.78
PRK,2020,,-4.77,-0.84,98.1,,119.29,136.18,,,,,,3.94
PRK,2021,,3.92,4.8,100.42,,123.97,142.71,,,,,,3.67
PRK,2022,,4.45,2.96,99.28,,129.49,146.94,,,,,,2.88
PRK,2023,,1.64,1.28,99.53,,131.62,148.82,,,,,,2.71
PRK,2024,,,,99.89,,,,,,,,,2.8
PRT,2015,3.27,2.14,1.96,100.02,96.91,96.5,95.96,102.8,124.73,22.19,186.98,7.47,12.98
PRT,2016,2.45,2.61,2.25,100.48,99.28,99.01,98.12,103.13,118.76,20.31,189.12,7.3,11.48
PRT,2017,1.2,1.94,3.48,101.9,100.47,100.94,101.53,102.77,116.29,17.28,196.31,6.54,9.24
PRT,2018,3.01,2.61,3.0,101.93,103.49,103.58,104.58,102.27,111.33,14.0,195.59,6.94,7.15
PRT,2019,3.35,3.26,2.55,101.33,106.96,106.95,107.25,102.04,112.25,13.15,194.71,7.0,6.65
PRT,2020,-1.57,-7.03,-8.47,98.17,105.28,99.43,98.16,103.27,116.41,20.91,203.75,12.05,7.11
PRT,2021,3.29,4.66,5.33,99.65,108.74,104.07,103.39,102.47,114.96,14.67,209.04,10.95,6.73
PRT,2022,0.92,4.96,6.36,96.74,109.74,109.23,109.96,101.79,109.26,13.07,197.45,7.33,6.18
PRT,2023,1.65,0.9,1.47,97.43,111.56,110.22,111.58,100.22,101.16,13.19,198.6,7.99,6.57
PRT,2024,,,,99.55,,,,,,,,,
SVK,2015,,3.13,5.1,101.93,,111.01,119.92,,,15.35,,,11.47
SVK,2016,,3.48,1.79,102.41,,114.87,122.06,,,13.26,,,9.66
SVK,2017,,5.8,2.73,102.57,,121.53,125.4,,,11.64,,,8.08
SVK,2018,,3.98,3.92,102.53,,126.37,130.31,,,9.44,,,6.51
SVK,2019,,2.67,2.14,102.53,,129.75,133.1,,,8.38,,,5.72
SVK,2020,,0.28,-2.72,99.7,,130.11,129.48,,,11.09,,,6.66
SVK,2021,,3.38,6.11,99.88,,134.51,137.4,,,10.36,,,6.82
SVK,2022,,4.83,0.15,98.05,,141.01,137.6,,,8.92,,,6.15
SVK,2023,,-3.27,1.37,99.34,,136.4,139.49,,,8.25,,,5.85
SVK,2024,,,,100.84,,,,,,,,,
SVN,2015,,2.33,2.32,101.28,,101.33,96.38,,,12.87,,,8.98
SVN,2016,,4.03,2.97,101.24,,105.41,99.24,,,11.26,,,8.01
SVN,2017,,2.45,5.11,103.35,,108.0,104.31,,,9.12,,,6.57
SVN,2018,,3.1,4.07,103.89,,111.34,108.56,,,6.89,,,5.12
SVN,2019,,4.64,2.66,103.09,,116.51,111.44,,,5.86,,,4.44
SVN,2020,,-6.76,-4.71,98.74,,108.62,106.19,,,10.99,,,4.98
SVN,2021,,10.29,8.14,99.67,,119.8,114.83,,,11.96,,,4.78
SVN,2022,,5.22,2.62,96.82,,126.05,117.84,,,8.28,,,4.03
SVN,2023,,-0.38,1.58,96.93,,125.57,119.69,,,7.9,,,3.66
SVN,2024,,,,98.44,,,,,,,,,
SWE,2015,1.66,3.12,3.34,99.99,116.95,110.29,103.93,86.87,169.6,15.82,394.25,14.24,7.59
SWE,2016,2.13,1.05,1.13,100.11,119.45,111.45,105.1,85.75,175.09,14.83,414.55,15.44,7.15
SWE,2017,0.78,1.02,0.38,100.57,120.37,112.58,105.5,85.65,179.39,13.93,422.17,14.52,6.86
SWE,2018,0.52,0.77,0.73,100.2,121.0,113.46,106.27,84.98,181.43,13.02,399.37,15.51,6.47
SWE,2019,1.19,-0.31,1.46,99.56,122.44,113.11,107.83,84.84,182.27,13.62,463.75,17.4,6.91
SWE,2020,-1.3,-3.72,-2.7,99.76,120.85,108.9,104.92,87.13,192.77,18.02,516.27,17.84,8.48
SWE,2021,3.59,5.33,5.31,101.73,125.19,114.7,110.49,85.22,193.25,19.57,577.07,17.52,8.89
SWE,2022,-0.94,1.79,0.41,96.04,124.02,116.76,110.95,85.98,188.02,16.99,463.48,14.68,7.48
SWE,2023,-1.98,-2.85,-0.91,95.75,121.55,113.43,109.94,85.48,180.4,16.79,496.67,16.26,7.67
SWE,2024,,,,99.77,,,,,,,,,
TUR,2015,,3.91,4.68,100.11,,129.79,131.33,,,18.41,,,10.33
TUR,2016,,2.4,1.94,101.25,,132.9,133.88,,,19.15,,,10.91
TUR,2017,,4.56,6.12,100.96,,138.96,142.06,,,18.64,,,10.93
TUR,2018,,-0.69,1.63,99.96,,138.0,144.38,,,18.45,,,10.89
TUR,2019,,0.06,-0.61,97.5,,138.09,143.49,,,21.16,,,13.74
TUR,2020,,2.23,0.88,97.91,,141.17,144.75,,,28.85,,,13.14
TUR,2021,,14.33,10.43,97.29,,161.4,159.85,,,26.47,,,12.03
TUR,2022,,17.73,4.5,94.84,,190.03,167.04,,,22.77,,,10.48
TUR,2023,,13.17,4.68,97.39,,215.04,174.86,,,24.55,,,9.39
TUR,2024,,,,97.32,,,,,,,,,
USA,2015,3.0,2.57,2.14,100.84,108.56,105.19,105.04,,104.0,10.58,420.26,11.52,5.29
USA,2016,1.21,1.67,1.04,100.73,109.87,106.94,106.13,,103.86,9.74,429.86,11.12,4.87
USA,2017,2.4,1.93,1.75,101.31,112.51,109.01,107.99,,102.69,8.62,453.16,11.53,4.35
USA,2018,2.95,2.14,2.36,101.47,115.82,111.34,110.54,,100.15,7.78,420.23,12.22,3.9
USA,2019,2.58,1.62,2.05,101.25,118.81,113.13,112.81,,99.52,7.22,466.02,13.05,3.67
USA,2020,6.34,-2.92,-2.55,99.49,126.34,109.83,109.93,,95.43,13.81,492.03,20.62,8.09
USA,2021,3.47,8.55,5.84,99.06,130.72,119.22,116.35,,96.79,9.51,513.73,16.72,5.37
USA,2022,-5.71,2.46,1.94,96.89,123.26,122.16,118.61,,101.89,6.95,453.89,9.5,3.65
USA,2023,3.39,1.69,2.04,97.63,127.43,124.22,121.03,,96.92,6.95,461.0,10.99,3.63
USA,2024,1.72,1.84,1.86,98.43,129.63,126.51,123.28,,,,,10.88,4.02
