Country,Quarter,ab_us,health_us,nhealth_us,acc_us,of_us,be_us,gu_us,qf_us,ab_per,ab_ppp,health_per,health_ppp,nhealth_per,nhealth_ppp,acc_per,acc_ppp,of_per,of_ppp,be_per,be_ppp,gu_per,gu_ppp,qf_per,qf_ppp,real_gdp_per,real_gdp_ppp
JPN,Q2.2020,54.10682418759711,26.236916652536532,27.869907535060634,243.68669096730486,128.1492710841033,0.0,128.1492710841033,1021.6095890552396,1.185426863484727,1.0161187929447149,0.5748248262934655,0.49272572323100217,0.6106020371912617,0.5233930697137126,5.3389337497387706,4.57640288448402,2.8076234515701857,2.406625866623549,0.0,0.0,2.8076234515701857,2.406625866623549,22.382453027750998,19.18568901572147,5324.85222823165,4564.33255009445
KOR,Q2.2020,23.759348551253893,1.2812909352111514,22.47805761604274,13.126652361297392,-186.96912589332604,-101.0,-85.96912589332604,120.83690597305201,1.450379552541781,1.1017348749826728,0.0782158723450907,0.05941420932800745,1.37216368019669,1.0423206656546653,0.8013110349839645,0.6086905399370369,-11.413452543419117,-8.66986761431353,-6.1655030015117545,-4.683429014613174,-5.247949541907363,-3.986438599700355,7.376438677923226,5.603277935349264,2156.5395714307,1638.14696019506
ESP,Q2.2020,24.88618736353271,0.5205779028349076,24.365609460697797,0.0,-60.84160463550384,-10.864488823267086,-49.97711581223676,-0.5032792957327725,1.8797371249607489,1.3852381694584872,0.039320993453055675,0.028976892709578927,1.8404161315076932,1.3562612767489082,0.0,0.0,-4.595570277797096,-3.386622137053556,-0.8206312476270455,-0.6047493089157667,-3.7749390301700494,-2.7818728281377894,-0.038014371691152515,-0.028014001508676944,1796.52769554142,1323.91849014805
GBR,Q2.2020,71.6187843785988,1.8120430642510197,69.80674131434778,0.0,0.4940198779694356,-421.75808205314377,422.2521019311132,0.0,2.268292039427225,2.4343666996657944,0.057390569993647195,0.06159246253963502,2.2109014694335776,2.3727742371261593,0.0,0.0,0.015646472726947636,0.016792040668327957,-13.35781538859955,-14.335817609491436,13.373461861326497,14.352609650159764,0.0,0.0,2941.98833677897,3157.38816403392
USA,Q2.2020,1048.0,294.55,753.45,0.0,0.0,0.0,0.0,0.0,5.258674817146446,5.24676468330644,1.4779987284260356,1.4746512762098394,3.7806760887204103,3.7721134070966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19974.2138871676,19928.975197
MEX,Q2.2020,4.996381613916132,0.0004254212942651492,4.9959561926218665,2.1604134887013475,-1.530695849770448,-1.530695849770448,0.0,3.026441309603181,0.3906012924288726,0.20978501364374227,3.3258089595061824e-05,1.786232896484885e-05,0.39056803433927756,0.20976715131477744,0.16889428511968757,0.09071011948747132,-0.11966495424820534,-0.06426992062298133,-0.11966495424820534,-0.06426992062298133,0.0,0.0,0.2365975976892175,0.12707236566132835,2381.66755915225,1279.15132662444
TUR,Q2.2020,1.6541353383458646,0.0,1.6541353383458646,9.909774436090226,44.01954887218045,3.007518796992481,41.01203007518797,15.473684210526315,0.16590235659523436,0.07087784297998902,0.0,0.0,0.16590235659523436,0.07087784297998902,0.9939059363296313,0.42462271385284334,4.414963349647541,1.886188270502926,0.3016406483549715,0.12886880541816187,4.11332270129257,1.7573194650847643,1.5519411357863286,0.6630300038764427,2333.78340649119,997.05355143423
AUT,Q2.2020,8.47058823,0.0,8.47058823,0.0,8.4706,0.0,8.4706,0.0,2.046285213106138,1.8076405000965217,0.0,0.0,2.046285213106138,1.8076405000965217,0.0,0.0,2.0462880564478647,1.8076430118381042,0.0,0.0,2.0462880564478647,1.8076430118381042,0.0,0.0,468.59916169989,413.94954015927
BEL,Q2.2020,15.736781814144809,2.2949473478961178,13.441834466248691,12.02115277469395,2.827267662189584,0.0,2.827267662189584,0.0,3.178136500256917,2.833812223393421,0.46347823962080037,0.4132642825782072,2.7146582606361167,2.4205479408152137,2.427743159918478,2.164717670647752,0.5709834869238826,0.5091222433240024,0.0,0.0,0.5709834869238826,0.5091222433240024,0.0,0.0,555.32196820368,495.15751802582
CZE,Q2.2020,1.885402004076548,1.8854020040765493,0.0,0.0,-0.7744888006710369,-0.7744888006710374,0.0,0.0,0.8743271030895459,0.4627935881679428,0.8743271030895452,0.462793588167943,0.0,0.0,0.0,0.0,-0.3591576480781704,-0.1901071762326838,-0.3591576480781714,-0.19010717623268403,0.0,0.0,0.0,0.0,407.3958784823,215.64034757864
DNK,Q2.2020,9.388350848575694,0.11675143395921074,9.271599414616482,24.284298263515833,21.166160352966337,5.822977768715635,15.343182584250702,0.0,2.8226936439388854,3.018145669215001,0.03510238761554287,0.03753298534130642,2.787591256323343,2.980612683873695,7.301296624032918,7.806860950991734,6.363799911032654,6.804449070297286,1.7507315823252003,1.8719576438976573,4.613068328707453,4.932491426399629,0.0,0.0,311.06354290108,332.60254327405
EST,Q2.2020,1.248195141,0.33243433,0.915760811,0.0,0.6756621620000001,0.616662162,0.059000000000000025,0.0,4.640879609712664,2.7186939247924107,1.236014828922885,0.72407523765824,3.40486478078978,1.9946186871341705,0.0,0.0,2.512160677190279,1.4716598027852008,2.292794419480222,1.3431518986170716,0.21936625771005724,0.12850790416812902,0.0,0.0,45.91157281875,26.89565871064
FIN,Q2.2020,3.2526658490995635,1.5678041258934419,1.6848617232061223,1.2373683697402944,3.751470525980066,1.54465361043267,2.206816915547396,1.0928320704267227,1.2768362788335081,1.2809688677565576,0.6154426181219228,0.6174345503598968,0.6613936607115851,0.6635343173966608,0.4857298284122391,0.4873019342035354,1.4726424074185154,1.477408739485826,0.6063548669094236,0.6083173858697373,0.8662875405090924,0.8690913536160885,0.42899200192354664,0.4303804709266718,253.92231856471,254.7441596875
GRC,Q2.2020,4.025445905171339,0.707075905171339,3.3183700000000007,0.0,6.7446144,5.3117944,1.43282,0.0,1.9741964283923021,1.334941477710545,0.34677070800982396,0.2344845703901644,1.6274257203824787,1.1004569073203805,0.0,0.0,3.307756202178189,2.2366877423833085,2.605059359849449,1.7615277493907286,0.7026968423287405,0.47515999299257966,0.0,0.0,301.5447472705,203.90300819506
ISL,Q2.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.06914282116,20.72999982729
