Country,Quarter,ab_us,health_us,nhealth_us,acc_us,of_us,be_us,gu_us,qf_us,ab_per,ab_ppp,health_per,health_ppp,nhealth_per,nhealth_ppp,acc_per,acc_ppp,of_per,of_ppp,be_per,be_ppp,gu_per,gu_ppp,qf_per,qf_ppp,real_gdp_per,real_gdp_ppp
AUS,Q1.2020,110.0051,2.1168,107.8883,0.0,24.0029,10.3255,13.6774,0.0,7.3593163001337505,8.968910749046236,0.14161344105067059,0.1725864552969005,7.21770285908308,8.796324293749336,0.0,0.0,1.6057885790793376,1.9569989738501388,0.690773613741827,0.8418563133825332,0.9150149653375106,1.1151426604676056,0.0,0.0,1226.51571721458,1494.77336635199
CAN,Q1.2020,81.0,2.4,78.6,63.75,51.7,3.7,48.0,0.0,4.774240068056559,4.699771209907165,0.1414589649794536,0.13925248029354564,4.6327811030771056,4.560518729613619,3.7575037572667362,3.6988940077973065,3.0472618705990637,2.999730512990129,0.21808257100999098,0.21468090711921622,2.8291792995890725,2.785049605870913,0.0,0.0,1723.48815255626,1696.60508992738
FRA,Q1.2020,16.5,5.5,11.0,48.5,348.0,0.0,348.0,0.0,0.630538110393977,0.5675778383927643,0.21017937013132568,0.18919261279758812,0.42035874026265135,0.37838522559517623,1.8533999002489625,1.6683348583060043,13.298621964672968,11.970732591556484,0.0,0.0,13.298621964672968,11.970732591556484,0.0,0.0,2907.09024981028,2616.81248571801
DEU,Q1.2020,143.0,11.2,131.8,0.0,1072.0,223.0,849.0,0.0,3.9751844662002656,3.436025882487833,0.3113431190310697,0.2691153138731729,3.6638413471691957,3.16691056861466,0.0,0.0,29.799984250116676,25.75818004214655,6.199063887850763,5.358278124439068,23.600920362265914,20.39990191770748,0.0,0.0,4161.78471555813,3597.31733749424
ITA,Q1.2020,22.0,3.63,18.37,0.0,591.0,0.0,591.0,0.0,1.1469339016069102,0.9411121263567402,0.18924409376514018,0.15528350084886214,0.9576898078417699,0.7858286255078781,0.0,0.0,30.81081526589472,25.281693939856066,0.0,0.0,30.81081526589472,25.281693939856066,0.0,0.0,2337.65981585712,1918.15761738117
JPN,Q1.2020,497.0,12.1906,484.8094,0.0,19.0,0.0,19.0,0.0,10.88877715515526,9.333592345811455,0.26708395731918655,0.22893780855301635,10.621693197836073,9.104654537258439,0.0,0.0,0.41627115884899385,0.35681741362257074,0.0,0.0,0.41627115884899385,0.35681741362257074,0.0,0.0,5324.85222823165,4564.33255009445
KOR,Q1.2020,24.0,2.5,21.5,14.0,215.0,101.0,114.0,0.0,1.465070020161209,1.1128940232744176,0.15261146043345927,0.11592646075775184,1.3124585597277498,0.9969675625166657,0.854624178427372,0.6491881802434102,13.124585597277498,9.969675625166659,6.1655030015117545,4.683429014613174,6.959082595765744,5.2862466105534835,0.0,0.0,2156.5395714307,1638.14696019506
ESP,Q1.2020,14.892900000000001,4.1786,10.7143,0.0,175.6152,11.0,164.6152,11.4316,1.124910642975805,0.8289824886619253,0.3156236604515372,0.23259313009035992,0.8092869825242677,0.5963893585715654,0.0,0.0,13.264804540977552,9.775257038109551,0.8308668609024338,0.6122922584104626,12.433937680075118,9.162964779699088,0.8634670551902056,0.6363163801131858,1796.52769554142,1323.91849014805
GBR,Q1.2020,83.000000005,6.384615385,76.61538462,0.0,423.0,423.0,0.0,0.0,2.628755024499684,2.8212212457603547,0.20221192496151416,0.2170170189046427,2.42654309953817,2.604204226855712,0.0,0.0,13.397149099956392,14.378031167286023,13.397149099956392,14.378031167286023,0.0,0.0,0.0,0.0,2941.98833677897,3157.38816403392
USA,Q1.2020,1395.0,9.45,1385.55,0.0,510.0,56.0,454.0,0.0,6.999858177403903,6.984004516424125,0.047418394104994176,0.04731099833706665,6.952439783298908,6.936693518087059,0.0,0.0,2.5590879358250826,2.5532919737464543,0.2809978909925581,0.28036147162706165,2.2780900448325245,2.272930502119393,0.0,0.0,19974.2138871676,19928.975197
MEX,Q1.2020,1.862,1.862,0.0,0.0,3.3,3.3,0.0,0.0,0.14556526356530802,0.07818051653954491,0.14556526356530802,0.07818051653954491,0.0,0.0,0.0,0.0,0.25798354982036326,0.1385583805480656,0.25798354982036326,0.1385583805480656,0.0,0.0,0.0,0.0,2381.66755915225,1279.15132662444
TUR,Q1.2020,0.0,0.0,0.0,0.0,3.8,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3811229591965065,0.1628257356458475,0.0,0.0,0.3811229591965065,0.1628257356458475,0.0,0.0,2333.78340649119,997.05355143423
AUT,Q1.2020,31.7647,0.0,31.7647,0.0,0.0,0.0,0.0,0.0,7.673568132912603,6.778650624292711,0.0,0.0,7.673568132912603,6.778650624292711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,468.59916169989,413.94954015927
BEL,Q1.2020,0.0,0.0,0.0,0.0,54.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.90562054178165,9.724088563374462,0.0,0.0,10.90562054178165,9.724088563374462,0.0,0.0,555.32196820368,495.15751802582
CZE,Q1.2020,9.075121544448312,0.022540984,9.05258056044831,0.0,21.10423025660159,0.806964426,20.29726583060159,0.0,4.20845247484995,2.2275928706634165,0.010453045662885387,0.005532943554552756,4.197999429187065,2.2220599271088637,0.0,0.0,9.786772509678539,5.180275837650256,0.3742177357165106,0.19807869166625844,9.412554773962029,4.9821971459839975,0.0,0.0,407.3958784823,215.64034757864
DNK,Q1.2020,9.0,0.0,9.0,0.0,9.7,0.0,9.7,0.0,2.705932405509116,2.8932995220407594,0.0,0.0,2.705932405509116,2.8932995220407594,0.0,0.0,2.916393814826492,3.1183339293105963,0.0,0.0,2.916393814826492,3.1183339293105963,0.0,0.0,311.06354290108,332.60254327405
EST,Q1.2020,0.0,0.0,0.0,0.0,0.3435135079,0.166216216,0.1772972919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2772080118792744,0.7482067958249323,0.6180038860109583,0.36203555181215297,0.659204125868316,0.3861712440127794,0.0,0.0,45.91157281875,26.89565871064
FIN,Q1.2020,4.352352529,0.028823529,4.323529,4.5,13.1,1.1,12.0,0.0,1.7085190625524533,1.714048829422152,0.011314696688378813,0.011351317663970748,1.6972043658640745,1.7026975117581813,1.7664781816863806,1.7721955381614918,5.142414262242575,5.159058122203454,0.4318057777455597,0.4332033537728091,4.710608484497015,4.725854768430645,0.0,0.0,253.92231856471,254.7441596875
GRC,Q1.2020,6.366461,0.000541,6.36592,0.0,2.2164,1.1082,1.1082,0.0,3.122298712684829,2.1112823412204826,0.00026532222589009696,0.0001794095254176977,3.122033390458939,2.111102931695065,0.0,0.0,1.0869873964192438,0.7350152904543165,0.5434936982096219,0.36750764522715823,0.5434936982096219,0.36750764522715823,0.0,0.0,301.5447472705,203.90300819506
ISL,Q1.2020,0.8825382044332963,0.021328006607137996,0.8612101978261584,0.0,0.9193106296180171,0.0,0.9193106296180171,0.0,4.257299622701778,4.628095833725632,0.10288474088195963,0.11184564931503611,4.154414881819818,4.516250184410596,0.0,0.0,4.434687106981019,4.820933160130867,0.0,0.0,4.434687106981019,4.820933160130867,0.0,0.0,19.06914282116,20.72999982729
IRL,Q1.2020,23.434808652685703,2.286322795383971,21.148485857301733,2.8579034942299635,6.858968386151913,4.572645590767942,2.286322795383971,0.0,6.308725700048833,5.607879134139175,0.6154854341511056,0.5471101594282122,5.693240265897727,5.060768974710963,0.769356792688882,0.6838876992852652,1.8464563024533167,1.6413304782846365,1.2309708683022111,1.0942203188564243,0.6154854341511056,0.5471101594282122,0.0,0.0,417.89075855828,371.46659669328
