Country;Year;ab_us;on_us;health_us;nhealth_us;acc_us;of_us;be_us;gu_us;qf_us;ab_per;on_per;ab_ppp;on_ppp;health_per;health_ppp;nhealth_per;nhealth_ppp;acc_per;acc_ppp;of_per;of_ppp;be_per;be_ppp;gu_per;gu_ppp;qf_per;qf_ppp;;real_gdp_per;total_netspend_usd;total_moving_usd;share_onw0_mo;share_on_mo;share_onw0_t;share_on_t;share_nhealth_mo;share_nhealth_t;share_health_mo;share_health_t;share_acc_mo;share_acc_t;share_nhealth_on;share_health_on;share_of_mo;share_of_t;share_be_mo;share_be_t;share_gu_mo;share_gu_t;share_be_of;share_gu_of;total_intensity_per;total_mo_per
CZE;2020;14.62459;13.06640;2.85881;10.20759;1.55818;37.13022;0.04293;37.08730;0.00000;6.09346;5.44423;3.85653;3.20730;1.19115;0.70173;4.25308;2.50557;0.64923;0.38247;15.47064;9.11404;0.01789;0.01054;15.45275;9.10350;0.00000;0.00000;;407.39587848230;50.19662407548590000000000000;50.19662407548590000000000000;26.030443%;26.030443%;26.030443%;26.030443%;20.335215%;20.335215%;5.695228%;5.695228%;3.104156%;3.104156%;78.120894%;21.879106%;73.969557%;73.969557%;0.085514%;0.085514%;73.884043%;73.884043%;0.115607%;99.884393%;12.321338%;12.321338%
DNK;2020;32.87883;6.14287;0.12194;6.02093;26.73596;14.78496;8.70108;6.08388;0.00000;9.48897;1.77286;9.69090;1.97480;0.03519;0.03920;1.73766;1.93559;7.71611;8.59502;4.26700;4.75303;2.51117;2.79720;1.75583;1.95583;0.00000;0.00000;;311.06354290108;20.92782754949750000000000000;20.92782754949750000000000000;29.352640%;29.352640%;29.352640%;29.352640%;28.769957%;28.769957%;0.582683%;0.582683%;127.753176%;127.753176%;98.014888%;1.985112%;70.647360%;70.647360%;41.576594%;41.576594%;29.070767%;29.070767%;58.850880%;41.149120%;6.727830%;6.727830%
EST;2020;1.06769;1.06769;0.26180;0.80589;0.00000;1.32039;0.97891;0.34148;0.00000;3.49002;3.49002;2.32554;2.32554;0.85576;0.57023;2.63425;1.75531;0.00000;0.00000;4.31601;2.87593;3.19980;2.13216;1.11621;0.74378;0.00000;0.00000;;45.91157281875;2.38807664173222000000000000;2.38807664173222000000000000;44.709247%;44.709247%;44.709247%;44.709247%;33.746425%;33.746425%;10.962822%;10.962822%;0.000000%;0.000000%;75.479744%;24.520256%;55.290753%;55.290753%;40.991420%;40.991420%;14.299333%;14.299333%;74.137931%;25.862069%;5.201470%;5.201470%
FIN;2020;12.74855;7.91093;2.10579;5.80514;4.83762;18.57646;2.75460;14.68360;1.13826;4.79264;2.97401;4.93413;3.11549;0.79164;0.82930;2.18237;2.28619;1.81864;1.90516;6.55565;6.86753;1.03555;1.08482;5.52010;5.78271;0.42791;0.44827;;253.92231856471;26.48738963446560000000000000;26.48738963446560000000000000;29.866781%;29.866781%;29.866781%;29.866781%;21.916631%;21.916631%;7.950150%;7.950150%;18.263859%;18.263859%;73.381295%;26.618705%;70.133219%;70.133219%;10.399656%;10.399656%;55.436184%;55.436184%;14.828431%;79.044118%;10.431296%;10.431296%
GRC;2020;23.00498;21.21365;0.70762;20.50603;1.79133;9.33277;6.41999;2.91278;0.00000;11.96018;11.02887;7.96630;7.03499;0.36789;0.23466;10.66099;6.80033;0.93131;0.59405;4.85206;3.09499;3.33772;2.12904;1.51434;0.96595;0.00000;0.00000;;301.54474727050;30.54641570772750000000000000;30.54641570772750000000000000;69.447251%;69.447251%;69.447251%;69.447251%;67.130721%;67.130721%;2.316530%;2.316530%;5.864301%;5.864301%;96.664332%;3.335668%;30.552749%;30.552749%;21.017178%;21.017178%;9.535571%;9.535571%;68.789809%;31.210191%;10.129978%;10.129978%
ISL;2020;0.90912;0.90912;0.05027;0.85853;0.00000;0.91645;0.00000;0.91645;0.00000;4.34028;4.34028;4.76584;4.76584;0.24000;0.26362;4.09877;4.50222;0.00000;0.00000;4.37528;4.80595;0.00000;0.00000;4.37528;4.80595;0.00000;0.00000;;19.06914282116;1.82557648536537000000000000;1.82557648536537000000000000;49.799197%;49.799197%;49.799197%;49.799197%;47.028112%;47.028112%;2.753694%;2.753694%;0.000000%;0.000000%;94.435484%;5.529596%;50.200803%;50.200803%;0.000000%;0.000000%;50.200803%;50.200803%;0.000000%;100.000000%;9.573459%;9.573459%
IRL;2020;24.84600;22.38600;3.07500;19.31100;2.46000;6.15000;3.69000;2.46000;0.00000;5.97952;5.38749;5.94893;5.35690;0.74004;0.73584;4.64745;4.62106;0.59203;0.58867;1.48008;1.47168;0.88805;0.88301;0.59203;0.58867;0.00000;0.00000;;417.89075855828;28.53600000000000000000000000;28.53600000000000000000000000;78.448276%;78.448276%;78.448276%;78.448276%;67.672414%;67.672414%;10.775862%;10.775862%;8.620690%;8.620690%;86.263736%;13.736264%;21.551724%;21.551724%;12.931034%;12.931034%;8.620690%;8.620690%;60.000000%;40.000000%;6.828579%;6.828579%
ISR;2020;28.97604;26.89185;4.45785;22.43400;2.08419;11.14463;0.92631;10.21832;0.00000;7.47465;6.93702;8.39164;7.85400;1.14995;1.30196;5.78707;6.55205;0.53764;0.60871;2.87487;3.25489;0.23895;0.27054;2.63592;2.98435;0.00000;0.00000;;342.39670930134;38.03647692178060000000000000;38.03647692178060000000000000;70.700152%;70.700152%;70.700152%;70.700152%;58.980213%;58.980213%;11.719939%;11.719939%;5.479452%;5.479452%;83.423036%;16.576964%;29.299848%;29.299848%;2.435312%;2.435312%;26.864536%;26.864536%;8.311688%;91.688312%;11.108891%;11.108891%
LVA;2020;2.61801;2.61801;0.23904;2.37897;0.00000;0.97891;0.22765;0.75125;0.00000;7.92807;7.92807;4.72372;4.72372;0.72387;0.43130;7.20420;4.29242;0.00000;0.00000;2.97501;1.76626;0.70000;0.41076;2.27501;1.35550;0.00000;0.00000;;55.42258974000;3.59691238697513000000000000;3.59691238697513000000000000;72.784810%;72.784810%;72.784810%;72.784810%;66.139241%;66.139241%;6.645570%;6.645570%;0.000000%;0.000000%;90.869565%;9.130435%;27.215190%;27.215190%;6.329114%;6.329114%;20.886076%;20.886076%;23.255814%;76.744186%;6.489975%;6.489975%
LTU;2020;5.08007;2.58727;0.56913;2.01814;2.49280;1.95781;0.36424;1.59357;0.00000;9.19051;4.68071;7.17335;2.66356;1.02963;0.58591;3.65108;2.07764;4.50980;2.56629;3.54194;2.01554;0.65897;0.37498;2.88297;1.64055;0.00000;0.00000;;97.13607334840;4.54508581050371000000000000;4.54508581050371000000000000;56.924618%;56.924618%;56.924618%;56.924618%;44.402705%;44.402705%;12.521913%;12.521913%;54.845980%;54.845980%;78.002640%;21.997360%;43.075382%;43.075382%;8.014025%;8.014025%;35.061357%;35.061357%;18.604651%;81.395349%;4.679092%;4.679092%
