date,AG,AI,AR,BE,BL,BS,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,TI,UR,VD,VS,ZG,ZH,CH_SECO,crea_recession
2003-03-31,-0.2304,-0.1429,-0.8220,-0.2462,-0.2651,-0.2647,-0.2457,-0.4710,-0.4261,-0.2589,-0.6189,-0.1565,-0.5035,-0.0553,-0.2978,-0.4060,-0.6373,-0.1659,0.0682,-0.4413,-0.2311,-0.3416,-0.1238,-0.0357,-0.1143,-0.7758,-0.3707,1
2003-06-30,-0.6852,-0.6328,-0.9030,-0.3534,-0.5954,0.1804,-0.4885,0.1126,-0.9897,-0.6363,-0.8745,-0.3918,-0.5061,-0.5838,-0.3407,-0.4079,-0.2204,-0.6193,-0.3337,-0.5687,-0.2291,-0.7424,-0.1252,-0.7942,-0.6655,0.0811,-0.3050,1
2003-09-30,0.7044,0.8608,0.1117,0.6343,0.9255,1.1262,0.5309,1.8077,0.2549,0.3714,1.0752,0.7209,0.8766,0.8864,0.8260,0.8574,0.5850,0.7842,0.9907,0.8744,1.0771,0.2217,0.9305,0.6298,2.1919,1.2283,1.0303,0
2003-12-31,0.8492,1.3064,0.2053,0.9214,0.8938,1.6374,0.9168,1.9748,0.4167,0.4985,1.1602,1.0032,0.9655,1.0864,0.9044,0.9244,1.2432,0.9769,1.2518,1.0347,1.3313,0.3161,1.4825,0.8842,1.7510,1.1836,1.1694,0
2004-03-31,0.4032,0.5346,-0.3109,0.3198,0.6112,0.7193,0.4287,1.0549,-0.4352,-0.0150,-0.0772,0.6269,0.2407,0.3598,0.0151,0.2943,0.4022,0.1724,0.7787,0.5907,0.4318,-0.7537,0.7542,0.2395,1.3431,0.3731,0.4848,0
2004-06-30,0.8155,1.0668,0.2370,0.8332,0.6651,0.6919,0.8976,0.9661,0.1718,0.4717,1.1172,0.7572,0.6670,0.0033,0.8909,0.6506,0.7066,0.9990,1.0378,0.7616,0.6821,0.4596,1.0516,1.0299,1.1124,0.3741,0.6922,0
2004-09-30,0.0295,-0.7414,-0.6706,-0.1851,-0.1695,-0.2299,-0.1038,-0.4111,-0.6241,-0.1133,-1.1877,-0.0229,-0.5256,-0.1402,0.3275,-0.2962,-0.7236,-0.1477,0.1282,-0.4567,-0.6335,0.2996,-0.3460,-0.2624,-0.5266,-0.0515,-0.2384,0
2004-12-31,0.3444,0.9340,-0.0551,0.3614,-0.0821,0.5338,0.5927,0.8085,0.2391,0.1265,0.5353,0.3939,0.1263,0.2839,0.6369,0.2707,0.2826,0.3338,0.8033,0.2456,0.7432,0.2489,0.8171,0.6498,1.0059,0.4099,0.4419,0
2005-03-31,1.4092,1.1551,0.4781,0.7547,0.9955,1.3442,1.1377,1.2526,0.7862,1.0603,1.1831,1.0309,1.3823,0.6794,1.6279,0.9337,0.7738,1.1621,1.3798,0.8355,1.0571,1.3067,0.8901,1.1841,1.6776,0.9849,1.0556,0
2005-06-30,0.6481,1.5693,0.8572,0.7391,0.9751,0.8905,1.1842,1.2256,0.6582,0.2278,1.7724,1.3877,1.5621,1.5603,1.7046,1.2529,1.2805,0.8335,1.1383,1.3070,1.3675,-0.0053,0.9369,0.0687,2.4559,1.1143,1.0649,0
2005-09-30,1.0809,1.2454,0.5214,0.6298,0.9822,1.1095,0.7939,1.6080,0.5649,0.6391,1.1560,0.8551,1.1401,0.3002,1.6106,0.8768,0.6072,0.7722,1.3385,1.0116,1.1772,0.9059,0.9919,1.1812,2.5019,1.3373,1.1314,0
2005-12-31,1.2042,0.6633,0.1691,0.4838,1.1950,1.8292,0.6324,1.3796,0.6239,0.2084,0.7701,0.6070,0.7621,0.2079,1.6010,0.6795,0.7891,0.7234,0.9093,0.6938,1.0761,0.8988,0.8181,0.8716,1.9370,1.3111,1.0509,0
2006-03-31,1.3411,0.8311,0.5253,0.7152,1.2070,1.7111,0.7191,1.4493,0.9502,0.3988,1.0590,0.9712,1.0984,0.5123,1.9766,0.9054,1.3224,0.8642,1.1382,0.9358,0.9012,1.1523,1.1526,1.1552,1.7598,1.3978,1.1478,0
2006-06-30,1.0872,0.7513,0.4702,0.3169,1.0452,1.2313,0.5735,0.9248,0.7661,0.0714,1.0822,0.7213,0.9792,0.3508,1.3869,0.6675,0.7916,0.6675,0.7866,0.7569,0.7188,0.6159,0.7143,0.8934,1.6277,0.8337,0.7365,0
2006-09-30,1.0848,0.5830,0.4762,0.4390,1.0384,1.1273,0.6610,0.8357,0.6417,0.1520,0.6137,0.7535,0.8049,0.1101,1.3839,0.5542,1.0468,0.5225,0.7869,0.7813,0.5461,0.5280,0.9975,0.8724,1.2759,0.6804,0.7412,0
2006-12-31,1.3370,0.9920,0.5680,0.7263,1.4303,1.6328,0.9121,2.1355,0.8957,0.5167,1.4843,0.9101,1.2599,0.5915,1.2770,0.9653,1.0100,1.0076,1.1080,1.0507,1.1900,0.6111,1.1831,1.1399,1.9252,1.7711,1.3387,0
2007-03-31,0.5478,0.4711,0.1015,0.2959,0.2249,-0.1284,0.5293,1.2825,0.2770,0.2732,-0.0972,0.3416,0.0195,-0.2674,0.7255,0.1427,0.4769,0.1699,0.6164,0.3130,0.6062,0.2476,1.1199,0.7481,0.9651,0.8661,0.5653,0
2007-06-30,1.3694,1.7473,1.1945,1.0915,1.0921,1.5673,1.1852,2.4844,1.3147,0.9404,2.3131,1.0884,1.8300,1.1456,1.8573,1.2464,1.3303,1.3671,1.2309,1.3207,1.4179,0.9748,1.5609,1.3747,1.9833,1.9734,1.5700,0
2007-09-30,1.3056,1.0697,0.7761,0.6301,1.0491,1.2141,0.8282,1.0937,0.9444,0.4597,1.1456,0.6750,1.0718,0.3433,1.4220,0.5619,0.7575,0.8233,0.8134,0.7117,0.6128,0.4577,0.7986,0.9715,1.4529,0.7512,0.8762,0
2007-12-31,1.0888,0.7421,0.7848,0.7333,0.6281,0.2011,0.9069,1.0302,0.3897,0.6272,0.6491,0.9529,1.0827,0.1287,1.5347,0.6140,0.4508,0.7679,0.8441,0.8269,0.4668,0.2874,0.7561,0.8449,0.8817,0.7880,0.8183,0
2008-03-31,1.5945,1.4678,1.1041,1.0769,1.1405,1.2157,1.4526,0.3416,1.5444,0.3812,1.0798,1.2875,1.2808,1.0163,1.4813,0.7059,1.7214,1.1535,0.6392,1.0388,0.9493,0.5732,1.2924,1.0426,1.1298,-0.0548,0.7807,0
2008-06-30,1.5496,1.2980,1.0886,1.0374,1.2591,1.6789,1.2598,0.9703,1.0561,0.7742,2.4897,1.0103,2.3896,0.3509,1.4521,0.9418,1.5127,1.3723,1.0871,0.9756,0.8857,1.3696,1.3586,1.5917,1.5251,0.6227,0.9851,0
2008-09-30,0.3060,0.1716,-0.2210,0.1784,0.1774,-0.8134,0.1522,0.3609,0.0771,0.1534,0.4431,-0.0139,-0.1537,-0.2108,0.6326,0.0901,-0.4584,0.2497,0.7228,0.0163,0.4180,0.5497,0.9583,0.7921,1.2821,0.2881,0.3773,0
2008-12-31,-3.1737,-3.9578,-3.3062,-2.5416,-2.2547,-3.0715,-3.0887,-2.9425,-4.3220,-2.2710,-4.6448,-3.0136,-4.7536,-3.3491,-2.8463,-3.3138,-4.5538,-3.5672,-2.0064,-3.7769,-3.2266,-3.5422,-1.6220,-1.9597,-2.7206,-2.1594,-2.8981,1
2009-03-31,-1.5015,-2.6505,-2.5804,-1.5548,-0.9632,-1.4994,-1.8739,-1.8659,-2.6767,-1.0440,-4.8701,-1.9748,-4.8297,-2.1822,-1.6282,-2.4883,-2.9091,-2.6481,-0.4249,-2.5362,-1.7443,-1.3016,0.0383,-0.0706,-1.1566,-1.5183,-1.5675,1
2009-06-30,0.1874,0.8469,0.1641,0.1212,0.4277,-0.0105,0.0715,0.6079,0.1645,0.4482,-0.5031,0.5806,-0.4301,0.9703,-0.2534,0.2723,0.9772,-0.2322,1.0307,0.3573,0.6921,0.6430,1.4870,1.6394,1.1712,0.4903,0.5486,1
2009-09-30,0.5685,2.2184,0.9127,1.0339,0.9418,1.0501,1.0766,1.8859,0.7965,1.1836,1.3795,1.4956,0.8255,1.5600,1.5800,1.2218,2.4878,0.9323,1.2376,1.4237,1.7824,1.1137,2.1064,1.7766,3.0275,1.2213,1.3766,1
2009-12-31,-0.0350,1.9565,1.0678,0.5881,0.5195,0.4534,0.3866,0.6746,0.3107,0.3050,0.3866,1.5160,-0.1920,1.8653,1.0828,0.7311,2.2378,0.3470,0.3421,1.1999,0.2825,-0.7493,1.1511,0.6380,2.2498,0.0399,0.5367,0
2010-03-31,0.4843,2.4673,1.4613,0.9779,0.7454,0.9088,0.7706,1.0349,0.7836,0.9847,0.5128,2.0522,0.2810,2.5132,2.7606,1.1039,2.6889,1.2064,0.2643,1.5111,0.4245,0.1607,0.8814,0.6456,2.7559,0.5419,0.9098,0
2010-06-30,0.2705,1.7823,1.2253,0.7274,0.5137,0.9497,0.7096,0.5431,0.4434,0.7012,0.6974,1.4831,1.2456,1.8732,1.4654,0.9465,2.3213,0.6381,-0.0025,1.3776,0.4003,0.1543,0.8918,0.3493,1.4862,0.2757,0.6622,0
2010-09-30,0.5991,1.4656,1.0706,0.5434,0.7703,1.5447,0.7811,0.1579,0.7729,0.5488,1.1682,1.0241,1.9727,1.3135,1.3093,0.9174,1.4408,0.6621,-0.0009,1.1806,0.3491,0.3732,0.8244,0.4846,1.2858,0.0946,0.5294,0
2010-12-31,1.0381,0.9933,0.6999,0.5581,0.7591,2.6584,0.9008,0.4371,1.0412,0.7653,0.6426,0.4745,2.0220,0.4674,0.4496,0.9382,1.3927,0.6264,0.0827,1.0526,1.0166,1.3867,1.1341,0.7784,0.2731,0.6302,0.8974,0
2011-03-31,1.2351,0.0755,0.5552,0.0982,1.0191,3.4006,0.5428,-0.3232,0.7535,0.3249,1.3005,-0.0275,2.9330,0.0620,-0.2920,0.6637,0.7514,0.2084,-0.3579,0.7131,0.5827,1.6217,0.5896,0.6358,-0.4322,0.1433,0.6019,0
2011-06-30,1.0213,0.4692,0.5086,0.4101,0.8333,2.7988,0.7800,0.1342,0.8316,0.4692,0.9937,0.2493,2.3305,-0.0506,0.6638,0.5494,1.0954,0.4292,0.2235,1.0067,0.6951,1.2110,1.0357,0.5386,0.3876,0.3174,0.6422,0
2011-09-30,-0.0146,-0.4651,-0.3137,-0.3887,-0.3067,0.6274,-0.3288,-0.4818,-0.2676,-0.1372,-0.5144,-0.4542,0.6902,-0.1075,-0.2047,-0.6924,-0.2688,-0.3985,-0.4197,-0.0447,-0.4874,0.1172,-0.0451,-0.2957,-0.6972,-0.1624,-0.2888,0
2011-12-31,-0.1729,0.1296,-0.3836,-0.1327,-0.5313,-1.1723,-0.1305,0.3986,-0.0094,0.2503,1.3506,-0.0213,2.0359,0.1983,-0.2691,-0.6712,0.1780,-0.0929,0.2148,0.2628,-0.0750,0.1491,0.2013,0.1707,0.0642,0.1920,0.0183,0
2012-03-31,-0.1978,0.4931,-0.0967,0.1097,-0.7196,-1.4963,0.0862,1.0125,0.1321,0.2991,0.0321,0.4699,0.1782,0.4656,0.9497,-0.7409,0.4233,0.3928,0.5194,0.6411,0.4397,0.3079,0.5486,-0.2330,0.8129,0.6403,0.2925,0
2012-06-30,-0.1175,0.0905,-0.2038,-0.0357,-0.4229,-0.9688,0.1418,0.6837,0.0860,0.2838,0.2395,0.2270,0.1931,0.2417,0.1282,-0.5742,-0.0154,-0.0128,0.3398,0.1997,0.3503,0.0303,0.0777,-0.0382,0.8526,0.5205,0.1043,0
2012-09-30,0.6714,0.6937,0.9697,0.4526,0.1525,-0.8068,0.9922,1.0314,1.2766,0.8390,0.2671,1.2256,0.3837,1.9046,-0.0840,0.5168,0.9580,0.6693,1.0856,0.9338,1.0384,1.0594,0.4845,0.6233,1.7054,0.8876,0.7284,0
2012-12-31,0.0993,0.4168,0.3364,0.0848,-0.0223,0.7709,0.8052,0.2536,0.7439,0.3159,1.3013,0.1337,0.1182,1.1027,-0.8657,0.0807,0.2062,-0.0371,0.2967,-0.1371,0.6135,0.2243,0.0002,-0.0251,1.5258,0.0553,0.1792,0
2013-03-31,0.8765,0.6293,1.1921,0.2925,0.3337,0.4128,1.4658,0.5426,1.1843,0.7983,0.6534,0.6807,0.2007,0.6370,-0.5366,0.9385,0.8272,0.2611,0.8888,0.5518,0.9883,1.4913,0.2667,0.3753,2.3744,0.4444,0.6463,0
2013-06-30,0.7139,1.1248,1.0406,0.6929,0.8189,0.9574,1.5986,0.7219,1.1022,0.6687,1.5811,1.0177,0.7620,1.2622,-0.2562,1.0826,0.8016,0.6082,0.7918,0.7463,1.3998,0.7811,0.7124,0.2322,1.6392,0.6730,0.7922,0
2013-09-30,0.8999,1.3207,0.8035,0.6796,1.0215,1.7054,1.1757,0.2610,0.9789,0.4852,2.2366,0.7354,1.0333,0.8780,0.1257,0.9454,0.0210,0.6977,0.4316,0.6379,0.7921,0.6001,0.4972,-0.0033,0.4797,0.5541,0.7184,0
2013-12-31,0.4040,1.0620,0.2334,0.4116,0.5352,0.5887,0.7493,-0.0226,0.1378,0.1511,0.6042,0.4212,0.3230,-0.0943,-0.4696,0.3043,-0.1973,0.2585,-0.0203,0.1706,0.5425,0.1651,0.6315,-0.1088,-1.4233,0.4516,0.2727,0
2014-03-31,0.2197,0.8551,-0.1570,0.4371,0.7551,0.9893,0.4710,0.0478,-0.3085,-0.0131,0.3696,0.4000,-0.1171,-0.6169,0.1355,0.2326,-0.7478,0.0916,-0.1823,0.3786,0.3744,-0.6903,0.6887,-0.3742,-2.3839,0.6645,0.3340,0
2014-06-30,0.5214,1.3879,0.6131,0.5776,1.2333,1.5969,0.6176,0.4109,0.4292,-0.0462,1.2686,0.7216,1.0850,1.4175,0.1239,0.5112,0.0603,0.5799,0.5555,0.3856,0.4167,-0.0432,0.7257,0.3968,-0.6302,0.8428,0.6681,0
2014-09-30,0.5136,1.0969,0.8068,0.4499,1.2816,1.2191,0.8108,0.4712,0.4246,-0.0326,0.7152,0.7133,1.4163,1.1192,0.4595,0.5496,0.5794,0.6226,0.8600,0.5292,0.7488,0.4254,0.6614,0.8886,0.7735,0.7735,0.6726,0
2014-12-31,0.6717,0.5637,0.7466,0.3285,1.7549,1.6603,0.6660,0.7019,0.8831,-0.0434,-0.1060,0.8553,0.6915,3.0725,0.3839,0.4310,0.1253,0.6229,1.3325,0.2774,0.6318,0.1415,0.3883,1.2101,2.8001,0.8829,0.7719,0
2015-03-31,-0.6311,-0.6938,-0.0968,-0.6330,0.6947,0.8094,0.0075,-0.3374,-0.2785,-1.1368,-1.5305,0.1601,0.6277,3.1015,-0.1228,-0.7133,0.2380,-0.4582,0.6619,-0.9691,-0.4554,-0.6090,-0.3811,-0.1704,2.9340,-0.0211,-0.1624,0
2015-06-30,0.4363,0.3815,0.7546,-0.0077,1.2502,2.2865,0.4498,0.2176,0.1504,-0.4192,-0.7796,0.6652,0.4282,1.9485,0.4738,0.1106,0.8586,0.0605,1.0458,0.2371,0.2248,-0.4121,0.5164,0.6084,2.8904,0.2107,0.5654,0
2015-09-30,0.5381,0.5698,0.8022,0.0306,1.0107,2.5293,0.4279,0.3856,0.0699,-0.0885,-0.0528,0.7987,0.3197,0.6806,0.1969,0.3930,1.2488,0.1162,0.7214,0.5464,0.5757,-0.0971,0.8700,0.7191,2.1860,0.3311,0.5343,0
2015-12-31,0.9398,0.7197,0.4765,-0.0122,0.7837,3.2133,0.1703,0.3257,-0.2853,0.2682,-0.6001,0.5577,-0.8572,-1.2103,0.4666,0.3816,0.8779,0.0397,0.3143,0.6647,0.4248,0.2143,1.0616,0.4595,1.4722,0.3446,0.4836,0
2016-03-31,0.1507,0.7474,0.2556,-0.2752,-0.2231,1.7674,-0.2449,0.0542,-1.0259,0.2689,0.6349,0.2803,-0.6325,-2.0442,0.7379,0.4467,-0.1609,-0.1666,-0.1988,0.7639,-0.1084,-0.1834,1.0711,-0.3384,0.6186,0.1234,0.1841,0
2016-06-30,0.7103,0.5192,-0.0603,0.1586,0.0436,2.3995,0.1539,0.4184,0.1768,0.5641,-0.7709,0.6169,-1.3640,-1.2910,0.9863,0.3873,0.3335,0.2158,0.2998,0.6868,0.1313,0.4739,1.0175,0.1960,-0.0477,0.5111,0.5551,0
2016-09-30,0.5653,0.3770,0.0642,0.1528,0.5104,2.7384,0.3825,0.5002,0.7561,0.1566,0.8759,0.6552,0.4827,-0.6245,0.8177,0.5771,0.9022,0.1930,0.2570,0.6486,-0.0581,0.5823,0.2268,-0.0252,-0.0630,0.6872,0.5646,0
2016-12-31,0.4345,-0.5772,-0.3798,0.1033,0.5621,2.5812,0.4214,0.4413,1.2017,0.0390,-0.0618,0.8420,0.6171,0.1236,0.1243,0.2254,0.7444,0.0776,0.5939,0.1616,-0.6030,0.4086,-0.2987,0.2286,-1.0576,0.6882,0.4218,0
2017-03-31,0.6862,-0.3190,-0.4828,0.3139,0.6214,2.2203,0.6759,0.1302,2.5461,-0.0836,1.2188,0.4144,1.1712,0.2844,0.3819,0.3875,0.2621,0.6367,0.8109,0.1096,-0.6634,1.0216,-1.0122,0.6572,-1.2560,0.3437,0.2998,0
