Country,Year,real.GDP.NAAG
AUS,2015,2.7593859723839
AUT,2015,1.30352326671129
BEL,2015,1.47416433731927
CAN,2015,0.649971004305851
CHL,2015,2.15194249981167
COL,2015,2.95590137527524
CRI,2015,3.6520809679451
CZE,2015,4.95875848915604
DNK,2015,2.10441456445301
EST,2015,1.83815506946524
FIN,2015,0.466503517895381
FRA,2015,1.06675474783462
DEU,2015,1.6527197865636
GRC,2015,-0.228301552283969
HUN,2015,3.6598161557144
ISL,2015,4.43666372876759
IRL,2015,24.6155698924632
ISR,2015,2.23760000003491
ITA,2015,0.885667635240808
JPN,2015,1.56062669682572
PRK,2015,2.92029267301236
LVA,2015,3.78336712084973
LTU,2015,2.83280630912421
LUX,2015,2.26978448419566
MEX,2015,2.70232342550647
NLD,2015,2.12060528095728
NZL,2015,4.21593806796592
NOR,2015,1.85733972643304
POL,2015,4.43176653560215
PRT,2015,1.58979837174942
SVK,2015,5.17687909722133
SVN,2015,2.39330663899719
ESP,2015,4.06086672473868
SWE,2015,4.41014068702995
CHE,2015,1.64462762587814
Türkiye,2015,6.08448700325463
GBR,2015,2.22288844530113
USA,2015,2.94555045599772
AUS,2016,2.27959179820342
AUT,2016,2.117219630253
BEL,2016,1.19350273007754
CAN,2016,1.03855091867276
CHL,2016,1.75303874904595
COL,2016,2.08738250162795
CRI,2016,4.204323251783
CZE,2016,2.58087013921376
DNK,2016,3.07304549209094
EST,2016,3.09301917004896
FIN,2016,2.57193423155972
FRA,2016,0.860031075424026
DEU,2016,2.2947106641356
GRC,2016,-0.031795210261491
HUN,2016,2.43864141185821
ISL,2016,6.30368712489066
IRL,2016,1.22263858815896
ISR,2016,4.45958048902006
ITA,2016,1.2362210851166
JPN,2016,0.753826745851753
PRK,2016,3.17152748983936
LVA,2016,2.55168601974034
LTU,2016,2.67192208928042
LUX,2016,4.97819043681628
MEX,2016,1.77249323845398
NLD,2016,2.42428576538918
NZL,2016,3.88372971595751
NOR,2016,1.16472423497284
POL,2016,3.03117566794665
PRT,2016,2.00414097957949
SVK,2016,1.94781841524559
SVN,2016,3.03441589079787
ESP,2016,2.91515598595786
SWE,2016,2.34974080709025
CHE,2016,2.06868968299858
Türkiye,2016,3.32308416743735
GBR,2016,1.92171007705928
USA,2016,1.81945147620521
AUS,2017,2.87846971467883
AUT,2017,2.27224997423621
BEL,2017,1.47446761556784
CAN,2017,3.03383491533961
CHL,2017,1.35769537347763
COL,2017,1.35936086788746
CRI,2017,4.15769896287717
CZE,2017,5.1735652996788
DNK,2017,3.05647723922717
EST,2017,5.63467241347505
FIN,2017,3.30337016113322
FRA,2017,2.08361485997399
DEU,2017,2.71602454639843
GRC,2017,1.47312466521957
HUN,2017,4.12418389434327
ISL,2017,4.19494881030687
IRL,2017,10.0496283349988
ISR,2017,4.34708999997634
ITA,2017,1.60369995294101
JPN,2017,1.67533175169247
PRK,2017,3.43319176397201
LVA,2017,3.39894872623932
LTU,2017,4.61224350988931
LUX,2017,1.31718766293678
MEX,2017,1.87172853327192
NLD,2017,2.78154615203003
NZL,2017,4.29460045753817
NOR,2017,2.46374628510147
POL,2017,5.15245738134763
PRT,2017,3.31472088875197
SVK,2017,2.87473327453696
SVN,2017,5.17440277397358
ESP,2017,2.89604207865007
SWE,2017,1.8251560179849
CHE,2017,1.36279964551298
Türkiye,2017,7.50199743733531
GBR,2017,2.65650486889784
USA,2017,2.45762230175086
AUS,2018,2.17154505737177
AUT,2018,2.48422109586319
BEL,2018,1.87796847383565
CAN,2018,2.74296343945575
CHL,2018,3.99002947785941
COL,2018,2.56432428277704
CRI,2018,2.6159044044365
CZE,2018,2.83030588267864
DNK,2018,1.86000749009209
EST,2018,3.69969469279218
FIN,2018,1.19297772988506
FRA,2018,1.64590872395886
DEU,2018,1.11644310902427
GRC,2018,2.06467248901077
HUN,2018,5.60613813906265
ISL,2018,4.88917300587273
IRL,2018,7.54434199516203
ISR,2018,4.00368000005604
ITA,2018,0.826646712344118
JPN,2018,0.643391023547767
PRK,2018,3.17611568177328
LVA,2018,4.30971286294503
LTU,2018,4.91836859475899
LUX,2018,1.61129556769861
MEX,2018,1.97208209405636
NLD,2018,2.25874029946565
NZL,2018,3.84691796512312
NOR,2018,0.828931484017273
POL,2018,6.24586266417478
PRT,2018,2.94628244109612
SVK,2018,4.06211981896484
SVN,2018,4.3790831902376
ESP,2018,2.39541124478878
SWE,2018,1.90296457254834
CHE,2018,2.86044574955281
Türkiye,2018,3.01317049953539
GBR,2018,1.40519026587743
USA,2018,2.96650506916597
AUS,2019,-0.119590735829976
AUT,2019,1.75497626702115
BEL,2019,2.44289004481559
