country_id;country;period;esi;gdp_growth;real_gdppc;stringency;fatalities;icu;assistance_sme;assistance_sme_diff;transform;transform_diff;other;spending_pandemic;spending_pandemic_diff;transfers;transfers_diff;unemployment_transfer;unemployment_transfer_diff;universal_help;universal_help_diff;total_spending;total_spending_diff;employment;employment_growth;confidence_average;confidence_average_diff;cpi;cpi_diff;;;;;;;;;;;;;;;;;
2;Bulgaria;2021Q2;96.4;-0.25817;1619.19863;53.34087;7.86939;73.40035;2.505;0.018333333;0.431666667;0;0.23;1.443166667;0.119;1.635;1.635;2.495;0.0975;0.583333333;0;9.323166667;0.580666667;0.73300;0.00411;-20.400;8.900;108.2;0.87;;;;;;;;;;;;;;;;;
3;Czechia;2019Q1;107;0.51367;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.933;;107;;;;;;;;;;;;;;;;;;
3;Czechia;2019Q2;103.0333333;0.78593;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.467;-2.467;108;1;;;;;;;;;;;;;;;;;
3;Czechia;2019Q3;102.7666667;0.54855;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.633;1.167;108;0;;;;;;;;;;;;;;;;;
3;Czechia;2019Q4;102.4333333;0.62927;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.167;-1.467;108.8;0.8;;;;;;;;;;;;;;;;;
3;Czechia;2020Q1;99;-3.77148;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1.733;-1.900;110.8;2;;;;;;;;;;;;;;;;;
3;Czechia;2020Q2;64.36666667;-8.90986;4092.54546;52.10315;0.32218;3.77130;16.1161915;16.1161915;0;0;0.785368478;0.824816209;0.824816209;0;0;0.982607136;0.982607136;0.190066344;0.190066344;18.89904967;18.89904967;0.79700;-0.00499;-11.367;-9.633;111.7;0.9;;;;;;;;;;;;;;;;;
3;Czechia;2020Q3;89.5;6.75303;4368.91619;36.74457;0.31002;4.30851;16.37798099;0.261789493;0;0;0.788954635;1.018468711;0.193652501;0;0;0.982607136;0;0.584543661;0.394477318;19.75255514;0.853505469;0.79600;-0.00125;-8.000;3.367;111.6;-0.1;;;;;;;;;;;;;;;;;
3;Czechia;2020Q4;86.9;0.73739;4401.13193;63.68815;10.93897;66.90662;16.84418146;0.466200466;0;0;0.701093778;1.194190425;0.175721714;0;0;0.944952483;-0.037654653;0.64192218;0.057378519;20.32634033;0.573785189;0.79600;0.00000;-15.900;-7.900;111.4;-0.2;;;;;;;;;;;;;;;;;
3;Czechia;2021Q1;88.86666667;-0.49564;4379.31831;77.64630;15.32342;129.15710;16.84418146;0;0;0;0.701093778;1.194190425;0;0;0;0.944952483;0;0.64192218;0;20.32634033;0;0.79100;-0.00628;-16.067;-0.167;113.3;1.9;;;;;;;;;;;;;;;;;
3;Czechia;2021Q2;97.33333333;0.95377;4421.08708;55.16370;4.13615;41.76620;17.46279362;0.618612157;0;0;1.464945311;2.700376547;1.506186122;0;0;1.41115295;0.466200466;2.76492738;2.1230052;25.8041958;5.477855478;0.79400;0.00379;-6.567;9.500;114.5;1.2;;;;;;;;;;;;;;;;;
4;Denmark;2019Q1;103.0666667;0.26388;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.667;;102.4;;;;;;;;;;;;;;;;;;
4;Denmark;2019Q2;105.0666667;0.45260;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.567;0.900;102.4;0;;;;;;;;;;;;;;;;;
4;Denmark;2019Q3;101.3;0.48404;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.167;-1.400;102.4;0;;;;;;;;;;;;;;;;;
4;Denmark;2019Q4;101.0666667;0.08331;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.900;0.733;102.4;0;;;;;;;;;;;;;;;;;
4;Denmark;2020Q1;99.83333333;-1.07475;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.000;-0.900;102.7;0.3;;;;;;;;;;;;;;;;;
4;Denmark;2020Q2;65.73333333;-6.44465;11469.90272;64.73587;0.96470;7.98463;6.777924103;6.777924103;0.170796496;0.170796496;0.107871471;0.220237587;0.220237587;0.148323273;0.148323273;0.584303802;0.584303802;6.067770252;6.067770252;14.07722698;14.07722698;0.77600;-0.00894;-1.967;-4.967;102.6;-0.1;;;;;;;;;;;;;;;;;
4;Denmark;2020Q3;86.93333333;6.24643;12186.36267;52.82152;0.08413;0.81700;6.777924103;0;0.170796496;0;0.107871471;0.220237587;0;0.148323273;0.148323273;0.584303802;0;6.067770252;0;14.07722698;0;0.77700;0.00129;0.600;2.567;102.9;0.3;;;;;;;;;;;;;;;;;
4;Denmark;2020Q4;94.96666667;0.88600;12294.33400;46.55783;1.13299;7.02283;6.777924103;0;0.170796496;0;0.107871471;0.220237587;0;0.148323273;0.148323273;0.584303802;0;6.067770252;0;14.07722698;0;0.77900;0.00257;1.233;0.633;102.8;-0.1;;;;;;;;;;;;;;;;;
4;Denmark;2021Q1;98.9;-0.66931;12212.04648;65.56837;2.23250;13.61770;15.60315884;8.825234733;0.274173322;0.103376827;0.107871471;0.24271081;0.022473223;0.247205455;0.247205455;0.701164562;0.11686076;11.50629026;5.438520003;28.68257471;14.60534773;0.77800;-0.00128;3.033;1.800;103.6;0.8;;;;;;;;;;;;;;;;;
4;Denmark;2021Q2;111;2.81552;12555.87922;58.54554;0.21874;5.41129;16.50568348;0.902524642;0.274173322;0;0.107871471;0.145177022;-0.097533788;0.247205455;0.247205455;0.701164562;0;11.50629026;0;29.48756557;0.804990853;0.78800;0.01285;7.033;4.000;104.5;0.9;;;;;;;;;;;;;;;;;
5;Germany ;2019Q1;107.2666667;0.77819;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.233;;104.4;;;;;;;;;;;;;;;;;;
5;Germany ;2019Q2;104.0666667;-0.49241;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1.733;-1.500;106;1.6;;;;;;;;;;;;;;;;;
5;Germany ;2019Q3;98.83333333;0.41125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-3.067;-1.333;106.2;0.2;;;;;;;;;;;;;;;;;
5;Germany ;2019Q4;99.7;-0.07516;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-3.267;-0.200;106;-0.2;;;;;;;;;;;;;;;;;
5;Germany ;2020Q1;99.3;-1.93750;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-4.600;-1.333;105.8;-0.2;;;;;;;;;;;;;;;;;
5;Germany ;2020Q2;73.4;-9.99659;7961.01955;67.25935;1.06497;17.07001;32.86956522;32.86956522;1.52173913;1.52173913;0.913043478;0.7;0.7;0.292173913;0.292173913;0.307391304;0.307391304;0.608695652;0.608695652;37.2126087;37.2126087;0.80000;-0.00249;-13.967;-9.367;106.9;1.1;;;;;;;;;;;;;;;;;
5;Germany ;2020Q3;94.16666667;9.04283;8680.92122;55.12217;0.06557;3.01822;32.86956522;0;1.52173913;0;0.913043478;0.7;0;0.292173913;0.292173913;0.307391304;0;0.608695652;0;37.2126087;0;0.80000;0.00000;-9.033;4.933;105.8;-1.1;;;;;;;;;;;;;;;;;
5;Germany ;2020Q4;98;0.74400;8745.50743;63.95620;3.07652;34.69259;32.86956522;0;1.52173913;0;0.913043478;1.217391304;0.517391304;0.292173913;0.292173913;0.307391304;0;0.608695652;0;37.73;0.517391304;0.80100;0.00125;-10.533;-1.500;105.3;-0.5;;;;;;;;;;;;;;;;;
5;Germany ;2021Q1;99.7;-1.85559;8583.22644;80.99761;5.74209;46.31911;32.86956522;0;1.52173913;0;0.913043478;1.217391304;0;0.292173913;0.292173913;0.307391304;0;0.608695652;0;37.73;0;0.78800;-0.01623;-11.400;-0.867;107.9;2.6;;;;;;;;;;;;;;;;;
5;Germany ;2021Q2;109.2666667;1.90456;8746.69882;72.62380;1.88576;39.12386;33.0826087;0.213043478;1.52173913;0;0.913043478;1.856521739;0.639130435;0.292173913;0.292173913;1.156521739;0.849130435;0.608695652;0;39.43130435;1.701304348;0.79500;0.00888;-4.467;6.933;109.1;1.2;;;;;;;;;;;;;;;;;
6;Spain;2019Q1;106.0333333;0.00462;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-4.767;;103.9;;;;;;;;;;;;;;;;;;
6;Spain;2019Q2;104.5666667;0.36544;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-3.967;0.800;105.18;1.28;;;;;;;;;;;;;;;;;
6;Spain;2019Q3;105.5;0.37923;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-5.767;-1.800;104.28;-0.9;;;;;;;;;;;;;;;;;
